date,IBUY_2022_Q2,meta
2022-05-19 00:00:00,-159.01174829157503,
2022-05-19 10:00:00,-186.99100602675776,
2022-05-19 10:30:00,-184.4753499891499,
2022-05-19 12:00:00,-176.88350627761542,
2022-05-19 13:30:00,-196.83326347575485,
2022-05-19 15:00:00,-210.0679292538523,
2022-05-19 15:30:30,-210.0679292538523,
2022-05-19 23:59:59,-199.1963252669018,c
2022-05-20 00:00:00,-183.02850897529106,
2022-05-20 10:00:00,-231.43143039523375,
2022-05-20 10:30:00,-257.8878258402458,
2022-05-20 12:00:00,-244.50617199614612,
2022-05-20 13:30:00,-254.54412920191703,
2022-05-20 15:00:00,-234.87960502810756,
2022-05-20 15:30:30,-234.87960502810756,
2022-05-20 23:59:59,-220.43453018440482,w
2022-05-23 00:00:00,-281.86493598260904,
2022-05-23 10:00:00,-285.2447260896406,
2022-05-23 10:30:00,-294.7176683993903,
2022-05-23 12:00:00,-302.30513571500023,
2022-05-23 13:30:00,-306.836427541434,
2022-05-23 15:00:00,-286.7011543905662,
2022-05-23 15:30:30,-286.7011543905662,
2022-05-23 23:59:59,-275.78061532667175,c
2022-05-24 00:00:00,-262.7152310599406,
2022-05-24 10:00:00,-288.0338441488261,
2022-05-24 10:30:00,-254.0160471328586,
2022-05-24 12:00:00,-242.39243210792824,
2022-05-24 13:30:00,-233.72987105834477,
2022-05-24 15:00:00,-277.49498321051624,
2022-05-24 15:30:30,-277.49498321051624,
2022-05-24 23:59:59,-275.80496883005117,c
2022-05-25 00:00:00,-294.4189434572611,
2022-05-25 10:00:00,-280.2398476591916,
2022-05-25 10:30:00,-306.3181119739852,
2022-05-25 12:00:00,-325.00352530882196,
2022-05-25 13:30:00,-309.65280269993787,
2022-05-25 15:00:00,-316.13312547764895,
2022-05-25 15:30:30,-316.13312547764895,
2022-05-25 23:59:59,-322.0829119316686,c
