date,SOXX_TRANS_2021_Q2,meta
2021-06-25 15:30:30,-30.665235729244433,
2021-06-25 23:59:59,-22.736994966227996,w
2021-06-28 00:00:00,-41.47805780757592,
2021-06-28 10:00:00,-23.64580026686753,
2021-06-28 10:30:00,-27.077032409136997,
2021-06-28 12:00:00,-41.85982146575395,
2021-06-28 13:30:00,-32.237166937781495,
2021-06-28 15:00:00,-34.765160573591075,
2021-06-28 15:30:30,-34.765160573591075,
2021-06-28 23:59:59,-37.348609019211146,c
2021-06-29 00:00:00,-26.405011191831484,
2021-06-29 10:00:00,-28.384941437517696,
2021-06-29 10:30:00,-12.158556515902667,
2021-06-29 12:00:00,-9.239611330122392,
2021-06-29 13:30:00,-10.593638653206384,
2021-06-29 15:00:00,-15.818034590549697,
2021-06-29 15:30:30,-15.818034590549697,
2021-06-29 23:59:59,-21.326576698274774,c
2021-06-30 00:00:00,-7.91915420270724,
2021-06-30 10:00:00,30.43891806113527,
2021-06-30 10:30:00,34.82999100474621,
2021-06-30 12:00:00,25.186705961893736,
2021-06-30 13:30:00,19.062045162487202,
2021-06-30 15:00:00,27.216653638487287,
2021-06-30 15:30:30,27.216653638487287,
2021-06-30 23:59:59,29.165901225679598,c
2021-07-01 00:00:00,22.62200274470821,
2021-07-01 10:00:00,13.663702169960658,
2021-07-01 10:30:00,-12.543888959925383,
2021-07-01 12:00:00,-7.179864234296264,
2021-07-01 13:30:00,-6.510458536303069,
2021-07-01 15:00:00,1.4829535631666317,
2021-07-01 15:30:30,1.4829535631666317,
2021-07-01 23:59:59,-5.91415021283192,c
2021-07-02 00:00:00,-1.9685504610513576,
2021-07-02 10:00:00,-4.42328293051408,
2021-07-02 10:30:00,15.246258545675524,
2021-07-02 12:00:00,31.075354187070765,
2021-07-02 13:30:00,31.702606585623585,
2021-07-02 15:00:00,28.585671071771415,
2021-07-02 15:30:30,28.585671071771415,
2021-07-02 23:59:59,26.37210956338793,w
