date,AS_FTSE_DM_STAY_2022_Q2,meta
2022-04-27 23:00:00,97.69240226933252,
2022-04-27 23:59:59,82.72380136899389,c
2022-04-28 00:00:00,92.30411369405667,
2022-04-28 01:00:00,89.28432120021472,
2022-04-28 02:30:00,91.00090533787534,
2022-04-28 03:00:00,89.15155681191507,
2022-04-28 18:30:00,92.02342936384471,
2022-04-28 20:00:00,92.00672550488568,
2022-04-28 23:00:00,114.00553994392848,
2022-04-28 23:59:59,122.77826615011668,c
2022-04-29 00:00:00,120.06398849566813,
2022-04-29 01:00:00,121.35734170998191,
2022-04-29 02:30:00,136.6469402266546,
2022-04-29 03:00:00,137.40939772355557,
2022-04-29 18:30:00,137.40939772355557,
2022-04-29 20:00:00,137.40939772355557,
2022-04-29 23:00:00,137.40939772355557,
2022-04-29 23:59:59,128.10657373955846,w
2022-05-02 00:00:00,97.46781933727036,
2022-05-02 01:00:00,98.79479607876402,
2022-05-02 02:30:00,98.79479607876402,
2022-05-02 03:00:00,98.79479607876402,
2022-05-02 18:30:00,104.83014774116646,
2022-05-02 20:00:00,104.79600691508178,
2022-05-02 23:00:00,117.5699886937096,
2022-05-02 23:59:59,126.65009834564191,c
2022-05-03 00:00:00,124.85104138254101,
2022-05-03 01:00:00,120.44098604655326,
2022-05-03 02:30:00,114.8918432596943,
2022-05-03 03:00:00,115.00789376877117,
2022-05-03 18:30:00,114.15799303376258,
2022-05-03 20:00:00,115.18818428822397,
2022-05-03 23:00:00,108.09113906371306,
2022-05-03 23:59:59,102.30953177730223,c
2022-05-04 00:00:00,96.94502394216167,
2022-05-04 01:00:00,93.43312586218592,
2022-05-04 02:30:00,96.95181830153129,
2022-05-04 03:00:00,95.7275571728432,
2022-05-04 18:30:00,93.50440212868229,
2022-05-04 20:00:00,94.66887760807475,
2022-05-04 23:00:00,90.6010173341092,
2022-05-04 23:59:59,95.33459161513264,c
2022-05-05 00:00:00,97.10380088404185,
2022-05-05 01:00:00,95.52420514420547,
2022-05-05 02:30:00,94.94624284059181,
2022-05-05 03:00:00,97.0624031899194,
2022-05-05 18:30:00,94.63793127648137,
2022-05-05 20:00:00,96.26183321687321,
2022-05-05 23:00:00,63.69294022877444,
2022-05-05 23:59:59,59.69819618158897,c
2022-05-06 00:00:00,63.608686924875364,
2022-05-06 01:00:00,55.39240182537754,
2022-05-06 02:30:00,61.051866839139066,
2022-05-06 03:00:00,62.687367435430126,
2022-05-06 18:30:00,62.687367435430126,
2022-05-06 20:00:00,62.687367435430126,
2022-05-06 23:00:00,62.687367435430126,
2022-05-06 23:59:59,61.14483881260577,w
2022-05-09 00:00:00,52.69846192132241,
2022-05-09 01:00:00,39.42851437215196,
2022-05-09 02:30:00,46.16773931441139,
2022-05-09 03:00:00,46.71372738549572,
2022-05-09 18:30:00,45.7235165635374,
2022-05-09 20:00:00,45.403648204924096,
2022-05-09 23:00:00,70.82580881706079,
2022-05-09 23:59:59,68.40455860473949,c
2022-05-10 00:00:00,63.49476533382334,
2022-05-10 01:00:00,61.52708887030043,
2022-05-10 02:30:00,51.449575976522716,
2022-05-10 03:00:00,52.17764774533402,
2022-05-10 18:30:00,51.59599573193166,
2022-05-10 20:00:00,51.09069170087976,
2022-05-10 23:00:00,107.56565231096792,
2022-05-10 23:59:59,120.29019489384333,c
2022-05-11 00:00:00,128.97143878932604,
2022-05-11 01:00:00,129.02134248310438,
2022-05-11 02:30:00,122.21356094728011,
2022-05-11 03:00:00,119.40035339371883,
2022-05-11 18:30:00,106.28493664219164,
2022-05-11 20:00:00,107.1519164366072,
2022-05-11 23:00:00,109.23936451656797,
