date,AS_NKY_2021_Q3,meta
2021-08-06 18:30:00,-123.92153884965896,
2021-08-06 20:00:00,-123.92153884965896,
2021-08-06 23:00:00,-123.92153884965896,
2021-08-06 23:59:59,-124.67071497826377,w
2021-08-09 00:00:00,-124.67071497826377,
2021-08-09 01:00:00,-124.67071497826377,
2021-08-09 02:30:00,-124.67071497826377,
2021-08-09 03:00:00,-124.67071497826377,
2021-08-09 18:30:00,-124.67071497826377,
2021-08-09 20:00:00,-124.67071497826377,
2021-08-09 23:00:00,-124.67071497826377,
2021-08-09 23:59:59,-124.67071497826377,c
2021-08-10 00:00:00,-30.18344777944372,
2021-08-10 01:00:00,-17.248843129399198,
2021-08-10 02:30:00,-17.248843129399198,
2021-08-10 03:00:00,-17.248843129399198,
2021-08-10 18:30:00,-17.248843129399198,
2021-08-10 20:00:00,-17.248843129399198,
2021-08-10 23:00:00,-17.248843129399198,
2021-08-10 23:59:59,-3.1489864589745267,c
2021-08-11 00:00:00,-33.21310583942501,
2021-08-11 01:00:00,-15.023403889863765,
2021-08-11 02:30:00,-15.023403889863765,
2021-08-11 03:00:00,-15.023403889863765,
2021-08-11 18:30:00,-15.023403889863765,
2021-08-11 20:00:00,-15.023403889863765,
2021-08-11 23:00:00,-15.023403889863765,
2021-08-11 23:59:59,7.377991859045501,c
2021-08-12 00:00:00,54.35587430923941,
2021-08-12 01:00:00,66.76002410044006,
2021-08-12 02:30:00,66.76002410044006,
2021-08-12 03:00:00,66.76002410044006,
2021-08-12 18:30:00,66.76002410044006,
2021-08-12 20:00:00,66.76002410044006,
2021-08-12 23:00:00,66.76002410044006,
2021-08-12 23:59:59,49.72122910645771,c
2021-08-13 00:00:00,50.92708852606856,
2021-08-13 01:00:00,39.16948779210712,
2021-08-13 02:30:00,39.16948779210712,
2021-08-13 03:00:00,39.16948779210712,
2021-08-13 18:30:00,39.16948779210712,
2021-08-13 20:00:00,39.16948779210712,
2021-08-13 23:00:00,39.16948779210712,
2021-08-13 23:59:59,34.74112529925681,w
2021-08-16 00:00:00,33.150631439976564,
2021-08-16 01:00:00,27.251518302648208,
2021-08-16 02:30:00,27.251518302648208,
2021-08-16 03:00:00,27.251518302648208,
2021-08-16 18:30:00,27.251518302648208,
2021-08-16 20:00:00,27.251518302648208,
2021-08-16 23:00:00,27.251518302648208,
2021-08-16 23:59:59,-48.22840185499241,c
2021-08-17 00:00:00,-45.07521407981284,
2021-08-17 01:00:00,-34.246712014793935,
2021-08-17 02:30:00,-34.246712014793935,
2021-08-17 03:00:00,-34.246712014793935,
2021-08-17 18:30:00,-34.246712014793935,
2021-08-17 20:00:00,-34.246712014793935,
2021-08-17 23:00:00,-34.246712014793935,
2021-08-17 23:59:59,-44.26642540056543,c
2021-08-18 00:00:00,-64.93742561966842,
2021-08-18 01:00:00,-73.89403360562576,
2021-08-18 02:30:00,-73.89403360562576,
2021-08-18 03:00:00,-73.89403360562576,
2021-08-18 18:30:00,-73.89403360562576,
2021-08-18 20:00:00,-73.89403360562576,
2021-08-18 23:00:00,-73.89403360562576,
2021-08-18 23:59:59,-77.22185549745608,c
2021-08-19 00:00:00,-78.53213137789363,
2021-08-19 01:00:00,-64.28308456923497,
2021-08-19 02:30:00,-64.28308456923497,
2021-08-19 03:00:00,-64.28308456923497,
2021-08-19 18:30:00,-64.28308456923497,
2021-08-19 20:00:00,-64.28308456923497,
2021-08-19 23:00:00,-64.28308456923497,
2021-08-19 23:59:59,-5.120625277026974,c
2021-08-20 00:00:00,-20.54854679515241,
2021-08-20 01:00:00,-24.008123682888524,
2021-08-20 02:30:00,-24.008123682888524,
2021-08-20 03:00:00,-24.008123682888524,
2021-08-20 18:30:00,-24.008123682888524,
2021-08-20 20:00:00,-24.008123682888524,
2021-08-20 23:00:00,-24.008123682888524,
2021-08-20 23:59:59,-18.846111170151467,w
2021-08-23 00:00:00,15.4157606795563,
2021-08-23 01:00:00,4.7466459933754805,
2021-08-23 02:30:00,4.7466459933754805,
2021-08-23 03:00:00,4.7466459933754805,
2021-08-23 18:30:00,4.7466459933754805,
2021-08-23 20:00:00,4.7466459933754805,
2021-08-23 23:00:00,4.7466459933754805,
2021-08-23 23:59:59,-18.625013339252455,c
2021-08-24 00:00:00,-4.678187729822497,
2021-08-24 01:00:00,1.779944270098163,
2021-08-24 02:30:00,1.779944270098163,
2021-08-24 03:00:00,1.779944270098163,
2021-08-24 18:30:00,1.779944270098163,
2021-08-24 20:00:00,1.779944270098163,
2021-08-24 23:00:00,1.779944270098163,
2021-08-24 23:59:59,-27.11776149609642,c
2021-08-25 00:00:00,-25.528189591258116,
2021-08-25 01:00:00,-14.739199551323765,
2021-08-25 02:30:00,-14.739199551323765,
2021-08-25 03:00:00,-14.739199551323765,
2021-08-25 18:30:00,-14.739199551323765,
2021-08-25 20:00:00,-14.739199551323765,
2021-08-25 23:00:00,-14.739199551323765,
2021-08-25 23:59:59,4.784259303810408,c
2021-08-26 00:00:00,8.594961498045478,
2021-08-26 01:00:00,20.766764436080635,
2021-08-26 02:30:00,20.766764436080635,
2021-08-26 03:00:00,20.766764436080635,
2021-08-26 18:30:00,20.766764436080635,
2021-08-26 20:00:00,20.766764436080635,
2021-08-26 23:00:00,20.766764436080635,
2021-08-26 23:59:59,-4.109488283123525,c
2021-08-27 00:00:00,-8.275300673581278,
2021-08-27 01:00:00,-7.241379571743607,
2021-08-27 02:30:00,-7.241379571743607,
2021-08-27 03:00:00,-7.241379571743607,
2021-08-27 18:30:00,-7.241379571743607,
2021-08-27 20:00:00,-7.241379571743607,
2021-08-27 23:00:00,-7.241379571743607,
2021-08-27 23:59:59,-18.95970998331437,w
2021-08-30 00:00:00,39.21198560111945,
2021-08-30 01:00:00,36.744986310877664,
2021-08-30 02:30:00,36.744986310877664,
2021-08-30 03:00:00,36.744986310877664,
2021-08-30 18:30:00,36.744986310877664,
2021-08-30 20:00:00,36.744986310877664,
2021-08-30 23:00:00,36.744986310877664,
2021-08-30 23:59:59,45.78900825208967,c
2021-08-31 00:00:00,65.2706232018183,
2021-08-31 01:00:00,55.8565789666102,
2021-08-31 02:30:00,55.8565789666102,
2021-08-31 03:00:00,55.8565789666102,
2021-08-31 18:30:00,55.8565789666102,
2021-08-31 20:00:00,55.8565789666102,
2021-08-31 23:00:00,55.8565789666102,
2021-08-31 23:59:59,73.48446893894862,c
2021-09-01 00:00:00,65.21837245715227,
2021-09-01 01:00:00,60.135003880134036,
2021-09-01 02:30:00,60.135003880134036,
2021-09-01 03:00:00,60.135003880134036,
2021-09-01 18:30:00,60.135003880134036,
2021-09-01 20:00:00,60.135003880134036,
2021-09-01 23:00:00,60.135003880134036,
2021-09-01 23:59:59,73.00745269925932,c
2021-09-02 00:00:00,74.05528626322825,
2021-09-02 01:00:00,75.30284982590251,
2021-09-02 02:30:00,75.30284982590251,
2021-09-02 03:00:00,75.30284982590251,
2021-09-02 18:30:00,75.30284982590251,
2021-09-02 20:00:00,75.30284982590251,
2021-09-02 23:00:00,75.30284982590251,
2021-09-02 23:59:59,7.184399697839467,c
2021-09-03 00:00:00,16.118556905822842,
2021-09-03 01:00:00,8.8338786321289,
2021-09-03 02:30:00,8.8338786321289,
2021-09-03 03:00:00,8.8338786321289,
2021-09-03 18:30:00,8.8338786321289,
2021-09-03 20:00:00,8.8338786321289,
2021-09-03 23:00:00,8.8338786321289,
2021-09-03 23:59:59,0.0,a
2021-09-06 00:00:00,7.447050924281804,
2021-09-06 01:00:00,-23.0716608802867,
2021-09-06 02:30:00,-23.0716608802867,
2021-09-06 03:00:00,-23.0716608802867,
2021-09-06 18:30:00,-23.0716608802867,
2021-09-06 20:00:00,-23.0716608802867,
2021-09-06 23:00:00,-23.0716608802867,
2021-09-06 23:59:59,-39.7708408045187,c
2021-09-07 00:00:00,-41.95398285593162,
2021-09-07 01:00:00,-48.00364497181397,
2021-09-07 02:30:00,-48.00364497181397,
