date,CAD_TSX_2022_Q3,meta
2022-09-22 15:00:00,3.27725890869101,
2022-09-22 15:30:30,3.27725890869101,
2022-09-22 23:59:59,5.720712003756944,c
2022-09-23 00:00:00,-4.467582060878044,
2022-09-23 10:00:00,0.8494078660961577,
2022-09-23 10:30:00,6.693302966780152,
2022-09-23 12:00:00,10.413400233328503,
2022-09-23 13:30:00,19.810897625081225,
2022-09-23 15:00:00,9.332631699726676,
2022-09-23 15:30:30,9.332631699726676,
2022-09-23 23:59:59,4.252478077411297,w
2022-09-26 00:00:00,3.2985865785273063,
2022-09-26 10:00:00,-14.753538776433402,
2022-09-26 10:30:00,-22.630681211200795,
2022-09-26 12:00:00,-22.535251723873444,
2022-09-26 13:30:00,-30.464428614117764,
2022-09-26 15:00:00,-41.98287953988711,
2022-09-26 15:30:30,-41.98287953988711,
2022-09-26 23:59:59,-39.81729049678006,c
2022-09-27 00:00:00,-37.87460800720089,
2022-09-27 10:00:00,-53.19229454048377,
2022-09-27 10:30:00,-52.51050362798219,
2022-09-27 12:00:00,-53.180911379355166,
2022-09-27 13:30:00,-46.99886475457163,
2022-09-27 15:00:00,-54.97466457381324,
2022-09-27 15:30:30,-54.97466457381324,
2022-09-27 23:59:59,-51.643058729584595,c
2022-09-28 00:00:00,-54.44338293801309,
2022-09-28 10:00:00,-64.20113625530837,
2022-09-28 10:30:00,-53.048235629965916,
2022-09-28 12:00:00,-38.16934278842837,
2022-09-28 13:30:00,-37.24496188844239,
2022-09-28 15:00:00,-31.33461119378353,
2022-09-28 15:30:30,-31.33461119378353,
2022-09-28 23:59:59,-18.694276574121204,c
2022-09-29 00:00:00,-18.620739788807214,
2022-09-29 10:00:00,-20.179947733602376,
2022-09-29 10:30:00,-25.822151601466317,
2022-09-29 12:00:00,-4.778781721505993,
2022-09-29 13:30:00,-3.727780687462314,
2022-09-29 15:00:00,5.938815577265245,
2022-09-29 15:30:30,5.938815577265245,
2022-09-29 23:59:59,7.568448602550802,c
2022-09-30 00:00:00,0.2671987115893444,
2022-09-30 10:00:00,-15.718608337376963,
2022-09-30 10:30:00,-2.2485433686748593,
2022-09-30 12:00:00,2.6942549703728673,
2022-09-30 13:30:00,4.462867089468773,
2022-09-30 15:00:00,3.6653768314247372,
2022-09-30 15:30:30,3.6653768314247372,
2022-09-30 23:59:59,15.508934901269868,w
