date,MSCI_EM_ADR_HEDGED_2021_Q4,meta
2021-10-28 15:00:00,217.51291284528907,
2021-10-28 15:30:30,217.51291284528907,
2021-10-28 23:59:59,223.33063174707559,c
2021-10-29 00:00:00,177.1073918472971,
2021-10-29 10:00:00,180.2511080292636,
2021-10-29 10:30:00,151.11859873843855,
2021-10-29 12:00:00,156.2082977087075,
2021-10-29 13:30:00,164.32940643887468,
2021-10-29 15:00:00,157.50932639575103,
2021-10-29 15:30:30,157.50932639575103,
2021-10-29 23:59:59,170.89045181278493,w
2021-11-01 00:00:00,177.37552714568028,
2021-11-01 10:00:00,221.64984805120116,
2021-11-01 10:30:00,223.1444181974191,
2021-11-01 12:00:00,217.6564782471262,
2021-11-01 13:30:00,234.58069525491032,
2021-11-01 15:00:00,211.52887371005954,
2021-11-01 15:30:30,211.52887371005954,
2021-11-01 23:59:59,235.31148894400712,c
2021-11-02 00:00:00,214.39475636867564,
2021-11-02 10:00:00,246.2363120833436,
2021-11-02 10:30:00,225.70387124792705,
2021-11-02 12:00:00,246.6088403804158,
2021-11-02 13:30:00,259.4454990632098,
2021-11-02 15:00:00,275.5176621494154,
2021-11-02 15:30:30,275.5176621494154,
2021-11-02 23:59:59,273.7340897369447,c
2021-11-03 00:00:00,278.844529559781,
2021-11-03 10:00:00,284.1409348141133,
2021-11-03 10:30:00,244.29073719654866,
2021-11-03 12:00:00,208.40326849874782,
2021-11-03 13:30:00,197.80207316613087,
2021-11-03 15:00:00,183.62553329598563,
2021-11-03 15:30:30,183.62553329598563,
2021-11-03 23:59:59,164.78416192564578,c
2021-11-04 00:00:00,186.80976307054902,
2021-11-04 10:00:00,188.64452979716748,
2021-11-04 10:30:00,203.58283365690613,
2021-11-04 12:00:00,183.59790419718638,
2021-11-04 13:30:00,157.48061195953392,
2021-11-04 15:00:00,152.65831128588297,
2021-11-04 15:30:30,152.65831128588297,
2021-11-04 23:59:59,158.96017434129772,c
2021-11-05 00:00:00,168.73896072234743,
2021-11-05 10:00:00,153.8508658755968,
2021-11-05 10:30:00,182.5076597172431,
2021-11-05 12:00:00,182.40226206175885,
2021-11-05 13:30:00,131.3098717652365,
2021-11-05 15:00:00,143.57276122264875,
2021-11-05 15:30:30,143.57276122264875,
2021-11-05 23:59:59,135.19960462935637,w
2021-11-08 00:00:00,122.79144350217098,
2021-11-08 10:00:00,32.92652261263652,
2021-11-08 10:30:00,19.605574094765416,
2021-11-08 12:00:00,-38.00810681504322,
2021-11-08 13:30:00,-61.728534940633494,
2021-11-08 15:00:00,-106.75610791866495,
2021-11-08 15:30:30,-106.75610791866495,
2021-11-08 23:59:59,-45.67916357665024,c
2021-11-09 00:00:00,-20.99011799892662,
2021-11-09 10:00:00,-71.69081033387477,
2021-11-09 10:30:00,-47.38519376976922,
2021-11-09 12:00:00,-41.002975330355525,
2021-11-09 13:30:00,-71.2486557358776,
2021-11-09 15:00:00,-82.244759671309,
2021-11-09 15:30:30,-82.244759671309,
2021-11-09 23:59:59,-94.70884218197693,c
2021-11-10 00:00:00,-66.20280955491614,
2021-11-10 10:00:00,-33.43256431355451,
2021-11-10 10:30:00,-21.97980032128828,
2021-11-10 12:00:00,-26.89293065860238,
2021-11-10 13:30:00,-7.771078570815689,
2021-11-10 15:00:00,4.971382040550907,
2021-11-10 15:30:30,4.971382040550907,
2021-11-10 23:59:59,21.453233468169174,c
2021-11-11 00:00:00,16.144538935071182,
2021-11-11 10:00:00,-18.786358370561743,
2021-11-11 10:30:00,-56.17976945103908,
2021-11-11 12:00:00,-15.759538175104353,
2021-11-11 13:30:00,1.6512280381269875,
2021-11-11 15:00:00,-3.940242463014897,
