date,AS_MSCI_AS_EM_HK_STAY_2022_Q1,meta
2022-02-02 02:30:00,-583.7830203654057,
2022-02-02 03:00:00,-583.7830203654057,
2022-02-02 18:30:00,-583.7830203654057,
2022-02-02 20:00:00,-583.7830203654057,
2022-02-02 23:00:00,-583.7830203654057,
2022-02-02 23:59:59,-583.7830203654057,c
2022-02-03 00:00:00,-583.7830203654057,
2022-02-03 01:00:00,-583.7830203654057,
2022-02-03 02:30:00,-583.7830203654057,
2022-02-03 03:00:00,-583.7830203654057,
2022-02-03 18:30:00,-583.7830203654057,
2022-02-03 20:00:00,-583.7830203654057,
2022-02-03 23:00:00,-483.3435488011701,
2022-02-03 23:59:59,-483.3435488011701,c
2022-02-04 00:00:00,-229.7162212397152,
2022-02-04 01:00:00,-154.63303822355556,
2022-02-04 02:30:00,-142.60451499794362,
2022-02-04 03:00:00,-161.62479398065807,
2022-02-04 18:30:00,-161.62479398065807,
2022-02-04 20:00:00,-161.62479398065807,
2022-02-04 23:00:00,-161.62479398065807,
2022-02-04 23:59:59,-163.94490724089974,w
2022-02-07 00:00:00,-188.02987328907602,
2022-02-07 01:00:00,-175.63175488618708,
2022-02-07 02:30:00,-159.90624457020658,
2022-02-07 03:00:00,-156.90442186188102,
2022-02-07 18:30:00,-156.90442186188102,
2022-02-07 20:00:00,-156.90442186188102,
2022-02-07 23:00:00,-374.8654493237509,
2022-02-07 23:59:59,-370.2000578034449,c
2022-02-08 00:00:00,-297.2444256913159,
2022-02-08 01:00:00,-242.8320261412846,
2022-02-08 02:30:00,-220.7990125305596,
2022-02-08 03:00:00,-239.39690358229836,
2022-02-08 18:30:00,-239.39690358229836,
2022-02-08 20:00:00,-239.39690358229836,
2022-02-08 23:00:00,-92.31671895583258,
2022-02-08 23:59:59,-88.2816922040256,c
2022-02-09 00:00:00,75.28522005997092,
2022-02-09 01:00:00,127.88826676709687,
2022-02-09 02:30:00,109.76352167475761,
2022-02-09 03:00:00,116.39171789135798,
2022-02-09 18:30:00,116.39171789135798,
2022-02-09 20:00:00,116.39171789135798,
2022-02-09 23:00:00,0.503701808968799,
2022-02-09 23:59:59,0.0,a
2022-02-10 00:00:00,179.86569529708595,
2022-02-10 01:00:00,279.0420735144262,
2022-02-10 02:30:00,312.2537622934742,
2022-02-10 03:00:00,336.4463712121269,
2022-02-10 18:30:00,336.4463712121269,
2022-02-10 20:00:00,336.4463712121269,
2022-02-10 23:00:00,359.25064304516854,
2022-02-10 23:59:59,361.04283005734396,c
2022-02-11 00:00:00,398.7344604592763,
2022-02-11 01:00:00,312.39909832289413,
2022-02-11 02:30:00,356.17546847209815,
2022-02-11 03:00:00,375.69016698230735,
2022-02-11 18:30:00,375.69016698230735,
2022-02-11 20:00:00,375.69016698230735,
2022-02-11 23:00:00,375.69016698230735,
2022-02-11 23:59:59,380.01765142896875,w
2022-02-14 00:00:00,107.649363791621,
2022-02-14 01:00:00,36.10065422570551,
2022-02-14 02:30:00,86.33452533839409,
2022-02-14 03:00:00,130.48392494203472,
2022-02-14 18:30:00,130.48392494203472,
2022-02-14 20:00:00,130.48392494203472,
2022-02-14 23:00:00,135.87090292144694,
2022-02-14 23:59:59,137.7661430110702,c
0,137.7661430110702,
0,137.7661430110702,
0,137.7661430110702,
0,137.7661430110702,
0,137.7661430110702,
0,137.7661430110702,
0,137.7661430110702,
0,137.7661430110702,
0,137.7661430110702,
0,137.7661430110702,
0,137.7661430110702,
0,137.7661430110702,
0,137.7661430110702,
0,137.7661430110702,
0,137.7661430110702,
0,137.7661430110702,
0,137.7661430110702,
0,137.7661430110702,
0,137.7661430110702,
0,137.7661430110702,
0,137.7661430110702,
0,137.7661430110702,
0,137.7661430110702,
0,137.7661430110702,
2022-02-15 00:00:00,111.53129775613434,
2022-02-15 01:00:00,67.32197423706748,
2022-02-15 02:30:00,54.57256836974284,
2022-02-15 03:00:00,74.12758444098836,
2022-02-15 18:30:00,74.12758444098836,
2022-02-15 20:00:00,74.12758444098836,
2022-02-15 23:00:00,55.776089556679835,
2022-02-15 23:59:59,56.18165865035007,c
2022-02-16 00:00:00,195.33155108189476,
2022-02-16 01:00:00,167.12525675884444,
2022-02-16 02:30:00,163.48112598741955,
2022-02-16 03:00:00,178.84146110773418,
2022-02-16 18:30:00,178.84146110773418,
2022-02-16 20:00:00,178.84146110773418,
2022-02-16 23:00:00,73.71082654999827,
2022-02-16 23:59:59,72.94852482704937,c
2022-02-17 00:00:00,100.87770119821198,
2022-02-17 01:00:00,111.37445012910484,
2022-02-17 02:30:00,185.26444111494766,
2022-02-17 03:00:00,209.5405009182823,
2022-02-17 18:30:00,209.5405009182823,
2022-02-17 20:00:00,209.5405009182823,
2022-02-17 23:00:00,317.9544081422064,
2022-02-17 23:59:59,318.3735329395722,c
2022-02-18 00:00:00,215.96404426161098,
2022-02-18 01:00:00,251.8637089348049,
2022-02-18 02:30:00,189.78576600176893,
2022-02-18 03:00:00,149.85957354895436,
2022-02-18 18:30:00,149.85957354895436,
2022-02-18 20:00:00,149.85957354895436,
2022-02-18 23:00:00,149.85957354895436,
2022-02-18 23:59:59,148.9854063417406,w
