date,EU_MSCI_FACTOR_UNTRADE_2021_Q4,meta
2021-11-12 06:00:00,-19.680663522739906,
2021-11-12 08:00:00,-26.65150301527342,
2021-11-12 10:30:00,-26.53125658909562,
2021-11-12 11:00:00,-28.225494014265678,
2021-11-12 23:59:59,-24.60861100335842,w
2021-11-15 00:00:00,2.857528313326611,
2021-11-15 03:30:00,-24.991593633909133,
2021-11-15 04:00:00,-6.554883812761545,
2021-11-15 06:00:00,-2.1228009293458854,
2021-11-15 08:00:00,8.700180400051067,
2021-11-15 10:30:00,18.02527635984211,
2021-11-15 11:00:00,16.51398233439727,
2021-11-15 23:59:59,24.668599010255775,c
2021-11-16 00:00:00,12.423562905204335,
2021-11-16 03:30:00,-19.249432459482477,
2021-11-16 04:00:00,-37.62946890060675,
2021-11-16 06:00:00,-53.380432532272835,
2021-11-16 08:00:00,-60.14474873989502,
2021-11-16 10:30:00,-63.01217857171673,
2021-11-16 11:00:00,-60.664234818745854,
2021-11-16 23:59:59,-65.4062380560008,c
2021-11-17 00:00:00,-63.73163315502484,
2021-11-17 03:30:00,-76.681487854544,
2021-11-17 04:00:00,-73.15425888040181,
2021-11-17 06:00:00,-64.69734743695926,
2021-11-17 08:00:00,-59.9148978609262,
2021-11-17 10:30:00,-76.9716849691365,
2021-11-17 11:00:00,-76.80737673466228,
2021-11-17 23:59:59,-67.79066118453488,c
2021-11-18 00:00:00,-54.18861996318515,
2021-11-18 03:30:00,-38.40119969844045,
2021-11-18 04:00:00,-27.71951824302778,
2021-11-18 06:00:00,-14.134912316762211,
2021-11-18 08:00:00,2.6913319362895436,
2021-11-18 10:30:00,2.776782439015051,
2021-11-18 11:00:00,4.519715090882755,
2021-11-18 23:59:59,0.0,a
2021-11-19 00:00:00,-8.464688799856958,
2021-11-19 03:30:00,2.13176358078249,
2021-11-19 04:00:00,10.254259709223561,
2021-11-19 06:00:00,5.522418271490551,
2021-11-19 08:00:00,2.503431180385178,
2021-11-19 10:30:00,-6.612732712112347,
2021-11-19 11:00:00,-4.850867012342633,
2021-11-19 23:59:59,-1.4360499284573507,w
2021-11-22 00:00:00,7.336451298900556,
2021-11-22 03:30:00,-21.610430314943642,
2021-11-22 04:00:00,-9.962440297642843,
2021-11-22 06:00:00,-3.6186073935718923,
2021-11-22 08:00:00,3.744799152641008,
2021-11-22 10:30:00,13.344340571750081,
2021-11-22 11:00:00,8.844158636860357,
2021-11-22 23:59:59,8.494677567420467,c
2021-11-23 00:00:00,3.312663516676139,
2021-11-23 03:30:00,8.310143227934532,
2021-11-23 04:00:00,0.566312775264123,
2021-11-23 06:00:00,34.035512204105544,
2021-11-23 08:00:00,27.96050853318252,
2021-11-23 10:30:00,40.37401246055788,
2021-11-23 11:00:00,40.661128717503516,
2021-11-23 23:59:59,68.4035575080461,c
0,68.4035575080461,
0,68.4035575080461,
0,68.4035575080461,
0,68.4035575080461,
0,68.4035575080461,
0,68.4035575080461,
0,68.4035575080461,
0,68.4035575080461,
0,68.4035575080461,
0,68.4035575080461,
0,68.4035575080461,
0,68.4035575080461,
0,68.4035575080461,
0,68.4035575080461,
0,68.4035575080461,
0,68.4035575080461,
0,68.4035575080461,
0,68.4035575080461,
0,68.4035575080461,
0,68.4035575080461,
0,68.4035575080461,
0,68.4035575080461,
0,68.4035575080461,
0,68.4035575080461,
2021-11-24 00:00:00,81.81401535825307,
2021-11-24 03:30:00,82.24314365675536,
2021-11-24 04:00:00,101.29162513139477,
2021-11-24 06:00:00,105.01148991008813,
2021-11-24 08:00:00,133.12012351731187,
2021-11-24 10:30:00,105.15199977028033,
2021-11-24 11:00:00,104.64839711041418,
2021-11-24 23:59:59,72.69513132163706,c
2021-11-25 00:00:00,72.03808046340328,
2021-11-25 03:30:00,74.2146354280842,
2021-11-25 04:00:00,81.2098729867439,
2021-11-25 06:00:00,92.48461300733925,
2021-11-25 08:00:00,110.69588080575295,
2021-11-25 10:30:00,101.8214479350354,
2021-11-25 11:00:00,103.22417314955578,
2021-11-25 23:59:59,100.0849588087558,c
2021-11-26 00:00:00,56.52472091330492,
2021-11-26 03:30:00,71.52724756561156,
2021-11-26 04:00:00,80.9111878896963,
2021-11-26 06:00:00,68.08324111445995,
2021-11-26 08:00:00,59.75587890840711,
2021-11-26 10:30:00,79.48874676398941,
2021-11-26 11:00:00,79.04429639410819,
2021-11-26 23:59:59,81.51501477345187,w
2021-11-29 00:00:00,96.34331733283534,
2021-11-29 03:30:00,67.74617094038263,
2021-11-29 04:00:00,54.67324372604867,
2021-11-29 06:00:00,41.39873980930247,
2021-11-29 08:00:00,26.11386004176643,
2021-11-29 10:30:00,28.72374504102595,
2021-11-29 11:00:00,26.13884588317387,
2021-11-29 23:59:59,22.06135015119321,c
2021-11-30 00:00:00,9.448255134466763,
2021-11-30 03:30:00,-23.271504225683884,
2021-11-30 04:00:00,-17.57288744781863,
2021-11-30 06:00:00,-70.05048808298943,
2021-11-30 08:00:00,-68.68196431235674,
2021-11-30 10:30:00,-90.1361369922522,
2021-11-30 11:00:00,-95.06728993679872,
2021-11-30 23:59:59,-71.72693463010478,e
2021-12-01 00:00:00,-50.73798903617444,
2021-12-01 03:30:00,-51.95338535547353,
2021-12-01 04:00:00,-73.49934515747941,
2021-12-01 06:00:00,-70.64817497320996,
2021-12-01 08:00:00,-63.415531890297416,
2021-12-01 10:30:00,-53.23111882107378,
2021-12-01 11:00:00,-49.63936608870654,
2021-12-01 23:59:59,-54.80456615724893,c
2021-12-02 00:00:00,-15.355482344031543,
2021-12-02 03:30:00,-53.52184866821517,
2021-12-02 04:00:00,-50.36491156722923,
2021-12-02 06:00:00,-77.54821489464234,
2021-12-02 08:00:00,-60.75304225605237,
2021-12-02 10:30:00,-61.11899278594365,
2021-12-02 11:00:00,-60.38175986346573,
2021-12-02 23:59:59,-46.48224210820126,c
2021-12-03 00:00:00,-31.512300301630376,
2021-12-03 03:30:00,-47.32030384894847,
2021-12-03 04:00:00,-40.047416205758964,
2021-12-03 06:00:00,-51.11763808437286,
2021-12-03 08:00:00,-60.674094518029506,
2021-12-03 10:30:00,-63.288907211357355,
2021-12-03 11:00:00,-63.15822446712423,
2021-12-03 23:59:59,-61.5462213076903,w
2021-12-06 00:00:00,-100.11997181839047,
2021-12-06 03:30:00,-81.44394243627221,
2021-12-06 04:00:00,-85.89081749363868,
2021-12-06 06:00:00,-68.77061871876504,
2021-12-06 08:00:00,-60.239041887361054,
2021-12-06 10:30:00,-63.892535093188826,
2021-12-06 11:00:00,-62.46438243257262,
2021-12-06 23:59:59,-51.85211023039642,c
2021-12-07 00:00:00,-51.85211023039642,
2021-12-07 03:30:00,-53.61407563791272,
2021-12-07 04:00:00,-63.03377025497002,
2021-12-07 06:00:00,-35.651357491124145,
2021-12-07 08:00:00,-4.001076627576367,
2021-12-07 10:30:00,-14.710506281534435,
2021-12-07 11:00:00,-13.134168752181722,
2021-12-07 23:59:59,-17.104239601160316,c
2021-12-08 00:00:00,4.5273551992825105,
2021-12-08 03:30:00,16.46667437908468,
2021-12-08 04:00:00,20.819895927322023,
2021-12-08 06:00:00,29.36025920243992,
2021-12-08 08:00:00,31.732090600304446,
2021-12-08 10:30:00,35.5458079240625,
2021-12-08 11:00:00,35.77654903766711,
2021-12-08 23:59:59,45.639415281023275,c
2021-12-09 00:00:00,29.669695529556975,
2021-12-09 03:30:00,56.6257346749901,
2021-12-09 04:00:00,69.61778873634853,
2021-12-09 06:00:00,74.61811078003234,
2021-12-09 08:00:00,81.91169548076891,
2021-12-09 10:30:00,90.4101132845492,
2021-12-09 11:00:00,91.8074566889029,
2021-12-09 23:59:59,75.20987037125315,c
2021-12-10 00:00:00,84.94792984670698,
2021-12-10 03:30:00,91.19259355153281,
2021-12-10 04:00:00,97.69182270217834,
2021-12-10 06:00:00,101.12610379432249,
2021-12-10 08:00:00,103.08210594219372,
2021-12-10 10:30:00,124.26971714283854,
2021-12-10 11:00:00,123.79185036652757,
2021-12-10 23:59:59,126.35709431539567,w
2021-12-13 00:00:00,140.7446453822613,
2021-12-13 03:30:00,109.97837333634266,
2021-12-13 04:00:00,110.57700657071064,
2021-12-13 06:00:00,101.41061401364232,
2021-12-13 08:00:00,126.4227276982233,
2021-12-13 10:30:00,161.26611211334944,
2021-12-13 11:00:00,161.52991451729235,
2021-12-13 23:59:59,157.02060442415768,c
2021-12-14 00:00:00,149.90885558017862,
2021-12-14 03:30:00,136.77976641127498,
2021-12-14 04:00:00,134.68569688961293,
2021-12-14 06:00:00,122.64138046811968,
2021-12-14 08:00:00,116.43908995016272,
2021-12-14 10:30:00,149.69721286236904,
2021-12-14 11:00:00,147.32648063180227,
2021-12-14 23:59:59,149.62310672099056,c
2021-12-15 00:00:00,151.52049807987282,
2021-12-15 03:30:00,128.47377195060108,
2021-12-15 04:00:00,140.27996680610045,
2021-12-15 06:00:00,133.52342084710472,
2021-12-15 08:00:00,136.03473960683777,
2021-12-15 10:30:00,139.91929197560125,
2021-12-15 11:00:00,140.02559206144952,
2021-12-15 23:59:59,140.4159221400712,c
2021-12-16 00:00:00,147.16666010990457,
2021-12-16 03:30:00,135.88953288894254,
2021-12-16 04:00:00,140.43913419049227,
2021-12-16 06:00:00,145.68936853872765,
2021-12-16 08:00:00,181.9239257233653,
2021-12-16 10:30:00,177.1738569045026,
2021-12-16 11:00:00,178.73908528824222,
2021-12-16 23:59:59,194.07924940388352,c
2021-12-17 00:00:00,151.58408518347437,
2021-12-17 03:30:00,145.9155625640924,
2021-12-17 04:00:00,140.37871206202726,
2021-12-17 06:00:00,137.3240427386263,
2021-12-17 08:00:00,112.90271161414285,
2021-12-17 10:30:00,52.23972707605412,
2021-12-17 11:00:00,55.16836392150299,
2021-12-17 23:59:59,75.48847111474902,w
2021-12-20 00:00:00,52.9487418148442,
2021-12-20 03:30:00,109.42041463289479,
2021-12-20 04:00:00,135.0628216074822,
2021-12-20 06:00:00,112.43566770925759,
2021-12-20 08:00:00,101.0826205322519,
2021-12-20 10:30:00,110.69956470285888,
2021-12-20 11:00:00,110.73189022363476,
2021-12-20 23:59:59,136.7543858099575,c
2021-12-21 00:00:00,111.50589028716422,
2021-12-21 03:30:00,2.973489503375049,
2021-12-21 04:00:00,5.418920951372002,
2021-12-21 06:00:00,21.86202250787187,
2021-12-21 08:00:00,23.849278912948193,
2021-12-21 10:30:00,38.253944469058524,
2021-12-21 11:00:00,39.623209535729075,
2021-12-21 23:59:59,49.279584788156626,c
