date,MSCI_FACT_VLUE_2020_Q4,meta
2020-11-04 13:30:00,54.13101259742686,
2020-11-04 15:00:00,56.05084460330673,
2020-11-04 15:30:30,56.05084460330673,
2020-11-04 23:59:59,64.93614652458157,c
2020-11-05 00:00:00,47.55878396758774,
2020-11-05 10:00:00,-3.816682090858336,
2020-11-05 10:30:00,1.984080760613864,
2020-11-05 12:00:00,-8.558709819079866,
2020-11-05 13:30:00,-21.614994781818837,
2020-11-05 15:00:00,-23.86475446275759,
2020-11-05 15:30:30,-23.86475446275759,
2020-11-05 23:59:59,-24.02382213983779,c
2020-11-06 00:00:00,-18.927077033656047,
2020-11-06 10:00:00,-38.03956156194701,
2020-11-06 10:30:00,-46.15109032046681,
2020-11-06 12:00:00,-27.63469433987845,
2020-11-06 13:30:00,-18.81366419936731,
2020-11-06 15:00:00,-13.407453553642256,
2020-11-06 15:30:30,-13.407453553642256,
2020-11-06 23:59:59,-11.627768737991033,w
2020-11-09 00:00:00,-20.1080035774296,
2020-11-09 10:00:00,-93.22788515849174,
2020-11-09 10:30:00,-89.17095357147895,
2020-11-09 12:00:00,-89.21087755564105,
2020-11-09 13:30:00,-101.71905672964694,
2020-11-09 15:00:00,-90.69830294505377,
2020-11-09 15:30:30,-90.69830294505377,x
2020-11-09 23:59:59,-96.24345371894657,c
2020-11-10 00:00:00,-85.92885594434767,
2020-11-10 10:00:00,-76.56375950381621,
2020-11-10 10:30:00,-54.301634615783485,
2020-11-10 12:00:00,-48.3894602735287,
2020-11-10 13:30:00,-21.485718500707605,
2020-11-10 15:00:00,-27.339249489318945,
2020-11-10 15:30:30,-27.339249489318945,
2020-11-10 23:59:59,-22.868312680665298,c
2020-11-11 00:00:00,-33.20874678530595,
2020-11-11 10:00:00,-0.7639503297210126,
2020-11-11 10:30:00,-10.388304726211544,
2020-11-11 12:00:00,-6.30683444952129,
2020-11-11 13:30:00,-4.106140133030607,
2020-11-11 15:00:00,2.7307006055456498,
2020-11-11 15:30:30,2.7307006055456498,
2020-11-11 23:59:59,5.402748308816626,c
2020-11-12 00:00:00,10.73525667701827,
2020-11-12 10:00:00,36.628254466358925,
2020-11-12 10:30:00,23.165027473720897,
2020-11-12 12:00:00,8.592463584720576,
2020-11-12 13:30:00,13.017499476264987,
2020-11-12 15:00:00,30.635243413083828,
2020-11-12 15:30:30,30.635243413083828,
2020-11-12 23:59:59,28.262357794950134,c
2020-11-13 00:00:00,67.47730865201808,
2020-11-13 10:00:00,35.76683742405638,
2020-11-13 10:30:00,40.37236713164495,
2020-11-13 12:00:00,40.25842425514426,
2020-11-13 13:30:00,31.467566398974384,
2020-11-13 15:00:00,42.26676939097504,
2020-11-13 15:30:30,42.26676939097504,
2020-11-13 23:59:59,43.64012693212746,w
2020-11-16 00:00:00,4.5921755459465885,
2020-11-16 10:00:00,32.54703128305249,
2020-11-16 10:30:00,25.794768183849555,
2020-11-16 12:00:00,13.36564801501504,
2020-11-16 13:30:00,20.094872898423006,
2020-11-16 15:00:00,16.796420233943934,
2020-11-16 15:30:30,16.796420233943934,
2020-11-16 23:59:59,14.65731087053797,c
2020-11-17 00:00:00,6.668104051663988,
2020-11-17 10:00:00,53.65183341639866,
2020-11-17 10:30:00,32.000174490774754,
2020-11-17 12:00:00,25.382777024005463,
2020-11-17 13:30:00,16.42916406216787,
2020-11-17 15:00:00,9.64642887819167,
2020-11-17 15:30:30,9.64642887819167,
2020-11-17 23:59:59,-0.37139529835297935,c
2020-11-18 00:00:00,7.320737643439003,
2020-11-18 10:00:00,4.3773099432503955,
2020-11-18 10:30:00,-3.9788494388114657,
2020-11-18 12:00:00,-3.9885479706030367,
2020-11-18 13:30:00,-2.9183513212178127,
2020-11-18 15:00:00,-3.3162445569734302,
2020-11-18 15:30:30,-3.3162445569734302,
2020-11-18 23:59:59,0.0,a
2020-11-19 00:00:00,-2.158785908082791,
2020-11-19 10:00:00,37.359093793874166,
2020-11-19 10:30:00,21.172144421607868,
2020-11-19 12:00:00,24.782874586120045,
2020-11-19 13:30:00,32.45020173905036,
2020-11-19 15:00:00,29.73039442574185,
2020-11-19 15:30:30,29.73039442574185,
2020-11-19 23:59:59,28.32908203367481,c
2020-11-20 00:00:00,23.433522765673843,
2020-11-20 10:00:00,36.43567588221512,
2020-11-20 10:30:00,43.14962068606778,
2020-11-20 12:00:00,39.72193120294409,
2020-11-20 13:30:00,38.52950055780977,
2020-11-20 15:00:00,39.71899246792114,
2020-11-20 15:30:30,39.71899246792114,
2020-11-20 23:59:59,35.005951045453145,w
2020-11-23 00:00:00,16.648645250022327,
2020-11-23 10:00:00,23.366164453374836,
