date,NANR_2022_Q2,meta
2022-07-11 10:30:00,-85.96389191817262,
2022-07-11 12:00:00,-103.97534802805276,
2022-07-11 13:30:00,-108.6363619470134,
2022-07-11 15:00:00,-110.50898629986231,
2022-07-11 15:30:30,-110.50898629986231,
2022-07-11 23:59:59,-99.74805092030645,c
2022-07-12 00:00:00,-124.89352054117029,
2022-07-12 10:00:00,-112.36544714128117,
2022-07-12 10:30:00,-112.18785374606371,
2022-07-12 12:00:00,-77.19765728371446,
2022-07-12 13:30:00,-85.72569562757423,
2022-07-12 15:00:00,-99.98125507519505,
2022-07-12 15:30:30,-99.98125507519505,
2022-07-12 23:59:59,-119.81903928160239,c
2022-07-13 00:00:00,-162.168424221673,
2022-07-13 10:00:00,-210.50633242544757,
2022-07-13 10:30:00,-179.30867162963318,
2022-07-13 12:00:00,-165.45626061135928,
2022-07-13 13:30:00,-180.8239009288211,
2022-07-13 15:00:00,-180.07353946447677,
2022-07-13 15:30:30,-180.07353946447677,
2022-07-13 23:59:59,-175.8109942460287,c
2022-07-14 00:00:00,-250.57985501285782,
2022-07-14 10:00:00,-265.3172848237145,
2022-07-14 10:30:00,-265.1987207634858,
2022-07-14 12:00:00,-281.8509123606203,
2022-07-14 13:30:00,-276.7818590725473,
2022-07-14 15:00:00,-295.055734525501,
2022-07-14 15:30:30,-295.055734525501,
2022-07-14 23:59:59,-304.38227017121113,c
