date,AS_MSCI_EM_REST_STAY,meta
2022-06-09 20:00:00,0.0,
2022-06-09 23:00:00,0.0,
2022-06-09 23:59:59,0.0,c
2022-06-10 00:00:00,0.0,
2022-06-10 01:00:00,0.0,
2022-06-10 02:30:00,0.0,
2022-06-10 03:00:00,0.0,
2022-06-10 18:30:00,0.0,
2022-06-10 20:00:00,0.0,
2022-06-10 23:00:00,0.0,
2022-06-10 23:59:59,0.0,w
2022-06-13 00:00:00,0.0,
2022-06-13 01:00:00,0.0,
2022-06-13 02:30:00,0.0,
2022-06-13 03:00:00,0.0,
2022-06-13 18:30:00,0.0,
2022-06-13 20:00:00,0.0,
2022-06-13 23:00:00,0.0,
2022-06-13 23:59:59,0.0,c
2022-06-14 00:00:00,0.0,
2022-06-14 01:00:00,0.0,
2022-06-14 02:30:00,0.0,
2022-06-14 03:00:00,0.0,
2022-06-14 18:30:00,0.0,
2022-06-14 20:00:00,0.0,
2022-06-14 23:00:00,0.0,
2022-06-14 23:59:59,0.0,c
2022-06-15 00:00:00,0.0,
2022-06-15 01:00:00,0.0,
2022-06-15 02:30:00,0.0,
2022-06-15 03:00:00,0.0,
2022-06-15 18:30:00,0.0,
2022-06-15 20:00:00,0.0,
2022-06-15 23:00:00,0.0,
2022-06-15 23:59:59,0.0,c
2022-06-16 00:00:00,0.0,
2022-06-16 01:00:00,0.0,
2022-06-16 02:30:00,0.0,
2022-06-16 03:00:00,0.0,
2022-06-16 18:30:00,0.0,
2022-06-16 20:00:00,0.0,
2022-06-16 23:00:00,0.0,
2022-06-16 23:59:59,0.0,c
2022-06-17 00:00:00,0.0,
2022-06-17 01:00:00,0.0,
2022-06-17 02:30:00,0.0,
2022-06-17 03:00:00,0.0,
2022-06-17 18:30:00,0.0,
2022-06-17 20:00:00,0.0,
2022-06-17 23:00:00,0.0,
2022-06-17 23:59:59,0.0,w
2022-06-20 00:00:00,0.0,
2022-06-20 01:00:00,0.0,
2022-06-20 02:30:00,0.0,
2022-06-20 03:00:00,0.0,
2022-06-20 18:30:00,0.0,
2022-06-20 20:00:00,0.0,
2022-06-20 23:00:00,0.0,
2022-06-20 23:59:59,0.0,c
2022-06-21 00:00:00,0.0,
2022-06-21 01:00:00,0.0,
2022-06-21 02:30:00,0.0,
2022-06-21 03:00:00,0.0,
2022-06-21 18:30:00,0.0,
2022-06-21 20:00:00,0.0,
2022-06-21 23:00:00,0.0,
2022-06-21 23:59:59,0.0,c
