date,AS_IGF_2022_Q3,meta
2022-09-30 20:00:00,134.25453762177426,
2022-09-30 23:00:00,134.25453762177426,
2022-09-30 23:59:59,120.00298256569181,e
2022-10-03 00:00:00,145.22373706693725,
2022-10-03 01:00:00,117.09508694028113,
2022-10-03 02:30:00,123.30306312825383,
2022-10-03 03:00:00,128.73726504089996,
2022-10-03 18:30:00,123.88732622933253,
2022-10-03 20:00:00,127.93259685380758,
2022-10-03 23:00:00,85.67833508187414,
2022-10-03 23:59:59,75.18950553004447,c
2022-10-04 00:00:00,92.75496081159281,
2022-10-04 01:00:00,95.10847332547723,
2022-10-04 02:30:00,95.10847332547723,
2022-10-04 03:00:00,95.10847332547723,
2022-10-04 18:30:00,94.76212626658184,
2022-10-04 20:00:00,95.03247270863471,
2022-10-04 23:00:00,49.221440311362585,
2022-10-04 23:59:59,83.43088810714926,c
2022-10-05 00:00:00,58.065137905260826,
2022-10-05 01:00:00,30.356833660796838,
2022-10-05 02:30:00,25.425379764278887,
2022-10-05 03:00:00,35.58285347822266,
2022-10-05 18:30:00,18.171916072298586,
2022-10-05 20:00:00,46.698560162136346,
2022-10-05 23:00:00,69.83442255317254,
2022-10-05 23:59:59,63.92615197979535,c
2022-10-06 00:00:00,64.04542816197,
2022-10-06 01:00:00,79.02385854985891,
2022-10-06 02:30:00,76.94340033177764,
2022-10-06 03:00:00,93.89650602109214,
2022-10-06 18:30:00,103.40308558380866,
2022-10-06 20:00:00,130.76293871832377,
2022-10-06 23:00:00,138.16840923175982,
2022-10-06 23:59:59,132.3796067864057,c
2022-10-07 00:00:00,123.18926247860645,
2022-10-07 01:00:00,92.46523877204004,
2022-10-07 02:30:00,84.96771841950385,
2022-10-07 03:00:00,87.66611643312808,
2022-10-07 18:30:00,87.66611643312808,
2022-10-07 20:00:00,87.66611643312808,
2022-10-07 23:00:00,87.66611643312808,
2022-10-07 23:59:59,91.49268089160773,w
2022-10-10 00:00:00,95.05562353115465,
2022-10-10 01:00:00,75.05428047039845,
2022-10-10 02:30:00,81.38230455926328,
2022-10-10 03:00:00,86.48953895317845,
2022-10-10 18:30:00,93.88649615077293,
2022-10-10 20:00:00,97.69696913947405,
2022-10-10 23:00:00,129.39102823746475,
2022-10-10 23:59:59,122.5345487584882,c
2022-10-11 00:00:00,127.63471564699694,
2022-10-11 01:00:00,129.2605287987417,
2022-10-11 02:30:00,131.12528176493788,
2022-10-11 03:00:00,130.65547727128637,
2022-10-11 18:30:00,147.40911610957687,
2022-10-11 20:00:00,175.75541388206352,
2022-10-11 23:00:00,176.67925378033328,
2022-10-11 23:59:59,213.83221041062802,c
2022-10-12 00:00:00,227.57288611811282,
2022-10-12 01:00:00,233.6541069766563,
2022-10-12 02:30:00,202.7216068218279,
2022-10-12 03:00:00,189.3261285425083,
2022-10-12 18:30:00,206.2376704991434,
2022-10-12 20:00:00,189.74933441324242,
2022-10-12 23:00:00,254.9204461108759,
2022-10-12 23:59:59,251.30877703822375,c
2022-10-13 00:00:00,241.28864786854706,
2022-10-13 01:00:00,230.6098022062199,
2022-10-13 02:30:00,219.31646837181256,
2022-10-13 03:00:00,217.33264301174108,
2022-10-13 18:30:00,222.02458954269105,
2022-10-13 20:00:00,208.11251949612665,
2022-10-13 23:00:00,200.50395722122607,
2022-10-13 23:59:59,193.2047310809378,c
2022-10-14 00:00:00,175.05710292279218,
2022-10-14 01:00:00,176.69470032768618,
2022-10-14 02:30:00,187.2297049144945,
2022-10-14 03:00:00,182.3437067033817,
2022-10-14 18:30:00,182.3437067033817,
2022-10-14 20:00:00,182.3437067033817,
2022-10-14 23:00:00,182.3437067033817,
2022-10-14 23:59:59,169.26387506382184,w
