date,AWWQ_2022_Q2,meta
2022-06-22 23:59:59,48.81941958877952,c
2022-06-23 00:00:00,50.604929835007134,
2022-06-23 10:00:00,52.543726775515246,
2022-06-23 10:30:00,43.81695867109506,
2022-06-23 12:00:00,19.055926317748757,
2022-06-23 13:30:00,18.53676702747181,
2022-06-23 15:00:00,12.555922563897873,
2022-06-23 15:30:30,12.555922563897873,
2022-06-23 23:59:59,4.472655948703348,c
2022-06-24 00:00:00,4.4409277261997815,
2022-06-24 10:00:00,-5.8346421116645,
2022-06-24 10:30:00,-14.661750221840336,
2022-06-24 12:00:00,-9.625956447186098,
2022-06-24 13:30:00,-12.820473700086897,
2022-06-24 15:00:00,-9.624242401606299,
2022-06-24 15:30:30,-9.624242401606299,
2022-06-24 23:59:59,-52.351417385738365,w
2022-06-27 00:00:00,-50.04089154206362,
2022-06-27 10:00:00,-23.473014042580253,
2022-06-27 10:30:00,-14.242725252406423,
2022-06-27 12:00:00,-28.315936055775428,
2022-06-27 13:30:00,-33.31080829785474,
2022-06-27 15:00:00,-29.65340683288632,
2022-06-27 15:30:30,-29.65340683288632,
2022-06-27 23:59:59,-23.611614881218063,c
2022-06-28 00:00:00,-16.188453666633915,
2022-06-28 10:00:00,-13.78524980876658,
2022-06-28 10:30:00,-9.128913697768425,
2022-06-28 12:00:00,-5.594642409782459,
2022-06-28 13:30:00,-6.830139880929735,
2022-06-28 15:00:00,-5.185314960384584,
2022-06-28 15:30:30,-5.185314960384584,
2022-06-28 23:59:59,-0.626369896484654,c
2022-06-29 00:00:00,5.159518093982371,
2022-06-29 10:00:00,9.118810806467991,
2022-06-29 10:30:00,5.77900538088759,
2022-06-29 12:00:00,4.999398019418955,
2022-06-29 13:30:00,1.435635592368122,
2022-06-29 15:00:00,-0.11991309886749946,
2022-06-29 15:30:30,-0.11991309886749946,
2022-06-29 23:59:59,-3.349168024380077,c
2022-06-30 00:00:00,-5.7786251235873,
2022-06-30 10:00:00,9.125724198667385,
2022-06-30 10:30:00,13.114558524243584,
2022-06-30 12:00:00,7.231666501091411,
2022-06-30 13:30:00,14.211613035949085,
2022-06-30 15:00:00,15.744612690321127,
2022-06-30 15:30:30,15.744612690321127,
2022-06-30 23:59:59,17.546898154042452,c
2022-07-01 00:00:00,12.245172761166202,
2022-07-01 10:00:00,5.602090142189915,
2022-07-01 10:30:00,-1.8872667795244453,
2022-07-01 12:00:00,-9.440220281225315,
2022-07-01 13:30:00,-5.726718721097495,
2022-07-01 15:00:00,-6.504037408429426,
2022-07-01 15:30:30,-6.504037408429426,
2022-07-01 23:59:59,-6.5800872302323725,w
