date,USMC_2022_Q4,meta
2022-10-24 15:00:00,1.6413225025810192,
2022-10-24 15:30:30,1.6413225025810192,
2022-10-24 23:59:59,0.0,a
2022-10-25 00:00:00,3.794003698366595,
2022-10-25 10:00:00,23.101610412758475,
2022-10-25 10:30:00,20.294762393017137,
2022-10-25 12:00:00,18.533152963411425,
2022-10-25 13:30:00,19.633114385741393,
2022-10-25 15:00:00,20.628959376090975,
2022-10-25 15:30:30,20.628959376090975,
2022-10-25 23:59:59,8.130499946011895,c
2022-10-26 00:00:00,34.583125667437486,
2022-10-26 10:00:00,40.571669810196624,
2022-10-26 10:30:00,40.42474358326548,
2022-10-26 12:00:00,44.78900722311646,
2022-10-26 13:30:00,34.94286363912232,
2022-10-26 15:00:00,35.074889662718306,
2022-10-26 15:30:30,35.074889662718306,
2022-10-26 23:59:59,35.48138612316309,c
2022-10-27 00:00:00,-2.200253098209714,
2022-10-27 10:00:00,40.50894937093322,
2022-10-27 10:30:00,20.842100241865168,
2022-10-27 12:00:00,29.06676237880933,
2022-10-27 13:30:00,42.584515609677794,
2022-10-27 15:00:00,56.36242325800082,
2022-10-27 15:30:30,56.36242325800082,
2022-10-27 23:59:59,61.15340523225745,c
2022-10-28 00:00:00,98.02512606221937,
2022-10-28 10:00:00,137.1596165187051,
2022-10-28 10:30:00,140.72805415775053,
2022-10-28 12:00:00,154.61805085219717,
2022-10-28 13:30:00,154.59686099861298,
2022-10-28 15:00:00,154.56419678213985,
2022-10-28 15:30:30,154.56419678213985,
2022-10-28 23:59:59,151.63809158689355,w
2022-10-31 00:00:00,146.40359547541533,
2022-10-31 10:00:00,133.95388370388986,
2022-10-31 10:30:00,151.87155123761858,
2022-10-31 12:00:00,154.7281583806042,
2022-10-31 13:30:00,154.096789314035,
2022-10-31 15:00:00,143.17046985795088,
2022-10-31 15:30:30,143.17046985795088,
2022-10-31 23:59:59,148.63207073424908,e
2022-11-01 00:00:00,157.3251454479374,
2022-11-01 10:00:00,165.67999241032857,
2022-11-01 10:30:00,171.86887581899086,
2022-11-01 12:00:00,176.41754800805046,
2022-11-01 13:30:00,174.78140822005366,
2022-11-01 15:00:00,180.03739317024556,
2022-11-01 15:30:30,180.03739317024556,
2022-11-01 23:59:59,190.6769754806436,c
2022-11-02 00:00:00,201.35402195216494,
2022-11-02 10:00:00,198.1595609670439,
2022-11-02 10:30:00,203.02769936048793,
2022-11-02 12:00:00,220.77028852681147,
2022-11-02 13:30:00,225.56767471435285,
2022-11-02 15:00:00,221.85484204621883,
2022-11-02 15:30:30,221.85484204621883,
2022-11-02 23:59:59,227.45362550678544,c
2022-11-03 00:00:00,224.0886399020854,
2022-11-03 10:00:00,225.93249516004937,
2022-11-03 10:30:00,246.49107932554676,
2022-11-03 12:00:00,254.46203341634208,
2022-11-03 13:30:00,257.9147493290289,
2022-11-03 15:00:00,251.6255137981526,
2022-11-03 15:30:30,251.6255137981526,
2022-11-03 23:59:59,249.53013027267207,c
2022-11-04 00:00:00,232.30816184952943,
2022-11-04 10:00:00,247.06361121578175,
2022-11-04 10:30:00,253.67040627876878,
2022-11-04 12:00:00,257.0455441727671,
2022-11-04 13:30:00,263.3205984342146,
2022-11-04 15:00:00,262.0216931922562,
2022-11-04 15:30:30,262.0216931922562,
2022-11-04 23:59:59,257.43800546345085,w
2022-11-07 00:00:00,260.3365598361545,
2022-11-07 10:00:00,241.93710908997565,
2022-11-07 10:30:00,238.3589011118823,
2022-11-07 12:00:00,232.34963455461389,
2022-11-07 13:30:00,220.76638226234053,
2022-11-07 15:00:00,216.05844419883817,
2022-11-07 15:30:30,216.05844419883817,
2022-11-07 23:59:59,214.4186983817377,c
2022-11-08 00:00:00,214.53817252433188,
2022-11-08 10:00:00,223.09006089208214,
2022-11-08 10:30:00,216.48497186633463,
2022-11-08 12:00:00,212.83555535035185,
2022-11-08 13:30:00,222.27169814102325,
2022-11-08 15:00:00,235.53471691026976,
2022-11-08 15:30:30,235.53471691026976,
2022-11-08 23:59:59,225.02555140274998,c
2022-11-09 00:00:00,246.76117478154794,
2022-11-09 10:00:00,273.36070737178665,
2022-11-09 10:30:00,270.09773537808223,
2022-11-09 12:00:00,271.1813879934811,
2022-11-09 13:30:00,282.80421796695083,
2022-11-09 15:00:00,297.0227953632192,
2022-11-09 15:30:30,297.0227953632192,
2022-11-09 23:59:59,292.49799872413377,c
2022-11-10 00:00:00,282.7884174971601,
2022-11-10 10:00:00,261.8927336625932,
2022-11-10 10:30:00,266.38817051768524,
2022-11-10 12:00:00,272.92224703162947,
2022-11-10 13:30:00,273.9613829756792,
2022-11-10 15:00:00,264.4489546336198,
2022-11-10 15:30:30,264.4489546336198,
2022-11-10 23:59:59,262.42646317693965,c
2022-11-11 00:00:00,238.4290973531837,
2022-11-11 10:00:00,213.28899332533692,
2022-11-11 10:30:00,201.78133012385445,
2022-11-11 12:00:00,176.19800505669855,
2022-11-11 13:30:00,168.76473160287526,
2022-11-11 15:00:00,156.2180817412009,
2022-11-11 15:30:30,156.2180817412009,u
2022-11-11 23:59:59,157.57433194854795,w
2022-11-14 00:00:00,138.26694382089312,
2022-11-14 10:00:00,140.78158563984547,
2022-11-14 10:30:00,137.13855908822882,
2022-11-14 12:00:00,123.37154107742424,
2022-11-14 13:30:00,131.51971216986038,
2022-11-14 15:00:00,128.00502093651974,
2022-11-14 15:30:30,128.00502093651974,
2022-11-14 23:59:59,130.42193989421395,c
