date,AS_MSCI_FACTOR_UNTRADE_2021_Q4,meta
0,102.77032585130156,
0,102.77032585130156,
0,102.77032585130156,
0,102.77032585130156,
0,102.77032585130156,
0,102.77032585130156,
0,102.77032585130156,
0,102.77032585130156,
0,102.77032585130156,
0,102.77032585130156,
0,102.77032585130156,
0,102.77032585130156,
0,102.77032585130156,
0,102.77032585130156,
0,102.77032585130156,
0,102.77032585130156,
0,102.77032585130156,
0,102.77032585130156,
0,102.77032585130156,
0,102.77032585130156,
0,102.77032585130156,
0,102.77032585130156,
2021-11-24 00:00:00,98.8334596636362,
2021-11-24 01:00:00,92.79986251782417,
2021-11-24 02:30:00,91.6873320474493,
2021-11-24 03:00:00,89.43220703256927,
2021-11-24 18:30:00,84.96639235085908,
2021-11-24 20:00:00,86.09074367036301,
2021-11-24 23:00:00,108.02904085064112,
2021-11-24 23:59:59,117.61788342835291,c
2021-11-25 00:00:00,113.23319660471975,
2021-11-25 01:00:00,114.38641403644729,
2021-11-25 02:30:00,113.99721309024096,
2021-11-25 03:00:00,118.1565262085035,
2021-11-25 18:30:00,124.12994856457935,
2021-11-25 20:00:00,125.73840824877541,
2021-11-25 23:00:00,108.21175151337886,
2021-11-25 23:59:59,89.1466030716934,c
2021-11-26 00:00:00,95.40159210021673,
2021-11-26 01:00:00,98.37684487077505,
2021-11-26 02:30:00,87.37673944785986,
2021-11-26 03:00:00,91.53194137343644,
2021-11-26 18:30:00,91.53194137343644,
2021-11-26 20:00:00,91.53194137343644,
2021-11-26 23:00:00,91.53194137343644,
2021-11-26 23:59:59,99.51976709069461,w
2021-11-29 00:00:00,91.63190284615487,
2021-11-29 01:00:00,89.50217956990832,
2021-11-29 02:30:00,98.31304048824083,
2021-11-29 03:00:00,92.30221181718294,
2021-11-29 18:30:00,80.14750146516113,
2021-11-29 20:00:00,80.24367499367095,
2021-11-29 23:00:00,94.69487076251116,
2021-11-29 23:59:59,93.035631640834,c
