date,SPLV_HEDGED_2022_Q1,meta
2022-03-01 23:59:59,-13.265510054421043,c
2022-03-02 00:00:00,-11.613077572260153,
2022-03-02 10:00:00,5.828589165038039,
2022-03-02 10:30:00,2.9870692414797304,
2022-03-02 12:00:00,0.0971463209780552,
2022-03-02 13:30:00,0.21007717031278617,
2022-03-02 15:00:00,3.5117322320711537,
2022-03-02 15:30:30,3.5117322320711537,
2022-03-02 23:59:59,3.238108923066619,c
2022-03-03 00:00:00,3.593025200136708,
2022-03-03 10:00:00,7.900492425272176,
2022-03-03 10:30:00,26.65648934890271,
2022-03-03 12:00:00,18.750506861196868,
2022-03-03 13:30:00,17.634529138812752,
2022-03-03 15:00:00,20.45480999390469,
2022-03-03 15:30:30,20.45480999390469,
2022-03-03 23:59:59,28.602596852512903,c
2022-03-04 00:00:00,25.09548861003273,
2022-03-04 10:00:00,14.056702676753389,
2022-03-04 10:30:00,18.74422534435149,
2022-03-04 12:00:00,17.81344102781972,
2022-03-04 13:30:00,25.81455242042415,
2022-03-04 15:00:00,31.518978936895962,
2022-03-04 15:30:30,31.518978936895962,
2022-03-04 23:59:59,33.57150109173722,w
