date,SPLV_2021_Q4,meta
2021-10-28 10:00:00,-22.32500132525146,
2021-10-28 10:30:00,-22.291065924628345,
2021-10-28 12:00:00,-14.433170886141955,
2021-10-28 13:30:00,-18.052181708948066,
2021-10-28 15:00:00,-15.244696483456263,
2021-10-28 15:30:30,-15.244696483456263,
2021-10-28 23:59:59,-10.702039216134754,c
2021-10-29 00:00:00,-7.454092155376422,
2021-10-29 10:00:00,-11.284723073969605,
2021-10-29 10:30:00,-10.003711004190247,
2021-10-29 12:00:00,-13.131942449192831,
2021-10-29 13:30:00,-11.537182192878252,
2021-10-29 15:00:00,-6.813336159531854,
2021-10-29 15:30:30,-6.813336159531854,s
2021-10-29 23:59:59,0.0,w
2021-11-01 00:00:00,0.0,
2021-11-01 10:00:00,0.0,
2021-11-01 10:30:00,0.0,
2021-11-01 12:00:00,0.0,
2021-11-01 13:30:00,0.0,
2021-11-01 15:00:00,0.0,
2021-11-01 15:30:30,0.0,
2021-11-01 23:59:59,0.0,c
2021-11-02 00:00:00,0.0,
2021-11-02 10:00:00,0.0,
2021-11-02 10:30:00,0.0,
2021-11-02 12:00:00,0.0,
2021-11-02 13:30:00,0.0,
2021-11-02 15:00:00,0.0,
2021-11-02 15:30:30,0.0,
2021-11-02 23:59:59,0.0,c
2021-11-03 00:00:00,0.0,
2021-11-03 10:00:00,0.0,
2021-11-03 10:30:00,0.0,
2021-11-03 12:00:00,0.0,
2021-11-03 13:30:00,0.0,
2021-11-03 15:00:00,0.0,
2021-11-03 15:30:30,0.0,
2021-11-03 23:59:59,0.0,c
2021-11-04 00:00:00,0.0,
2021-11-04 10:00:00,0.0,
2021-11-04 10:30:00,0.0,
2021-11-04 12:00:00,0.0,
2021-11-04 13:30:00,0.0,
2021-11-04 15:00:00,0.0,
2021-11-04 15:30:30,0.0,
2021-11-04 23:59:59,0.0,c
2021-11-05 00:00:00,0.0,
2021-11-05 10:00:00,0.0,
2021-11-05 10:30:00,0.0,
2021-11-05 12:00:00,0.0,
2021-11-05 13:30:00,0.0,
2021-11-05 15:00:00,0.0,
2021-11-05 15:30:30,0.0,
2021-11-05 23:59:59,0.0,w
2021-11-08 00:00:00,0.0,
2021-11-08 10:00:00,0.0,
2021-11-08 10:30:00,0.0,
2021-11-08 12:00:00,0.0,
2021-11-08 13:30:00,0.0,
2021-11-08 15:00:00,0.0,
2021-11-08 15:30:30,0.0,
2021-11-08 23:59:59,0.0,c
2021-11-09 00:00:00,0.0,
2021-11-09 10:00:00,0.0,
2021-11-09 10:30:00,0.0,
2021-11-09 12:00:00,0.0,
2021-11-09 13:30:00,0.0,
2021-11-09 15:00:00,0.0,
2021-11-09 15:30:30,0.0,
2021-11-09 23:59:59,0.0,c
2021-11-10 00:00:00,0.0,
2021-11-10 10:00:00,0.0,
2021-11-10 10:30:00,0.0,
2021-11-10 12:00:00,0.0,
2021-11-10 13:30:00,0.0,
2021-11-10 15:00:00,0.0,
2021-11-10 15:30:30,0.0,
2021-11-10 23:59:59,0.0,c
2021-11-11 00:00:00,0.0,
2021-11-11 10:00:00,0.0,
2021-11-11 10:30:00,0.0,
2021-11-11 12:00:00,0.0,
2021-11-11 13:30:00,0.0,
2021-11-11 15:00:00,0.0,
2021-11-11 15:30:30,0.0,
2021-11-11 23:59:59,0.0,c
2021-11-12 00:00:00,0.0,
2021-11-12 10:00:00,0.0,
2021-11-12 10:30:00,0.0,
2021-11-12 12:00:00,0.0,
2021-11-12 13:30:00,0.0,
2021-11-12 15:00:00,0.0,
2021-11-12 15:30:30,0.0,
2021-11-12 23:59:59,0.0,a
2021-11-15 00:00:00,0.0,
2021-11-15 10:00:00,0.0,
2021-11-15 10:30:00,0.0,
2021-11-15 12:00:00,0.0,
2021-11-15 13:30:00,0.0,
2021-11-15 15:00:00,0.0,
2021-11-15 15:30:30,0.0,
2021-11-15 23:59:59,0.0,c
2021-11-16 00:00:00,0.0,
2021-11-16 10:00:00,0.0,
2021-11-16 10:30:00,0.0,
2021-11-16 12:00:00,0.0,
2021-11-16 13:30:00,0.0,
2021-11-16 15:00:00,0.0,
2021-11-16 15:30:30,0.0,
2021-11-16 23:59:59,0.0,c
2021-11-17 00:00:00,0.0,
2021-11-17 10:00:00,0.0,
2021-11-17 10:30:00,0.0,
2021-11-17 12:00:00,0.0,
2021-11-17 13:30:00,0.0,
2021-11-17 15:00:00,0.0,
2021-11-17 15:30:30,0.0,
2021-11-17 23:59:59,0.0,c
2021-11-18 00:00:00,0.0,
2021-11-18 10:00:00,0.0,
2021-11-18 10:30:00,0.0,
2021-11-18 12:00:00,0.0,
2021-11-18 13:30:00,0.0,
2021-11-18 15:00:00,0.0,
2021-11-18 15:30:30,0.0,
2021-11-18 23:59:59,0.0,c
2021-11-19 00:00:00,0.0,
2021-11-19 10:00:00,0.0,
2021-11-19 10:30:00,0.0,
2021-11-19 12:00:00,0.0,
2021-11-19 13:30:00,0.0,
2021-11-19 15:00:00,0.0,
2021-11-19 15:30:30,0.0,
2021-11-19 23:59:59,0.0,e
2021-11-22 00:00:00,0.0,
2021-11-22 10:00:00,0.0,
2021-11-22 10:30:00,0.0,
2021-11-22 12:00:00,0.0,
2021-11-22 13:30:00,0.0,
2021-11-22 15:00:00,0.0,
2021-11-22 15:30:30,0.0,
2021-11-22 23:59:59,0.0,c
2021-11-23 00:00:00,0.0,
2021-11-23 10:00:00,0.0,
2021-11-23 10:30:00,0.0,
2021-11-23 12:00:00,0.0,
2021-11-23 13:30:00,0.0,
2021-11-23 15:00:00,0.0,
2021-11-23 15:30:30,0.0,
2021-11-23 23:59:59,0.0,c
2021-11-24 00:00:00,0.0,
2021-11-24 10:00:00,0.0,
2021-11-24 10:30:00,0.0,
2021-11-24 12:00:00,0.0,
2021-11-24 13:30:00,0.0,
2021-11-24 15:00:00,0.0,
2021-11-24 15:30:30,0.0,
2021-11-24 23:59:59,0.0,c
2021-11-25 00:00:00,0.0,
2021-11-25 10:00:00,0.0,
2021-11-25 10:30:00,0.0,
2021-11-25 12:00:00,0.0,
2021-11-25 13:30:00,0.0,
2021-11-25 15:00:00,0.0,
2021-11-25 15:30:30,0.0,
2021-11-25 23:59:59,0.0,c
2021-11-26 00:00:00,0.0,
2021-11-26 10:00:00,0.0,
2021-11-26 10:30:00,0.0,
2021-11-26 12:00:00,0.0,
2021-11-26 13:30:00,0.0,
2021-11-26 15:00:00,0.0,
2021-11-26 15:30:30,0.0,
2021-11-26 23:59:59,0.0,w
2021-11-29 00:00:00,0.0,
2021-11-29 10:00:00,0.0,
2021-11-29 10:30:00,0.0,
2021-11-29 12:00:00,0.0,
2021-11-29 13:30:00,0.0,
2021-11-29 15:00:00,0.0,
2021-11-29 15:30:30,0.0,
2021-11-29 23:59:59,0.0,c
2021-11-30 00:00:00,0.0,
2021-11-30 10:00:00,0.0,
2021-11-30 10:30:00,0.0,
2021-11-30 12:00:00,0.0,
2021-11-30 13:30:00,0.0,
2021-11-30 15:00:00,0.0,
2021-11-30 15:30:30,0.0,
2021-11-30 23:59:59,0.0,c
2021-12-01 00:00:00,0.0,
2021-12-01 10:00:00,0.0,
2021-12-01 10:30:00,0.0,
2021-12-01 12:00:00,0.0,
2021-12-01 13:30:00,0.0,
2021-12-01 15:00:00,0.0,
2021-12-01 15:30:30,0.0,
2021-12-01 23:59:59,0.0,c
2021-12-02 00:00:00,0.0,
2021-12-02 10:00:00,0.0,
2021-12-02 10:30:00,0.0,
2021-12-02 12:00:00,0.0,
2021-12-02 13:30:00,0.0,
2021-12-02 15:00:00,0.0,
2021-12-02 15:30:30,0.0,
2021-12-02 23:59:59,0.0,c
2021-12-03 00:00:00,0.0,
2021-12-03 10:00:00,0.0,
2021-12-03 10:30:00,0.0,
2021-12-03 12:00:00,0.0,
2021-12-03 13:30:00,0.0,
2021-12-03 15:00:00,0.0,
2021-12-03 15:30:30,0.0,
2021-12-03 23:59:59,0.0,w
