date,NOBL_2021_Q4,meta
2021-10-22 15:00:00,11.392936067557653,
2021-10-22 15:30:30,11.392936067557653,
2021-10-22 23:59:59,0.0,a
2021-10-25 00:00:00,-19.902232561588736,
2021-10-25 10:00:00,-33.135933476772095,
2021-10-25 10:30:00,-31.019373476684127,
2021-10-25 12:00:00,-35.03378190857657,
2021-10-25 13:30:00,-39.435750374867695,
2021-10-25 15:00:00,-42.551638864739814,
2021-10-25 15:30:30,-42.551638864739814,
2021-10-25 23:59:59,-46.61936926971261,c
2021-10-26 00:00:00,-37.586903533032356,
2021-10-26 10:00:00,-35.398111533106245,
2021-10-26 10:30:00,-31.12420302824179,
2021-10-26 12:00:00,-29.402667507713087,
2021-10-26 13:30:00,-12.311300058651149,
2021-10-26 15:00:00,-20.539063459756246,
2021-10-26 15:30:30,-20.539063459756246,
2021-10-26 23:59:59,-19.480656978364532,c
2021-10-27 00:00:00,-10.278951456454319,
2021-10-27 10:00:00,-23.58503143997652,
2021-10-27 10:30:00,-22.333927343682685,
2021-10-27 12:00:00,-37.84308095384691,
2021-10-27 13:30:00,-36.1673648110751,
2021-10-27 15:00:00,-26.579846569686087,
2021-10-27 15:30:30,-26.579846569686087,
2021-10-27 23:59:59,-23.357439470955175,c
2021-10-28 00:00:00,-22.306419678137996,
2021-10-28 10:00:00,-6.037593246158149,
2021-10-28 10:30:00,-21.53529178094095,
2021-10-28 12:00:00,-10.804048159301683,
2021-10-28 13:30:00,-13.504197961557797,
2021-10-28 15:00:00,-9.81140268059509,
2021-10-28 15:30:30,-9.81140268059509,
2021-10-28 23:59:59,-13.611510028313482,c
2021-10-29 00:00:00,-4.776136687430526,
2021-10-29 10:00:00,-9.172070546361915,
2021-10-29 10:30:00,-10.458956896691053,
2021-10-29 12:00:00,-11.78855310167059,
2021-10-29 13:30:00,-20.241734101067056,
2021-10-29 15:00:00,-29.76800241428749,
2021-10-29 15:30:30,-29.76800241428749,
2021-10-29 23:59:59,-21.522992434653982,e
2021-11-01 00:00:00,-50.84787958358774,
2021-11-01 10:00:00,-21.26199410227019,
2021-11-01 10:30:00,-25.593219630659338,
2021-11-01 12:00:00,-10.560583790676713,
2021-11-01 13:30:00,-11.013015569594558,
2021-11-01 15:00:00,-8.039143876690641,
2021-11-01 15:30:30,-8.039143876690641,
2021-11-01 23:59:59,-8.219481366349033,c
2021-11-02 00:00:00,10.664960215865221,
2021-11-02 10:00:00,-9.47815119169498,
2021-11-02 10:30:00,-19.271538968765515,
2021-11-02 12:00:00,1.7545805747576946,
2021-11-02 13:30:00,0.7631237464384348,
2021-11-02 15:00:00,-6.447136138298319,
2021-11-02 15:30:30,-6.447136138298319,
2021-11-02 23:59:59,-14.002630336553967,c
2021-11-03 00:00:00,-11.72256292053299,
2021-11-03 10:00:00,-21.12035444720929,
2021-11-03 10:30:00,-9.329081049336917,
2021-11-03 12:00:00,-8.870572490308067,
2021-11-03 13:30:00,-1.8861426954419152,
2021-11-03 15:00:00,-13.96787745211503,
2021-11-03 15:30:30,-13.96787745211503,
