date,BOTZ_2021_Q4,meta
2022-01-10 15:30:30,787.7838479429447,
2022-01-10 23:59:59,657.9860343771788,c
2022-01-11 00:00:00,648.6926963391506,
2022-01-11 10:00:00,614.6588326375095,
2022-01-11 10:30:00,566.9802388176895,
2022-01-11 12:00:00,467.49657088358435,
2022-01-11 13:30:00,482.9832801599605,
2022-01-11 15:00:00,463.0872087390617,
2022-01-11 15:30:30,463.0872087390617,
2022-01-11 23:59:59,442.04169837576774,c
2022-01-12 00:00:00,422.1081502561683,
2022-01-12 10:00:00,435.5609167406219,
2022-01-12 10:30:00,461.1969382365387,
2022-01-12 12:00:00,598.0325538364368,
2022-01-12 13:30:00,585.5453858477185,
2022-01-12 15:00:00,598.6826869658216,
2022-01-12 15:30:30,598.6826869658216,
2022-01-12 23:59:59,633.9142737268903,c
2022-01-13 00:00:00,595.7939133086329,
2022-01-13 10:00:00,610.7603451783316,
2022-01-13 10:30:00,638.9269309203592,
2022-01-13 12:00:00,630.7053052648907,
2022-01-13 13:30:00,700.8397526627859,
2022-01-13 15:00:00,721.3625630447596,
2022-01-13 15:30:30,721.3625630447596,
2022-01-13 23:59:59,748.9230932009486,c
2022-01-14 00:00:00,848.8220233710872,
2022-01-14 10:00:00,766.8037241556967,
2022-01-14 10:30:00,834.4601482470516,
2022-01-14 12:00:00,843.6934109770464,
2022-01-14 13:30:00,874.7114566545697,
2022-01-14 15:00:00,837.3268046663798,
2022-01-14 15:30:30,837.3268046663798,
2022-01-14 23:59:59,771.4788756839871,w
