date,EU_MSCI_DM_STAY_2023_Q1,meta
2023-01-19 10:30:00,139.50244654038187,
2023-01-19 11:00:00,151.7225347978346,
2023-01-19 23:59:59,147.30534272125163,c
2023-01-20 00:00:00,148.2565548591337,
2023-01-20 03:30:00,148.85804664638454,
2023-01-20 04:00:00,154.8968168867863,
2023-01-20 06:00:00,169.0719518692011,
2023-01-20 08:00:00,166.93395265505507,
2023-01-20 10:30:00,174.47294803581633,
2023-01-20 11:00:00,175.15904614434987,
2023-01-20 23:59:59,177.6432988008707,w
2023-01-23 00:00:00,168.6406930056702,
2023-01-23 03:30:00,175.79938031411294,
2023-01-23 04:00:00,171.75343034522217,
2023-01-23 06:00:00,170.08895802852402,
2023-01-23 08:00:00,177.25830525490684,
2023-01-23 10:30:00,162.21609232073916,
2023-01-23 11:00:00,159.6755481158577,
2023-01-23 23:59:59,160.59113842488168,c
2023-01-24 00:00:00,160.14628561553798,
2023-01-24 03:30:00,148.23717585440966,
2023-01-24 04:00:00,149.31998526130462,
2023-01-24 06:00:00,139.0456300124896,
2023-01-24 08:00:00,129.986819655717,
2023-01-24 10:30:00,131.80657083727954,
2023-01-24 11:00:00,130.34850334846635,
2023-01-24 23:59:59,136.26638092190092,c
2023-01-25 00:00:00,141.30855732940756,
2023-01-25 03:30:00,145.91287630579313,
2023-01-25 04:00:00,147.78336820425514,
2023-01-25 06:00:00,144.8109945549284,
2023-01-25 08:00:00,142.9815413725155,
2023-01-25 10:30:00,142.22882604807657,
2023-01-25 11:00:00,133.87902390649168,
2023-01-25 23:59:59,141.2829046512164,c
2023-01-26 00:00:00,144.8713867315496,
2023-01-26 03:30:00,145.15484625288997,
2023-01-26 04:00:00,133.29770660288426,
2023-01-26 06:00:00,134.79383874869083,
2023-01-26 08:00:00,135.10949590653735,
2023-01-26 10:30:00,114.18540792324325,
2023-01-26 11:00:00,112.48062935317503,
2023-01-26 23:59:59,112.6646126907807,c
2023-01-27 00:00:00,97.93947476089875,
2023-01-27 03:30:00,79.78527262429023,
2023-01-27 04:00:00,79.31704851064273,
2023-01-27 06:00:00,76.55458308751183,
2023-01-27 08:00:00,75.76927637536835,
2023-01-27 10:30:00,85.26298959956598,
2023-01-27 11:00:00,84.7429532545694,
2023-01-27 23:59:59,87.10100956542438,w
2023-01-30 00:00:00,99.2030255209051,
2023-01-30 03:30:00,110.61044204028246,
2023-01-30 04:00:00,104.7857817364397,
2023-01-30 06:00:00,115.3473266564011,
2023-01-30 08:00:00,115.00591909548369,
2023-01-30 10:30:00,117.98975316843442,
2023-01-30 11:00:00,116.43409880779112,
2023-01-30 23:59:59,110.57479827334885,c
2023-01-31 00:00:00,111.54215121845988,
2023-01-31 03:30:00,115.20171993404287,
2023-01-31 04:00:00,113.5406824552979,
2023-01-31 06:00:00,109.1047598509167,
2023-01-31 08:00:00,106.7847502811536,
2023-01-31 10:30:00,98.66133284021555,
2023-01-31 11:00:00,92.61697740159832,
2023-01-31 23:59:59,97.86614612992513,c
2023-02-01 00:00:00,94.75601100164049,
2023-02-01 03:30:00,99.51480549420768,
2023-02-01 04:00:00,92.67334467478011,
2023-02-01 06:00:00,88.52626456139208,
2023-02-01 08:00:00,79.5516024034138,
2023-02-01 10:30:00,72.91620175757208,
2023-02-01 11:00:00,77.59321054983246,
2023-02-01 23:59:59,79.86172856863601,c
2023-02-02 00:00:00,71.62868313087715,
2023-02-02 03:30:00,70.96822101700096,
2023-02-02 04:00:00,66.63895328700767,
2023-02-02 06:00:00,54.59225146760344,
2023-02-02 08:00:00,57.92375653356629,
2023-02-02 10:30:00,95.93669829223825,
2023-02-02 11:00:00,108.8423492779607,
2023-02-02 23:59:59,116.80237930336233,c
2023-02-03 00:00:00,102.98421670173943,
2023-02-03 03:30:00,102.31893828111252,
2023-02-03 04:00:00,104.94797014663766,
2023-02-03 06:00:00,120.41514669859765,
2023-02-03 08:00:00,135.88918274099566,
2023-02-03 10:30:00,108.89379928737458,
2023-02-03 11:00:00,108.43501288497177,
2023-02-03 23:59:59,111.46648164864422,w
2023-02-06 00:00:00,100.19468761039155,
2023-02-06 03:30:00,104.13463812280068,
2023-02-06 04:00:00,107.122362330404,
2023-02-06 06:00:00,98.97721047230463,
2023-02-06 08:00:00,107.01741892043688,
2023-02-06 10:30:00,110.20247333111149,
2023-02-06 11:00:00,116.1411541312269,
2023-02-06 23:59:59,114.70835458570215,c
2023-02-07 00:00:00,102.78811962038937,
2023-02-07 03:30:00,89.83185256885805,
2023-02-07 04:00:00,88.46306425461309,
2023-02-07 06:00:00,77.92409623229213,
2023-02-07 08:00:00,73.81026465622924,
2023-02-07 10:30:00,58.72504247053228,
2023-02-07 11:00:00,64.71578121362073,
2023-02-07 23:59:59,56.849412698942935,c
2023-02-08 00:00:00,65.2746557325384,
2023-02-08 03:30:00,63.88443853444121,
2023-02-08 04:00:00,65.55764104367894,
2023-02-08 06:00:00,72.51855202841679,
2023-02-08 08:00:00,65.21114202516668,
2023-02-08 10:30:00,56.613609606476544,
2023-02-08 11:00:00,53.468356110668275,
2023-02-08 23:59:59,55.30597965726304,c
2023-02-09 00:00:00,56.87500361290874,
2023-02-09 03:30:00,36.58468613302805,
2023-02-09 04:00:00,38.07941136319521,
2023-02-09 06:00:00,43.068940707294345,
2023-02-09 08:00:00,33.611736239338484,
2023-02-09 10:30:00,6.98723049885065,
2023-02-09 11:00:00,12.782747852328633,
2023-02-09 23:59:59,0.0,a
2023-02-10 00:00:00,24.26122843949625,
2023-02-10 03:30:00,14.597179602521933,
2023-02-10 04:00:00,5.690077113480626,
2023-02-10 06:00:00,-15.598723898455859,
2023-02-10 08:00:00,-27.878212695411392,
2023-02-10 10:30:00,-13.819352092034038,
2023-02-10 11:00:00,-17.691792289559032,
2023-02-10 23:59:59,-20.89115228000007,w
2023-02-13 00:00:00,-13.266015519671612,
2023-02-13 03:30:00,-15.993873931641986,
2023-02-13 04:00:00,-15.760105963078786,
2023-02-13 06:00:00,-18.63928701718301,
2023-02-13 08:00:00,-12.89687966712728,
2023-02-13 10:30:00,-12.329183537849715,
2023-02-13 11:00:00,-11.0363927707091,
2023-02-13 23:59:59,-14.452373951111994,c
2023-02-14 00:00:00,-9.910114375538754,
2023-02-14 03:30:00,-8.698435600109889,
2023-02-14 04:00:00,-9.783246271540236,
2023-02-14 06:00:00,-9.627739445540826,
2023-02-14 08:00:00,-16.408837771182192,
2023-02-14 10:30:00,-31.67749003675968,
2023-02-14 11:00:00,-23.84465658454309,
2023-02-14 23:59:59,-20.61747487583672,c
0,-20.61747487583672,
0,-20.61747487583672,
0,-20.61747487583672,
0,-20.61747487583672,
0,-20.61747487583672,
0,-20.61747487583672,
0,-20.61747487583672,
0,-20.61747487583672,
0,-20.61747487583672,
0,-20.61747487583672,
0,-20.61747487583672,
0,-20.61747487583672,
0,-20.61747487583672,
0,-20.61747487583672,
0,-20.61747487583672,
0,-20.61747487583672,
0,-20.61747487583672,
0,-20.61747487583672,
0,-20.61747487583672,
0,-20.61747487583672,
0,-20.61747487583672,
0,-20.61747487583672,
0,-20.61747487583672,
0,-20.61747487583672,
2023-02-15 00:00:00,-30.333163031856373,
2023-02-15 03:30:00,-40.4428828696371,
2023-02-15 04:00:00,-25.986618976156663,
2023-02-15 06:00:00,-24.018278756808996,
2023-02-15 08:00:00,-36.29567409409752,
2023-02-15 10:30:00,-42.565117264210926,
2023-02-15 11:00:00,-38.04223406457466,
2023-02-15 23:59:59,-37.711987162675,c
2023-02-16 00:00:00,-45.256813365436216,
2023-02-16 03:30:00,-49.35650331021462,
2023-02-16 04:00:00,-45.22272269556768,
2023-02-16 06:00:00,-53.18395202060424,
2023-02-16 08:00:00,-62.7784221698618,
2023-02-16 10:30:00,-74.97506608624799,
2023-02-16 11:00:00,-79.87033382148873,
2023-02-16 23:59:59,-82.21562442979793,c
2023-02-17 00:00:00,-72.51830464167095,
2023-02-17 03:30:00,-48.30734667990288,
2023-02-17 04:00:00,-57.00236824194134,
2023-02-17 06:00:00,-48.61757825176777,
2023-02-17 08:00:00,-42.59122028572641,
2023-02-17 10:30:00,-40.64492513829806,
2023-02-17 11:00:00,-39.73793329450346,
2023-02-17 23:59:59,-41.46578153317361,w
2023-02-20 00:00:00,-31.35469766969949,
2023-02-20 03:30:00,-33.60703764854492,
2023-02-20 04:00:00,-31.235974147499277,
2023-02-20 06:00:00,-27.453633634127627,
2023-02-20 08:00:00,-22.09839871051193,
2023-02-20 10:30:00,-14.522356966711612,
2023-02-20 11:00:00,-14.801874995133034,
2023-02-20 23:59:59,-11.467466935748888,c
2023-02-21 00:00:00,-7.384417515629835,
2023-02-21 03:30:00,-3.008668155446742,
2023-02-21 04:00:00,4.354408324259779,
2023-02-21 06:00:00,15.468260375798096,
2023-02-21 08:00:00,12.230394392878686,
2023-02-21 10:30:00,3.1856072065361616,
2023-02-21 11:00:00,1.6426324227860363,
2023-02-21 23:59:59,2.7965354600816994,c
2023-02-22 00:00:00,3.5918296227209794,
2023-02-22 03:30:00,-4.486046913966902,
2023-02-22 04:00:00,-5.693589103036118,
2023-02-22 06:00:00,-8.478760279418168,
2023-02-22 08:00:00,-5.962185166714747,
2023-02-22 10:30:00,5.152999907844503,
2023-02-22 11:00:00,-2.074756080686413,
2023-02-22 23:59:59,3.7142904557849192,c
2023-02-23 00:00:00,4.977576213927421,
2023-02-23 03:30:00,-7.226136525750704,
2023-02-23 04:00:00,-7.811605873618447,
2023-02-23 06:00:00,-7.651073920657467,
2023-02-23 08:00:00,-24.516598588316953,
2023-02-23 10:30:00,-31.62367128142668,
2023-02-23 11:00:00,-33.82263561793913,
2023-02-23 23:59:59,-25.82797435270986,c
2023-02-24 00:00:00,-32.06161879801212,
2023-02-24 03:30:00,-40.46610158083857,
2023-02-24 04:00:00,-48.76341488237324,
2023-02-24 06:00:00,-50.95824252347094,
2023-02-24 08:00:00,-59.20700009016848,
2023-02-24 10:30:00,-65.21789452494907,
2023-02-24 11:00:00,-65.22548555458123,
2023-02-24 23:59:59,-64.98803946048754,w
2023-02-27 00:00:00,-86.18216520920929,
2023-02-27 03:30:00,-93.14396443683567,
2023-02-27 04:00:00,-89.9164005846476,
2023-02-27 06:00:00,-85.00769207778127,
2023-02-27 08:00:00,-84.50124477581447,
2023-02-27 10:30:00,-79.91288920149573,
2023-02-27 11:00:00,-83.64687822166802,
2023-02-27 23:59:59,-76.93008637482397,c
2023-02-28 00:00:00,-85.51577707085328,
2023-02-28 03:30:00,-94.02363114914486,
2023-02-28 04:00:00,-95.38300760525549,
2023-02-28 06:00:00,-94.61251232239904,
2023-02-28 08:00:00,-95.74268029894269,
2023-02-28 10:30:00,-93.29584055055152,
2023-02-28 11:00:00,-91.19403857787499,
2023-02-28 23:59:59,-82.65558767992873,e
2023-03-01 00:00:00,-99.67240519517888,
2023-03-01 03:30:00,-89.00506106725446,
2023-03-01 04:00:00,-92.33857725305889,
2023-03-01 06:00:00,-90.16060645907991,
2023-03-01 08:00:00,-89.75735345285987,
2023-03-01 10:30:00,-92.17283954925388,
2023-03-01 11:00:00,-93.40335920932479,
2023-03-01 23:59:59,-83.2873370471922,c
2023-03-02 00:00:00,-102.0764246880767,
2023-03-02 03:30:00,-97.42358585724729,
2023-03-02 04:00:00,-93.87785030637066,
2023-03-02 06:00:00,-99.01635668688674,
2023-03-02 08:00:00,-104.39693874474786,
2023-03-02 10:30:00,-121.6434063001369,
2023-03-02 11:00:00,-124.57622426602624,
2023-03-02 23:59:59,-119.92695204758495,c
2023-03-03 00:00:00,-113.0094650481456,
2023-03-03 03:30:00,-96.35816194970597,
2023-03-03 04:00:00,-91.56460471685646,
2023-03-03 06:00:00,-88.97971940452895,
2023-03-03 08:00:00,-85.39432648374539,
2023-03-03 10:30:00,-85.45433330706997,
2023-03-03 11:00:00,-82.59734518129927,
2023-03-03 23:59:59,-85.33990823011878,w
2023-03-06 00:00:00,-90.9376503779739,
2023-03-06 03:30:00,-103.37407833264466,
2023-03-06 04:00:00,-98.2266933110656,
2023-03-06 06:00:00,-107.10730158831159,
2023-03-06 08:00:00,-110.80264264933437,
2023-03-06 10:30:00,-123.04148456664389,
2023-03-06 11:00:00,-120.02566517916001,
2023-03-06 23:59:59,-125.57571903429722,c
2023-03-07 00:00:00,-113.63658713314904,
2023-03-07 03:30:00,-110.8304165163875,
2023-03-07 04:00:00,-104.95903433214981,
2023-03-07 06:00:00,-105.77502238808809,
2023-03-07 08:00:00,-112.18209948522998,
2023-03-07 10:30:00,-124.85537631237729,
2023-03-07 11:00:00,-121.71472864820466,
2023-03-07 23:59:59,-127.64057466766671,c
2023-03-08 00:00:00,-130.90905508150024,
2023-03-08 03:30:00,-141.91264462309874,
2023-03-08 04:00:00,-136.56532973614122,
2023-03-08 06:00:00,-139.37702377467207,
2023-03-08 08:00:00,-134.75721356179434,
2023-03-08 10:30:00,-145.22884405856843,
2023-03-08 11:00:00,-141.2031030517354,
2023-03-08 23:59:59,-132.88933573896094,c
2023-03-09 00:00:00,-124.51590982456385,
2023-03-09 03:30:00,-126.41905327092663,
2023-03-09 04:00:00,-130.7058016704476,
2023-03-09 06:00:00,-133.45799519680025,
2023-03-09 08:00:00,-142.84410624716986,
2023-03-09 10:30:00,-154.29474324019225,
2023-03-09 11:00:00,-150.8896844785143,
2023-03-09 23:59:59,-150.36461705513312,c
2023-03-10 00:00:00,-150.36461705513312,
2023-03-10 03:30:00,-150.36461705513312,
2023-03-10 04:00:00,-150.36461705513312,
2023-03-10 06:00:00,-150.36461705513312,
2023-03-10 08:00:00,-150.36461705513312,
2023-03-10 10:30:00,-150.36461705513312,
2023-03-10 11:00:00,-150.36461705513312,
2023-03-10 23:59:59,-150.36461705513312,w
2023-03-13 00:00:00,-150.36461705513312,
2023-03-13 03:30:00,-150.36461705513312,
2023-03-13 04:00:00,-150.36461705513312,
2023-03-13 06:00:00,-150.36461705513312,
2023-03-13 08:00:00,-150.36461705513312,
2023-03-13 10:30:00,-150.36461705513312,
2023-03-13 11:00:00,-150.36461705513312,
2023-03-13 23:59:59,-150.36461705513312,c
2023-03-14 00:00:00,-150.36461705513312,
2023-03-14 03:30:00,-150.36461705513312,
2023-03-14 04:00:00,-150.36461705513312,
2023-03-14 06:00:00,-150.36461705513312,
2023-03-14 08:00:00,-150.36461705513312,
2023-03-14 10:30:00,-150.36461705513312,
2023-03-14 11:00:00,-150.36461705513312,
2023-03-14 23:59:59,-150.36461705513312,c
2023-03-15 00:00:00,-150.36461705513312,
2023-03-15 03:30:00,-150.36461705513312,
2023-03-15 04:00:00,-150.36461705513312,
2023-03-15 06:00:00,-150.36461705513312,
2023-03-15 08:00:00,-150.36461705513312,
2023-03-15 10:30:00,-150.36461705513312,
2023-03-15 11:00:00,-150.36461705513312,
2023-03-15 23:59:59,-150.36461705513312,c
2023-03-16 00:00:00,-150.36461705513312,
2023-03-16 03:30:00,-150.36461705513312,
2023-03-16 04:00:00,-150.36461705513312,
2023-03-16 06:00:00,-150.36461705513312,
2023-03-16 08:00:00,-150.36461705513312,
2023-03-16 10:30:00,-150.36461705513312,
2023-03-16 11:00:00,-150.36461705513312,
2023-03-16 23:59:59,-150.36461705513312,c
2023-03-17 00:00:00,-150.36461705513312,
2023-03-17 03:30:00,-150.36461705513312,
2023-03-17 04:00:00,-150.36461705513312,
2023-03-17 06:00:00,-150.36461705513312,
2023-03-17 08:00:00,-150.36461705513312,
