date,FTSE_NA_REIT_2022_Q4,meta
2022-12-14 13:30:00,99.11516907561463,
2022-12-14 15:00:00,84.08424892600488,
2022-12-14 15:30:30,84.08424892600488,
2022-12-14 23:59:59,76.81337623953618,c
2022-12-15 00:00:00,60.366716116107455,
2022-12-15 10:00:00,98.90982540404434,
2022-12-15 10:30:00,83.25134517622041,
2022-12-15 12:00:00,93.90092089926748,
2022-12-15 13:30:00,92.21735130925163,
2022-12-15 15:00:00,100.03079860661524,
2022-12-15 15:30:30,100.03079860661524,
2022-12-15 23:59:59,92.99456675413035,c
2022-12-16 00:00:00,67.56236855527186,
2022-12-16 10:00:00,92.50493759307506,
2022-12-16 10:30:00,61.786072788390584,
2022-12-16 12:00:00,50.791852732183315,
2022-12-16 13:30:00,40.32772140500083,
2022-12-16 15:00:00,40.910133346752446,
2022-12-16 15:30:30,40.910133346752446,
2022-12-16 23:59:59,67.11417202860389,e
2022-12-19 00:00:00,51.24562525636907,
2022-12-19 10:00:00,82.19672250826193,
2022-12-19 10:30:00,95.33483852652012,
2022-12-19 12:00:00,86.6306748406821,
2022-12-19 13:30:00,87.12952968676109,
2022-12-19 15:00:00,74.42383242364099,
2022-12-19 15:30:30,74.42383242364099,
2022-12-19 23:59:59,82.99656558011975,c
2022-12-20 00:00:00,89.91516062037863,
2022-12-20 10:00:00,48.99621705804111,
2022-12-20 10:30:00,53.84345754173842,
2022-12-20 12:00:00,65.91031659846067,
2022-12-20 13:30:00,58.28078892350891,
2022-12-20 15:00:00,49.71200149490301,
2022-12-20 15:30:30,49.71200149490301,
2022-12-20 23:59:59,47.092077804717064,c
2022-12-21 00:00:00,51.635960336134076,
2022-12-21 10:00:00,93.39112813486145,
2022-12-21 10:30:00,100.25328914401689,
2022-12-21 12:00:00,104.33855494000841,
2022-12-21 13:30:00,104.45553270835512,
2022-12-21 15:00:00,104.52256715535395,
2022-12-21 15:30:30,104.52256715535395,
2022-12-21 23:59:59,94.5843335002487,c
2022-12-22 00:00:00,78.26752367370386,
2022-12-22 10:00:00,93.36576663995311,
2022-12-22 10:30:00,83.22108240516445,
2022-12-22 12:00:00,81.14513543931912,
2022-12-22 13:30:00,54.141448334912866,
2022-12-22 15:00:00,60.57616675086206,
2022-12-22 15:30:30,60.57616675086206,
2022-12-22 23:59:59,74.12029181911134,c
2022-12-23 00:00:00,64.93280436980444,
2022-12-23 10:00:00,58.60477467920805,
2022-12-23 10:30:00,71.57527092171631,
2022-12-23 12:00:00,92.19226480137536,
2022-12-23 13:30:00,84.42583408596533,
2022-12-23 15:00:00,88.95763807440358,
2022-12-23 15:30:30,88.95763807440358,
2022-12-23 23:59:59,99.09216123859323,w
2022-12-26 00:00:00,99.09216123859323,
2022-12-26 10:00:00,99.09216123859323,
2022-12-26 10:30:00,99.09216123859323,
2022-12-26 12:00:00,99.09216123859323,
2022-12-26 13:30:00,99.09216123859323,
2022-12-26 15:00:00,99.09216123859323,
2022-12-26 15:30:30,99.09216123859323,
2022-12-26 23:59:59,99.09216123859323,c
2022-12-27 00:00:00,108.14668538825504,
2022-12-27 10:00:00,102.16933808075851,
2022-12-27 10:30:00,100.01761437525283,
2022-12-27 12:00:00,88.50897269633992,
2022-12-27 13:30:00,85.70546923323059,
2022-12-27 15:00:00,95.60979502941905,
