date,RDVY_2022_Q2,meta
2022-06-10 15:00:00,-3.7031147832635725,
2022-06-10 15:30:30,-3.7031147832635725,s
2022-06-10 23:59:59,0.0,a
2022-06-13 00:00:00,-20.662102887560877,
2022-06-13 10:00:00,5.4527420970212575,
2022-06-13 10:30:00,15.285857902750593,
2022-06-13 12:00:00,-15.882556513807515,
2022-06-13 13:30:00,20.06824543417366,
2022-06-13 15:00:00,-1.1518890529573014,
2022-06-13 15:30:30,-1.1518890529573014,
2022-06-13 23:59:59,11.785486122445548,c
2022-06-14 00:00:00,-18.325099226000475,
2022-06-14 10:00:00,-7.355134565067544,
2022-06-14 10:30:00,-18.703841888469128,
2022-06-14 12:00:00,5.5548239447372225,
2022-06-14 13:30:00,18.501121661538264,
2022-06-14 15:00:00,7.922436742160869,
