date,EU_MSCI_ESG_2021_Q4,meta
2021-11-16 10:30:00,-75.64153313350289,
2021-11-16 11:00:00,-73.95845212774657,
2021-11-16 23:59:59,-26.267832388251918,c
2021-11-17 00:00:00,-85.61333186239972,
2021-11-17 03:30:00,-3.458289375844288,
2021-11-17 04:00:00,1.841970683602085,
2021-11-17 06:00:00,-65.37801608412792,
2021-11-17 08:00:00,-9.50656053912553,
2021-11-17 10:30:00,77.64600038656499,
2021-11-17 11:00:00,78.7533979820173,
2021-11-17 23:59:59,65.9199776649275,c
2021-11-18 00:00:00,-19.938109385812822,
2021-11-18 03:30:00,-31.505436671036477,
2021-11-18 04:00:00,-58.464845100198545,
2021-11-18 06:00:00,-60.99341066189572,
2021-11-18 08:00:00,-93.9656023235566,
2021-11-18 10:30:00,-58.0452034377995,
2021-11-18 11:00:00,-56.07558595703267,
2021-11-18 23:59:59,0.0,a
2021-11-19 00:00:00,-30.674072578692176,
2021-11-19 03:30:00,-30.47288188892253,
2021-11-19 04:00:00,-55.6977035080854,
2021-11-19 06:00:00,-67.94467200081817,
2021-11-19 08:00:00,-63.00596283699906,
2021-11-19 10:30:00,1.623863541864921,
2021-11-19 11:00:00,1.4724480959703214,
2021-11-19 23:59:59,37.26061338866202,w
2021-11-22 00:00:00,46.84751993731879,
2021-11-22 03:30:00,139.91227641999285,
2021-11-22 04:00:00,124.97834275476816,
2021-11-22 06:00:00,97.86566418140683,
2021-11-22 08:00:00,118.33795912824189,
2021-11-22 10:30:00,-19.011020732944417,
2021-11-22 11:00:00,-18.899149719894012,
2021-11-22 23:59:59,5.729796686277041,c
2021-11-23 00:00:00,56.89362512793559,
2021-11-23 03:30:00,191.73975890111888,
2021-11-23 04:00:00,223.64289546863893,
2021-11-23 06:00:00,163.73928136697668,
2021-11-23 08:00:00,154.21621324535408,
2021-11-23 10:30:00,193.7802978543168,
2021-11-23 11:00:00,192.6067198372075,
2021-11-23 23:59:59,179.14902413517484,c
0,179.14902413517484,
0,179.14902413517484,
0,179.14902413517484,
0,179.14902413517484,
0,179.14902413517484,
0,179.14902413517484,
0,179.14902413517484,
0,179.14902413517484,
0,179.14902413517484,
0,179.14902413517484,
0,179.14902413517484,
0,179.14902413517484,
0,179.14902413517484,
0,179.14902413517484,
0,179.14902413517484,
0,179.14902413517484,
0,179.14902413517484,
0,179.14902413517484,
0,179.14902413517484,
0,179.14902413517484,
0,179.14902413517484,
0,179.14902413517484,
0,179.14902413517484,
0,179.14902413517484,
2021-11-24 00:00:00,154.24665474577796,
2021-11-24 03:30:00,30.567929899732917,
2021-11-24 04:00:00,52.760399030948975,
2021-11-24 06:00:00,85.56994533615125,
2021-11-24 08:00:00,31.8832094530253,
2021-11-24 10:30:00,65.76072080640097,
2021-11-24 11:00:00,69.15339582201159,
2021-11-24 23:59:59,100.71245794422885,c
2021-11-25 00:00:00,-14.93282489201556,
2021-11-25 03:30:00,61.35027780505516,
2021-11-25 04:00:00,55.35935490612428,
2021-11-25 06:00:00,-17.112103520759774,
2021-11-25 08:00:00,-74.27617279561036,
2021-11-25 10:30:00,13.174230674232604,
2021-11-25 11:00:00,12.679785694663224,
2021-11-25 23:59:59,5.586588483481137,c
2021-11-26 00:00:00,235.51086051130642,
2021-11-26 03:30:00,161.06212982712077,
2021-11-26 04:00:00,125.59301303158372,
2021-11-26 06:00:00,191.05871477316123,
2021-11-26 08:00:00,294.4578036899893,
2021-11-26 10:30:00,213.07594238953425,
2021-11-26 11:00:00,214.35707434909637,
2021-11-26 23:59:59,243.79218627772298,w
2021-11-29 00:00:00,176.91616906400668,
2021-11-29 03:30:00,161.82394870561347,
2021-11-29 04:00:00,200.20038108756762,
2021-11-29 06:00:00,243.1174950919676,
2021-11-29 08:00:00,241.81925392505582,
2021-11-29 10:30:00,170.10834437709036,
2021-11-29 11:00:00,172.9679155172944,
2021-11-29 23:59:59,191.00927628455065,c
2021-11-30 00:00:00,392.0396768840201,
2021-11-30 03:30:00,439.662157439122,
2021-11-30 04:00:00,513.3827602672445,
2021-11-30 06:00:00,649.3540224861063,
2021-11-30 08:00:00,737.487995096014,
2021-11-30 10:30:00,912.5068524785702,
2021-11-30 11:00:00,921.0745615663081,
2021-11-30 23:59:59,834.995346656433,e
2021-12-01 00:00:00,567.8432427432381,
2021-12-01 03:30:00,651.1609491231193,
2021-12-01 04:00:00,683.4930698280195,
2021-12-01 06:00:00,780.2028212248024,
2021-12-01 08:00:00,841.1665324096157,
2021-12-01 10:30:00,735.6513495682057,
2021-12-01 11:00:00,734.616595546564,
2021-12-01 23:59:59,716.4827091981997,c
2021-12-02 00:00:00,439.23986530479215,
2021-12-02 03:30:00,364.66618636845305,
2021-12-02 04:00:00,359.07689604682855,
2021-12-02 06:00:00,419.95177006862195,
2021-12-02 08:00:00,443.10493995569414,
2021-12-02 10:30:00,406.64341476768186,
2021-12-02 11:00:00,410.5661468826993,
2021-12-02 23:59:59,350.5005598354246,c
2021-12-03 00:00:00,395.6093654318893,
2021-12-03 03:30:00,425.49034956161904,
2021-12-03 04:00:00,421.71522874864786,
2021-12-03 06:00:00,428.17479403853395,
2021-12-03 08:00:00,473.2123892990012,
2021-12-03 10:30:00,396.97887552715474,
2021-12-03 11:00:00,400.45538945693806,
2021-12-03 23:59:59,393.4602153447495,w
2021-12-06 00:00:00,527.3028845552044,
2021-12-06 03:30:00,493.8980466059893,
2021-12-06 04:00:00,493.1136582864665,
2021-12-06 06:00:00,430.79674287818034,
2021-12-06 08:00:00,419.75683908713654,
2021-12-06 10:30:00,428.8390415243948,
2021-12-06 11:00:00,426.1171016911658,
2021-12-06 23:59:59,371.2642980064784,c
2021-12-07 00:00:00,371.2642980064784,
2021-12-07 03:30:00,246.8975524923535,
2021-12-07 04:00:00,230.91001284986214,
2021-12-07 06:00:00,256.9203775134474,
2021-12-07 08:00:00,236.77318881186875,
2021-12-07 10:30:00,182.24379843652878,
2021-12-07 11:00:00,183.5418659888055,
2021-12-07 23:59:59,212.44952744302282,c
2021-12-08 00:00:00,-58.45265336464399,
2021-12-08 03:30:00,-31.96761138567581,
2021-12-08 04:00:00,-15.248676930012152,
2021-12-08 06:00:00,-12.680361239004924,
2021-12-08 08:00:00,-42.42820562369525,
2021-12-08 10:30:00,-57.71764069030178,
2021-12-08 11:00:00,-54.69585500393805,
2021-12-08 23:59:59,-74.95830639815358,c
2021-12-09 00:00:00,81.4012068392176,
2021-12-09 03:30:00,-49.61968255335705,
2021-12-09 04:00:00,-24.49852634697163,
2021-12-09 06:00:00,-104.68609674203799,
2021-12-09 08:00:00,-115.98624072040911,
2021-12-09 10:30:00,-113.40875414188577,
2021-12-09 11:00:00,-111.92440151217033,
2021-12-09 23:59:59,-20.60675902615003,c
