date,XBI_2021_Q2,meta
2021-06-04 15:30:30,141.430780447836,
2021-06-04 23:59:59,149.6578101645904,w
2021-06-07 00:00:00,173.64778858717216,
2021-06-07 10:00:00,153.68358158525734,
2021-06-07 10:30:00,139.57288176519467,
2021-06-07 12:00:00,158.2877501726574,
2021-06-07 13:30:00,183.82570249346702,
2021-06-07 15:00:00,130.36897193305902,
2021-06-07 15:30:30,130.36897193305902,
2021-06-07 23:59:59,122.32369144709071,c
2021-06-08 00:00:00,157.06009592999328,
2021-06-08 10:00:00,133.93675980046737,
2021-06-08 10:30:00,155.5534438925822,
2021-06-08 12:00:00,119.14053905849914,
2021-06-08 13:30:00,122.43003727615928,
2021-06-08 15:00:00,119.57878055880872,
2021-06-08 15:30:30,119.57878055880872,
2021-06-08 23:59:59,108.14471955474437,c
2021-06-09 00:00:00,122.63770238613313,
2021-06-09 10:00:00,76.91100613241497,
2021-06-09 10:30:00,101.73854577768316,
2021-06-09 12:00:00,96.28753481896138,
2021-06-09 13:30:00,129.80441203195141,
2021-06-09 15:00:00,116.64330229607617,
2021-06-09 15:30:30,116.64330229607617,
2021-06-09 23:59:59,89.62487215209,c
2021-06-10 00:00:00,49.55601347079448,
2021-06-10 10:00:00,66.09207236186217,
2021-06-10 10:30:00,46.20778419216526,
2021-06-10 12:00:00,37.40451824597892,
2021-06-10 13:30:00,55.04351014108238,
2021-06-10 15:00:00,40.7366301775437,
2021-06-10 15:30:30,40.7366301775437,
2021-06-10 23:59:59,31.029098947226544,c
2021-06-11 00:00:00,32.10125206555415,
2021-06-11 10:00:00,-34.95569844371164,
2021-06-11 10:30:00,-11.421249683239694,
2021-06-11 12:00:00,-2.1455540044626105,
2021-06-11 13:30:00,11.780401930503217,
2021-06-11 15:00:00,7.001774667124209,
2021-06-11 15:30:30,7.001774667124209,
2021-06-11 23:59:59,0.0,a
2021-06-14 00:00:00,18.464068795847197,
2021-06-14 10:00:00,61.707056608530706,
2021-06-14 10:30:00,53.73633499925006,
2021-06-14 12:00:00,29.125835121591308,
2021-06-14 13:30:00,60.948185473733815,
2021-06-14 15:00:00,66.04652981000038,
2021-06-14 15:30:30,66.04652981000038,
2021-06-14 23:59:59,33.87060175327417,c
2021-06-15 00:00:00,57.99598314958132,
2021-06-15 10:00:00,52.84350157060737,
2021-06-15 10:30:00,-1.7428805700366183,
2021-06-15 12:00:00,-17.49426940599858,
2021-06-15 13:30:00,15.031516280053893,
2021-06-15 15:00:00,30.575108582102303,
2021-06-15 15:30:30,30.575108582102303,
2021-06-15 23:59:59,30.569410473792573,c
2021-06-16 00:00:00,27.139030700653052,
2021-06-16 10:00:00,67.97653272341245,
2021-06-16 10:30:00,53.75886278255814,
2021-06-16 12:00:00,104.5995506380525,
2021-06-16 13:30:00,102.70354132268403,
2021-06-16 15:00:00,102.75362808908073,
2021-06-16 15:30:30,102.75362808908073,
2021-06-16 23:59:59,105.84925153354254,c
2021-06-17 00:00:00,76.40247922798517,
2021-06-17 10:00:00,191.50671586938358,
2021-06-17 10:30:00,157.67803692582982,
2021-06-17 12:00:00,147.5043291940957,
2021-06-17 13:30:00,132.84122841484862,
2021-06-17 15:00:00,142.9432246831958,
2021-06-17 15:30:30,142.9432246831958,
2021-06-17 23:59:59,112.5299169970026,c
2021-06-18 00:00:00,101.4505949940824,
2021-06-18 10:00:00,106.49834695235256,
2021-06-18 10:30:00,17.61658214645354,
2021-06-18 12:00:00,-18.039103425700432,
2021-06-18 13:30:00,-21.422090553903104,
2021-06-18 15:00:00,-62.66585644978636,
2021-06-18 15:30:30,-62.66585644978636,
2021-06-18 23:59:59,110.79666144106318,e
2021-06-21 00:00:00,109.89150309985291,
2021-06-21 10:00:00,114.27651435992595,
2021-06-21 10:30:00,101.753192492219,
2021-06-21 12:00:00,69.93737454837822,
2021-06-21 13:30:00,76.21317506084245,
2021-06-21 15:00:00,68.20592877635443,
2021-06-21 15:30:30,68.20592877635443,
2021-06-21 23:59:59,63.09337703130234,c
2021-06-22 00:00:00,52.8271906975815,
2021-06-22 10:00:00,16.355296837130936,
2021-06-22 10:30:00,30.89711500997339,
2021-06-22 12:00:00,27.61344806387376,
2021-06-22 13:30:00,20.162700321637203,
2021-06-22 15:00:00,15.889199426091636,
2021-06-22 15:30:30,15.889199426091636,
2021-06-22 23:59:59,25.544059495321335,c
2021-06-23 00:00:00,22.64470316066695,
2021-06-23 10:00:00,16.87662492738025,
2021-06-23 10:30:00,32.792726882877446,
2021-06-23 12:00:00,23.644874393424743,
2021-06-23 13:30:00,14.374674441211255,
2021-06-23 15:00:00,35.99735498173527,
2021-06-23 15:30:30,35.99735498173527,
2021-06-23 23:59:59,30.947641832183194,c
2021-06-24 00:00:00,54.883576554898696,
2021-06-24 10:00:00,51.21395844678409,
2021-06-24 10:30:00,69.09497797501263,
2021-06-24 12:00:00,73.55215495120069,
2021-06-24 13:30:00,72.83729825268563,
2021-06-24 15:00:00,91.90730628071105,
2021-06-24 15:30:30,91.90730628071105,
2021-06-24 23:59:59,93.85165242262553,c
2021-06-25 00:00:00,73.957537771626,
2021-06-25 10:00:00,56.408915197405804,
2021-06-25 10:30:00,60.222645982022186,
2021-06-25 12:00:00,69.02949257654132,
2021-06-25 13:30:00,87.01300657799834,
2021-06-25 15:00:00,96.00305351030056,
2021-06-25 15:30:30,96.00305351030056,
2021-06-25 23:59:59,75.05701213959003,w
2021-06-28 00:00:00,77.66954321851779,
2021-06-28 10:00:00,94.52065225158208,
2021-06-28 10:30:00,99.34931046059341,
2021-06-28 12:00:00,96.68908254667588,
2021-06-28 13:30:00,113.5057035635815,
2021-06-28 15:00:00,121.47945421376653,
2021-06-28 15:30:30,121.47945421376653,
2021-06-28 23:59:59,111.61114463801994,c
2021-06-29 00:00:00,80.26789762735336,
2021-06-29 10:00:00,94.47465175065179,
2021-06-29 10:30:00,102.59710527401046,
2021-06-29 12:00:00,65.72429145652609,
2021-06-29 13:30:00,66.1302499810289,
2021-06-29 15:00:00,44.12415919581326,
2021-06-29 15:30:30,44.12415919581326,
2021-06-29 23:59:59,23.532819655279354,c
2021-06-30 00:00:00,31.042126528505605,
2021-06-30 10:00:00,39.719663655803515,
2021-06-30 10:30:00,51.62828372176364,
2021-06-30 12:00:00,59.80511784226724,
