date,FCTR_2023_F,meta
2023-02-07 15:30:30,34.1996222488507,
2023-02-07 23:59:59,48.85278060962511,c
2023-02-08 00:00:00,56.09343584914957,
2023-02-08 10:00:00,69.31927079347912,
2023-02-08 10:30:00,56.80487013274197,
2023-02-08 12:00:00,45.545396302693725,
2023-02-08 13:30:00,29.578099608690877,
2023-02-08 15:00:00,33.55281404505319,
2023-02-08 15:30:30,33.55281404505319,
2023-02-08 23:59:59,29.30913719616349,c
2023-02-09 00:00:00,48.86216712056923,
2023-02-09 10:00:00,60.78175743823921,
2023-02-09 10:30:00,40.235292420793556,
2023-02-09 12:00:00,26.27174248315451,
2023-02-09 13:30:00,27.12067184593488,
2023-02-09 15:00:00,2.1584563829951264,
2023-02-09 15:30:30,2.1584563829951264,
2023-02-09 23:59:59,-14.593830799387064,c
