date,SPYD_2021_Q1,meta
2021-02-05 12:00:00,-123.93932931378453,
2021-02-05 13:30:00,-118.09835832719853,
2021-02-05 15:00:00,-103.65341479982436,
2021-02-05 15:30:30,-103.65341479982436,
2021-02-05 23:59:59,-114.33442580099535,w
2021-02-08 00:00:00,-102.56687494554706,
2021-02-08 10:00:00,-140.45926176356608,
2021-02-08 10:30:00,-136.36017472434867,
2021-02-08 12:00:00,-147.6503542106853,
2021-02-08 13:30:00,-157.85988498869347,
2021-02-08 15:00:00,-152.51281739843205,
2021-02-08 15:30:30,-152.51281739843205,
2021-02-08 23:59:59,-166.255596140593,c
2021-02-09 00:00:00,-146.4626435009095,
2021-02-09 10:00:00,-174.34740175402112,
2021-02-09 10:30:00,-172.80262858179628,
2021-02-09 12:00:00,-183.44732826885644,
2021-02-09 13:30:00,-191.6701750004301,
2021-02-09 15:00:00,-179.66494161706208,
2021-02-09 15:30:30,-179.66494161706208,
2021-02-09 23:59:59,-178.8827606052114,c
2021-02-10 00:00:00,-175.62796779111034,
2021-02-10 10:00:00,-179.61805570785668,
2021-02-10 10:30:00,-139.83760727249467,
2021-02-10 12:00:00,-148.53398264555204,
2021-02-10 13:30:00,-190.6259044514331,
2021-02-10 15:00:00,-176.36527792536538,
2021-02-10 15:30:30,-176.36527792536538,
2021-02-10 23:59:59,-160.1252354239354,c
2021-02-11 00:00:00,-160.07019176195467,
2021-02-11 10:00:00,-189.21148340020642,
2021-02-11 10:30:00,-193.43105558946894,
2021-02-11 12:00:00,-188.44913036124694,
2021-02-11 13:30:00,-154.62083010839336,
2021-02-11 15:00:00,-155.3683977510899,
2021-02-11 15:30:30,-155.3683977510899,
2021-02-11 23:59:59,-165.95340175461854,c
2021-02-12 00:00:00,-157.16934940811637,
2021-02-12 10:00:00,-204.66216115582216,
2021-02-12 10:30:00,-227.3356657062027,
2021-02-12 12:00:00,-241.6700134075694,
2021-02-12 13:30:00,-223.53631361582433,
2021-02-12 15:00:00,-225.56931723445211,
2021-02-12 15:30:30,-225.56931723445211,
2021-02-12 23:59:59,-234.23237351978082,w
