date,XSLV_2021_Q3,meta
2021-08-06 15:00:00,105.84895917999927,
2021-08-06 15:30:30,105.84895917999927,
2021-08-06 23:59:59,104.79747579829399,w
2021-08-09 00:00:00,76.67828077548995,
2021-08-09 10:00:00,70.0498051987189,
2021-08-09 10:30:00,70.81858731816345,
2021-08-09 12:00:00,57.87770654292069,
2021-08-09 13:30:00,61.960578858650024,
2021-08-09 15:00:00,64.19179617797266,
2021-08-09 15:30:30,64.19179617797266,
2021-08-09 23:59:59,66.00414008880477,c
2021-08-10 00:00:00,62.36123412698464,
2021-08-10 10:00:00,66.53790040544214,
2021-08-10 10:30:00,84.51798867044022,
2021-08-10 12:00:00,94.44486157424672,
2021-08-10 13:30:00,101.99444485783698,
2021-08-10 15:00:00,87.15514186083948,
2021-08-10 15:30:30,87.15514186083948,
2021-08-10 23:59:59,77.02356603456144,c
