date,MSCI_US_SC_STAY_HEDGED_2021_Q1,meta
2021-02-11 10:00:00,525.5253472547756,
2021-02-11 10:30:00,529.3415068452368,
2021-02-11 12:00:00,384.84400967964075,
2021-02-11 13:30:00,422.7421043465224,
2021-02-11 15:00:00,353.06165039777534,
2021-02-11 15:30:30,353.06165039777534,
2021-02-11 23:59:59,325.9847308865851,c
0,325.9847308865851,
0,325.9847308865851,
0,325.9847308865851,
0,325.9847308865851,
0,325.9847308865851,
0,325.9847308865851,
0,325.9847308865851,
0,325.9847308865851,
0,325.9847308865851,
0,325.9847308865851,
0,325.9847308865851,
0,325.9847308865851,
0,325.9847308865851,
0,325.9847308865851,
0,325.9847308865851,
0,325.9847308865851,
2021-02-12 00:00:00,268.49897682555,
2021-02-12 10:00:00,374.81437564902944,
2021-02-12 10:30:00,367.8848473247217,
2021-02-12 12:00:00,370.84329633699735,
2021-02-12 13:30:00,307.0544069374346,
2021-02-12 15:00:00,325.75437431796536,
2021-02-12 15:30:30,325.75437431796536,
2021-02-12 23:59:59,280.49936219438905,w
2021-02-15 00:00:00,280.49936219438905,
2021-02-15 10:00:00,280.49936219438905,
2021-02-15 10:30:00,280.49936219438905,
2021-02-15 12:00:00,280.49936219438905,
2021-02-15 13:30:00,280.49936219438905,
2021-02-15 15:00:00,280.49936219438905,
2021-02-15 15:30:30,280.49936219438905,
2021-02-15 23:59:59,280.49936219438905,c
2021-02-16 00:00:00,304.9984200683698,
2021-02-16 10:00:00,379.0033903645435,
2021-02-16 10:30:00,284.302941301024,
2021-02-16 12:00:00,294.69795759413455,
2021-02-16 13:30:00,401.03142379347764,
2021-02-16 15:00:00,369.4448477601409,
2021-02-16 15:30:30,369.4448477601409,
2021-02-16 23:59:59,394.9870050957679,c
2021-02-17 00:00:00,378.63788749220976,
2021-02-17 10:00:00,329.6078124191513,
2021-02-17 10:30:00,322.9720731436255,
2021-02-17 12:00:00,317.09462390127874,
2021-02-17 13:30:00,299.51288998136215,
2021-02-17 15:00:00,288.8523811384707,
2021-02-17 15:30:30,288.8523811384707,
2021-02-17 23:59:59,268.4985061698012,c
2021-02-18 00:00:00,317.62949904492143,
2021-02-18 10:00:00,297.9006470064701,
2021-02-18 10:30:00,257.7321451944317,
2021-02-18 12:00:00,268.8363756458539,
2021-02-18 13:30:00,259.84235321475535,
2021-02-18 15:00:00,198.7002553082002,
2021-02-18 15:30:30,198.7002553082002,
2021-02-18 23:59:59,171.34785095027928,c
2021-02-19 00:00:00,188.00578024397782,
2021-02-19 10:00:00,179.0939640160418,
2021-02-19 10:30:00,168.99441795359326,
2021-02-19 12:00:00,163.41060105170754,
2021-02-19 13:30:00,168.27118753175546,
2021-02-19 15:00:00,164.09404557203743,
2021-02-19 15:30:30,164.09404557203743,
2021-02-19 23:59:59,170.50712230480076,w
2021-02-22 00:00:00,146.18991404347526,
2021-02-22 10:00:00,76.47942063378014,
2021-02-22 10:30:00,108.3480687449528,
2021-02-22 12:00:00,89.7607381950238,
2021-02-22 13:30:00,69.24644798691043,
2021-02-22 15:00:00,41.22272729047427,
2021-02-22 15:30:30,41.22272729047427,
2021-02-22 23:59:59,65.12992490721717,c
2021-02-23 00:00:00,14.187136458228451,
2021-02-23 10:00:00,20.20075172694669,
2021-02-23 10:30:00,3.5231040707149077,
2021-02-23 12:00:00,64.80679795129299,
2021-02-23 13:30:00,46.39934797735623,
2021-02-23 15:00:00,8.602938552722662,
2021-02-23 15:30:30,8.602938552722662,
2021-02-23 23:59:59,44.43488878256812,c
2021-02-24 00:00:00,67.56801478731177,
2021-02-24 10:00:00,7.99248859922227,
2021-02-24 10:30:00,-8.827424361068552,
2021-02-24 12:00:00,2.9805988590924244,
2021-02-24 13:30:00,-0.718745524809492,
2021-02-24 15:00:00,-41.053647163582355,
2021-02-24 15:30:30,-41.053647163582355,
2021-02-24 23:59:59,-24.520033856935697,c
2021-02-25 00:00:00,-44.7928268080359,
2021-02-25 10:00:00,-17.75345431511778,
2021-02-25 10:30:00,-17.241521316851504,
2021-02-25 12:00:00,-5.244173187458728,
2021-02-25 13:30:00,0.14194550463435007,
2021-02-25 15:00:00,0.8353191406977203,
2021-02-25 15:30:30,0.8353191406977203,
2021-02-25 23:59:59,81.91304282320925,c
2021-02-26 00:00:00,74.90822136823363,
2021-02-26 10:00:00,56.711781525772494,
2021-02-26 10:30:00,95.07891942389324,
2021-02-26 12:00:00,95.01533350423824,
2021-02-26 13:30:00,19.861160987605217,
2021-02-26 15:00:00,48.268928940185106,
2021-02-26 15:30:30,48.268928940185106,
2021-02-26 23:59:59,73.58896956814533,e
2021-03-01 00:00:00,12.15967369358441,
2021-03-01 10:00:00,42.09307905537935,
2021-03-01 10:30:00,34.97764057249833,
2021-03-01 12:00:00,40.675570214991694,
2021-03-01 13:30:00,21.8390076234532,
2021-03-01 15:00:00,14.891570027010857,
2021-03-01 15:30:30,14.891570027010857,
2021-03-01 23:59:59,24.45166200480162,c
2021-03-02 00:00:00,-72.3493610442074,
2021-03-02 10:00:00,17.332284557542152,
2021-03-02 10:30:00,-1.6407468044335474,
2021-03-02 12:00:00,-13.724303110313485,
2021-03-02 13:30:00,-25.83485534006013,
2021-03-02 15:00:00,-65.1165922775399,
2021-03-02 15:30:30,-65.1165922775399,
2021-03-02 23:59:59,-43.59410413709884,c
2021-03-03 00:00:00,-10.678615925789927,
2021-03-03 10:00:00,10.604863843898784,
2021-03-03 10:30:00,3.676871657347874,
2021-03-03 12:00:00,-29.205832546182137,
2021-03-03 13:30:00,-51.20596640616259,
2021-03-03 15:00:00,-27.90885951344353,
2021-03-03 15:30:30,-27.90885951344353,
2021-03-03 23:59:59,24.45827849498164,c
2021-03-04 00:00:00,5.25258908745036,
2021-03-04 10:00:00,-0.4657387934594226,
2021-03-04 10:30:00,22.212837810926885,
2021-03-04 12:00:00,-19.529199920450083,
2021-03-04 13:30:00,30.14375578141471,
2021-03-04 15:00:00,17.859799670543907,
2021-03-04 15:30:30,17.859799670543907,
2021-03-04 23:59:59,44.50530529638809,c
2021-03-05 00:00:00,-26.05474629875971,
2021-03-05 10:00:00,-27.94879805218079,
2021-03-05 10:30:00,-10.30318624809297,
2021-03-05 12:00:00,-53.88296300914226,
2021-03-05 13:30:00,-101.11207345058938,
