date,MSCI_MXN_2023_Q1,meta
2023-02-23 10:30:00,-175.4437951524651,
2023-02-23 12:00:00,-100.67649088863982,
2023-02-23 13:30:00,-164.42850528983763,
2023-02-23 15:00:00,-126.97576918212144,
2023-02-23 15:30:30,-126.97576918212144,
2023-02-23 23:59:59,-183.3713160446332,c
2023-02-24 00:00:00,-203.72139195792624,
2023-02-24 10:00:00,-213.80320513061633,
2023-02-24 10:30:00,-196.87479905040163,
2023-02-24 12:00:00,-194.2438196627354,
2023-02-24 13:30:00,-212.78305361474668,
2023-02-24 15:00:00,-265.77565011050683,
2023-02-24 15:30:30,-265.77565011050683,
2023-02-24 23:59:59,-218.34909124084334,w
2023-02-27 00:00:00,-233.87019559912733,
2023-02-27 10:00:00,-249.45469386856712,
2023-02-27 10:30:00,-269.8924316032644,
2023-02-27 12:00:00,-243.52241483479702,
2023-02-27 13:30:00,-256.98564533012177,
2023-02-27 15:00:00,-258.4326157890864,
2023-02-27 15:30:30,-258.4326157890864,
2023-02-27 23:59:59,-251.09321081342569,c
2023-02-28 00:00:00,-258.798081511115,
2023-02-28 10:00:00,-214.2617934710688,
2023-02-28 10:30:00,-208.83031952550846,
2023-02-28 12:00:00,-163.29949053041128,
2023-02-28 13:30:00,-213.89738097937698,
2023-02-28 15:00:00,-257.77701496758345,
2023-02-28 15:30:30,-257.77701496758345,
2023-02-28 23:59:59,-241.89841159149728,e
2023-03-01 00:00:00,-212.04522447514682,
2023-03-01 10:00:00,-265.6055985789444,
2023-03-01 10:30:00,-270.1395944371816,
2023-03-01 12:00:00,-337.13154134311117,
2023-03-01 13:30:00,-381.9411884331694,
2023-03-01 15:00:00,-317.2039490237603,
2023-03-01 15:30:30,-317.2039490237603,
2023-03-01 23:59:59,-275.704267358773,c
2023-03-02 00:00:00,-281.8027093332403,
2023-03-02 10:00:00,-279.30336000890384,
2023-03-02 10:30:00,-291.39610669230206,
2023-03-02 12:00:00,-294.908084624145,
2023-03-02 13:30:00,-287.0742867561876,
2023-03-02 15:00:00,-346.86818330903225,
2023-03-02 15:30:30,-346.86818330903225,
2023-03-02 23:59:59,-243.9430602150078,c
2023-03-03 00:00:00,-248.76774792217475,
2023-03-03 10:00:00,-287.985618350398,
2023-03-03 10:30:00,-355.82921651804463,
