date,HUI_2022_Q1,meta
2022-03-11 15:00:00,0.705434164770395,
2022-03-11 15:30:30,0.705434164770395,
2022-03-11 23:59:59,0.0,a
2022-03-14 00:00:00,98.00340978558643,
2022-03-14 10:00:00,33.028300994977144,
2022-03-14 10:30:00,67.42657340858545,
2022-03-14 12:00:00,53.89505480359571,
2022-03-14 13:30:00,14.595931900027836,
2022-03-14 15:00:00,30.662786464262354,
2022-03-14 15:30:30,30.662786464262354,
2022-03-14 23:59:59,-19.503884332671305,c
2022-03-15 00:00:00,28.936154918810644,
2022-03-15 10:00:00,21.113458604418156,
2022-03-15 10:30:00,29.291767267541672,
2022-03-15 12:00:00,24.107750444094336,
2022-03-15 13:30:00,60.57447998991802,
2022-03-15 15:00:00,42.1384854774069,
2022-03-15 15:30:30,42.1384854774069,
