date,EU_SX5E_AD_2022_Q3,meta
2022-09-09 08:00:00,12.608642367131779,
2022-09-09 10:30:00,66.68652323290326,
2022-09-09 11:00:00,71.20668618896161,
2022-09-09 23:59:59,67.3631000385385,w
2022-09-12 00:00:00,88.65272575302606,
2022-09-12 03:30:00,114.81237073493094,
2022-09-12 04:00:00,95.58568274491654,
2022-09-12 06:00:00,59.06661693912292,
2022-09-12 08:00:00,54.65965861279892,
2022-09-12 10:30:00,95.63462292128952,
2022-09-12 11:00:00,63.330941422000706,
2022-09-12 23:59:59,42.118882258129815,c
2022-09-13 00:00:00,42.935604685513226,
2022-09-13 03:30:00,53.48570375437839,
2022-09-13 04:00:00,67.77242819876165,
2022-09-13 06:00:00,68.2497314553575,
2022-09-13 08:00:00,85.05162592062561,
2022-09-13 10:30:00,-2.1206391901532697,
2022-09-13 11:00:00,-5.610298912364215,
2022-09-13 23:59:59,35.76906065665844,c
2022-09-14 00:00:00,56.82688170997653,
2022-09-14 03:30:00,77.88460726040012,
2022-09-14 04:00:00,72.67659656043134,
2022-09-14 06:00:00,116.96054225341322,
2022-09-14 08:00:00,91.86130812700185,
2022-09-14 10:30:00,61.48437397835505,
2022-09-14 11:00:00,96.50661009001897,
2022-09-14 23:59:59,72.91217116740063,c
2022-09-15 00:00:00,79.24721072603006,
2022-09-15 03:30:00,107.41165157144815,
2022-09-15 04:00:00,95.80741837385267,
2022-09-15 06:00:00,52.697619310172286,
2022-09-15 08:00:00,27.493351727286154,
2022-09-15 10:30:00,-13.808636452572046,
2022-09-15 11:00:00,-18.499638725621026,
2022-09-15 23:59:59,0.5706248319843326,c
2022-09-16 00:00:00,1.1045393200670333,
2022-09-16 03:30:00,-11.743891297993741,
2022-09-16 04:00:00,-49.117025151064354,
2022-09-16 06:00:00,-148.93118282653177,
2022-09-16 08:00:00,-172.59564401426724,
2022-09-16 10:30:00,-180.0014158551444,
2022-09-16 11:00:00,-263.72297055037734,
2022-09-16 23:59:59,-459.54922479598736,e
2022-09-19 00:00:00,-379.15645586914934,
2022-09-19 03:30:00,-370.10661693609654,
2022-09-19 04:00:00,-405.0455168396916,
2022-09-19 06:00:00,-504.18870037880015,
2022-09-19 08:00:00,-505.4276081959051,
2022-09-19 10:30:00,-358.2889766386884,
2022-09-19 11:00:00,-391.36909526155296,
2022-09-19 23:59:59,-392.70733451583374,c
2022-09-20 00:00:00,-349.6048220290195,
2022-09-20 03:30:00,-235.36449311064507,
2022-09-20 04:00:00,-218.9184762815762,
2022-09-20 06:00:00,-265.42469564162593,
2022-09-20 08:00:00,-217.40776926063927,
2022-09-20 10:30:00,-229.62243021984068,
2022-09-20 11:00:00,-189.76924628154075,
2022-09-20 23:59:59,-156.23433111746363,c
2022-09-21 00:00:00,-157.954280942914,
2022-09-21 03:30:00,-208.46159802515422,
2022-09-21 04:00:00,-208.38822396982414,
2022-09-21 06:00:00,-118.31166588059705,
2022-09-21 08:00:00,-121.0915140928305,
2022-09-21 10:30:00,-80.56358344623322,
2022-09-21 11:00:00,-88.21118068077294,
2022-09-21 23:59:59,-76.31208571133993,c
2022-09-22 00:00:00,-100.32211805567977,
2022-09-22 03:30:00,-73.78524839470674,
2022-09-22 04:00:00,-30.147256431711867,
2022-09-22 06:00:00,34.16371783155182,
2022-09-22 08:00:00,5.294496283653189,
2022-09-22 10:30:00,26.30829821472844,
2022-09-22 11:00:00,4.759556129277371,
2022-09-22 23:59:59,1.3860469610153814,c
2022-09-23 00:00:00,-17.70338091579788,
2022-09-23 03:30:00,-62.00556572038249,
2022-09-23 04:00:00,-65.58832888345296,
2022-09-23 06:00:00,-122.91598242309556,
2022-09-23 08:00:00,-163.3113628014944,
2022-09-23 10:30:00,-176.4017865415608,
2022-09-23 11:00:00,-190.73452548421483,
2022-09-23 23:59:59,-130.11121268888246,w
2022-09-26 00:00:00,-185.82788235430235,
2022-09-26 03:30:00,-160.12641663993145,
2022-09-26 04:00:00,-172.41174476160904,
2022-09-26 06:00:00,-212.178491363808,
2022-09-26 08:00:00,-206.31079499884027,
2022-09-26 10:30:00,-120.53226039726451,
2022-09-26 11:00:00,-135.7625882108009,
2022-09-26 23:59:59,-205.14067347584933,c
2022-09-27 00:00:00,-179.57758712589657,
2022-09-27 03:30:00,-111.31250212636178,
2022-09-27 04:00:00,-93.75746377064206,
2022-09-27 06:00:00,-136.64527842912958,
2022-09-27 08:00:00,-85.46748496690634,
2022-09-27 10:30:00,-127.90551855584317,
2022-09-27 11:00:00,-115.80605493558096,
2022-09-27 23:59:59,-114.45513710405339,c
2022-09-28 00:00:00,-126.18792736301612,
2022-09-28 03:30:00,-169.4050300464296,
2022-09-28 04:00:00,-197.00489738349052,
2022-09-28 06:00:00,-283.031540379719,
2022-09-28 08:00:00,-247.65258341284698,
2022-09-28 10:30:00,-154.35899277585304,
2022-09-28 11:00:00,-158.9923589743321,
2022-09-28 23:59:59,-199.57842589784877,c
2022-09-29 00:00:00,-189.78638919942023,
2022-09-29 03:30:00,-255.01193628413967,
2022-09-29 04:00:00,-280.80869473178745,
2022-09-29 06:00:00,-247.19709674507294,
2022-09-29 08:00:00,-248.49452094555363,
2022-09-29 10:30:00,-310.71538658711324,
2022-09-29 11:00:00,-296.6397653214158,
2022-09-29 23:59:59,-334.9374933809013,c
2022-09-30 00:00:00,-346.5085097338556,
2022-09-30 03:30:00,-270.9656289767513,
2022-09-30 04:00:00,-277.83867394438994,
2022-09-30 06:00:00,-328.32170879316163,
2022-09-30 08:00:00,-372.2678721074162,
2022-09-30 10:30:00,-345.37062573743333,
2022-09-30 11:00:00,-332.652076213245,
2022-09-30 23:59:59,-348.1059794267194,w
