date,EU_TAN_2021_Q4,meta
2021-11-30 11:00:00,808.5793016822081,
2021-11-30 23:59:59,836.6191138603008,c
2021-12-01 00:00:00,827.7077327325587,
2021-12-01 03:30:00,725.7917772882993,
2021-12-01 04:00:00,700.5145767858285,
2021-12-01 06:00:00,813.5656042416958,
2021-12-01 08:00:00,821.2687867807217,
2021-12-01 10:30:00,882.4453067308077,
2021-12-01 11:00:00,904.8510162961211,
2021-12-01 23:59:59,920.4477611180646,c
2021-12-02 00:00:00,794.0355265672406,
2021-12-02 03:30:00,680.4444485812273,
2021-12-02 04:00:00,714.0722192483918,
2021-12-02 06:00:00,695.3003766534639,
2021-12-02 08:00:00,582.5417504028665,
2021-12-02 10:30:00,588.0339709308355,
2021-12-02 11:00:00,556.4179621597195,
2021-12-02 23:59:59,554.133349403146,c
2021-12-03 00:00:00,485.5667380072882,
2021-12-03 03:30:00,408.7806762887067,
2021-12-03 04:00:00,399.312030266261,
2021-12-03 06:00:00,411.29777777244635,
2021-12-03 08:00:00,436.2682009727596,
2021-12-03 10:30:00,237.6664210019935,
2021-12-03 11:00:00,207.71834342620605,
2021-12-03 23:59:59,182.07353906494063,w
2021-12-06 00:00:00,193.48056293868467,
2021-12-06 03:30:00,208.78056398480112,
2021-12-06 04:00:00,220.48462250098237,
2021-12-06 06:00:00,112.03902960278901,
2021-12-06 08:00:00,35.289336827197985,
2021-12-06 10:30:00,159.18424255234459,
2021-12-06 11:00:00,132.89050972715086,
2021-12-06 23:59:59,109.592875255521,c
2021-12-07 00:00:00,109.592875255521,
2021-12-07 03:30:00,163.2688069974065,
2021-12-07 04:00:00,142.77926734905122,
2021-12-07 06:00:00,263.75663881701075,
2021-12-07 08:00:00,247.30092882687677,
2021-12-07 10:30:00,257.2678739222156,
2021-12-07 11:00:00,270.4910223722836,
2021-12-07 23:59:59,283.3131240579569,c
2021-12-08 00:00:00,306.8760204958071,
2021-12-08 03:30:00,342.6272789401337,
2021-12-08 04:00:00,357.77834834181704,
2021-12-08 06:00:00,309.0921788474825,
2021-12-08 08:00:00,293.2754865037441,
2021-12-08 10:30:00,269.2333635546911,
2021-12-08 11:00:00,271.7544674549081,
2021-12-08 23:59:59,225.14439258700259,c
2021-12-09 00:00:00,274.0110335373356,
2021-12-09 03:30:00,259.03774467420226,
2021-12-09 04:00:00,304.30671715617245,
2021-12-09 06:00:00,270.3606168414535,
2021-12-09 08:00:00,244.60855903601805,
2021-12-09 10:30:00,156.0668594538747,
2021-12-09 11:00:00,146.34012513965718,
2021-12-09 23:59:59,191.65119305275402,c
2021-12-10 00:00:00,137.84452243387932,
2021-12-10 03:30:00,122.2363226974594,
2021-12-10 04:00:00,111.40962249232325,
2021-12-10 06:00:00,64.98321185159875,
2021-12-10 08:00:00,79.09602357405129,
2021-12-10 10:30:00,69.40136623478975,
2021-12-10 11:00:00,31.125130572243506,
2021-12-10 23:59:59,0.0,a
2021-12-13 00:00:00,46.90231375596886,
2021-12-13 03:30:00,99.6979029807826,
2021-12-13 04:00:00,120.51457715636388,
2021-12-13 06:00:00,165.2325704351042,
2021-12-13 08:00:00,127.4349022592396,
2021-12-13 10:30:00,127.2515862393102,
2021-12-13 11:00:00,131.96340741273525,
2021-12-13 23:59:59,131.64725055883355,c
2021-12-14 00:00:00,127.96690331166974,
2021-12-14 03:30:00,194.7821454222376,
2021-12-14 04:00:00,211.6483599088424,
2021-12-14 06:00:00,192.3075594979,
2021-12-14 08:00:00,195.33650525009762,
2021-12-14 10:30:00,114.23831562729174,
2021-12-14 11:00:00,72.55754276884181,
2021-12-14 23:59:59,66.6899054651567,c
2021-12-15 00:00:00,106.85013218313179,
2021-12-15 03:30:00,149.82975380075004,
2021-12-15 04:00:00,157.1351867183439,
2021-12-15 06:00:00,193.26971217452956,
2021-12-15 08:00:00,162.108737648663,
2021-12-15 10:30:00,115.83574421352023,
2021-12-15 11:00:00,100.64875330517134,
2021-12-15 23:59:59,87.01595090084629,c
2021-12-16 00:00:00,207.00602275866004,
2021-12-16 03:30:00,281.370309321419,
2021-12-16 04:00:00,298.9338073484487,
2021-12-16 06:00:00,348.7964456439058,
2021-12-16 08:00:00,345.1447510163907,
2021-12-16 10:30:00,247.78703242584015,
2021-12-16 11:00:00,235.10210348707005,
2021-12-16 23:59:59,186.21377161353303,c
2021-12-17 00:00:00,129.2251018411298,
2021-12-17 03:30:00,169.95281454202996,
2021-12-17 04:00:00,152.86410086244177,
2021-12-17 06:00:00,135.24612007336873,
2021-12-17 08:00:00,166.45114152140923,
2021-12-17 10:30:00,175.8098334858114,
2021-12-17 11:00:00,247.49746371633773,
2021-12-17 23:59:59,264.2171030446407,e
2021-12-20 00:00:00,93.89685961251416,
2021-12-20 03:30:00,47.38321300500138,
2021-12-20 04:00:00,56.82704563043626,
2021-12-20 06:00:00,91.44878811571289,
2021-12-20 08:00:00,57.686900426579086,
2021-12-20 10:30:00,151.66652828443148,
2021-12-20 11:00:00,138.09589010592026,
2021-12-20 23:59:59,123.65115012401475,c
2021-12-21 00:00:00,191.0579969274113,
2021-12-21 03:30:00,114.27715049634935,
2021-12-21 04:00:00,81.5104816165167,
2021-12-21 06:00:00,190.94884077023562,
2021-12-21 08:00:00,219.1195579001378,
2021-12-21 10:30:00,185.1301108901407,
2021-12-21 11:00:00,201.9734086886565,
2021-12-21 23:59:59,199.11917211408218,c
2021-12-22 00:00:00,261.3861579496297,
2021-12-22 03:30:00,268.27532131280714,
2021-12-22 04:00:00,251.3778894380921,
2021-12-22 06:00:00,272.491922733152,
2021-12-22 08:00:00,308.6285847114832,
2021-12-22 10:30:00,334.1100327744789,
2021-12-22 11:00:00,364.69887799220123,
2021-12-22 23:59:59,360.71164923725155,c
2021-12-23 00:00:00,388.7997517391177,
2021-12-23 03:30:00,391.35521950468865,
2021-12-23 04:00:00,408.7106063831434,
2021-12-23 06:00:00,427.4660075698539,
2021-12-23 08:00:00,371.1330605374005,
2021-12-23 10:30:00,368.26035309222607,
2021-12-23 11:00:00,371.7442594927361,
2021-12-23 23:59:59,381.73437541467683,c
2021-12-24 00:00:00,385.2432521035189,
2021-12-24 03:30:00,387.7568119283369,
2021-12-24 04:00:00,390.79831189398647,
2021-12-24 06:00:00,388.223725148895,
2021-12-24 08:00:00,388.223725148895,
2021-12-24 10:30:00,388.223725148895,
2021-12-24 11:00:00,388.223725148895,
2021-12-24 23:59:59,397.873316644489,w
2021-12-27 00:00:00,372.3491777244599,
2021-12-27 03:30:00,363.3333187045773,
2021-12-27 04:00:00,344.86087564512127,
2021-12-27 06:00:00,383.21614323035647,
2021-12-27 08:00:00,299.3596743738035,
2021-12-27 10:30:00,302.48142831572477,
2021-12-27 11:00:00,300.7799850044139,
2021-12-27 23:59:59,286.1753914950732,c
2021-12-28 00:00:00,298.6919630409466,
2021-12-28 03:30:00,245.63007430670586,
2021-12-28 04:00:00,217.7551616689052,
2021-12-28 06:00:00,209.54641580977477,
2021-12-28 08:00:00,203.3463407238287,
2021-12-28 10:30:00,207.58844582841266,
2021-12-28 11:00:00,201.54749527680542,
2021-12-28 23:59:59,187.45389417429033,c
2021-12-29 00:00:00,175.0811270912418,
2021-12-29 03:30:00,174.5803606808622,
2021-12-29 04:00:00,126.0983237843102,
2021-12-29 06:00:00,83.14314186974661,
2021-12-29 08:00:00,70.26760519138224,
2021-12-29 10:30:00,84.05704511120166,
2021-12-29 11:00:00,94.60912758025916,
2021-12-29 23:59:59,103.6615862811559,c
2021-12-30 00:00:00,106.59355041748313,
2021-12-30 03:30:00,84.0398384730579,
2021-12-30 04:00:00,94.1908966452811,
2021-12-30 06:00:00,126.59814108629689,
2021-12-30 08:00:00,146.65367259091,
2021-12-30 10:30:00,224.3756888077496,
2021-12-30 11:00:00,225.31033388849391,
2021-12-30 23:59:59,207.24921161671773,c
2021-12-31 00:00:00,205.84627948850903,
2021-12-31 03:30:00,221.35456723910647,
2021-12-31 04:00:00,222.1098330332661,
2021-12-31 06:00:00,222.70629967105015,
2021-12-31 08:00:00,222.70629967105015,
2021-12-31 10:30:00,222.70629967105015,
2021-12-31 11:00:00,222.70629967105015,
2021-12-31 23:59:59,224.7913881444838,w
