date,MSCI_US_SC_STAY_2022_Q1,meta
2022-02-03 10:00:00,-74.74007476575318,
2022-02-03 10:30:00,-69.7506616108136,
2022-02-03 12:00:00,-91.79039780882032,
2022-02-03 13:30:00,-83.59352940147659,
2022-02-03 15:00:00,-95.19468288738557,
2022-02-03 15:30:30,-95.19468288738557,
2022-02-03 23:59:59,-92.60378450571447,c
2022-02-04 00:00:00,-65.17304440757401,
2022-02-04 10:00:00,-82.54306044000391,
2022-02-04 10:30:00,-53.03436016258156,
2022-02-04 12:00:00,-43.97474217421309,
2022-02-04 13:30:00,-40.52579975767166,
2022-02-04 15:00:00,-33.641150359990036,
2022-02-04 15:30:30,-33.641150359990036,
2022-02-04 23:59:59,-34.81127424664108,w
2022-02-07 00:00:00,-38.83664731622552,
2022-02-07 10:00:00,4.383188754789412,
2022-02-07 10:30:00,-7.76244824630651,
2022-02-07 12:00:00,-37.78541566230421,
2022-02-07 13:30:00,-25.26674310045513,
2022-02-07 15:00:00,-39.48789559163497,
2022-02-07 15:30:30,-39.48789559163497,
2022-02-07 23:59:59,-41.39699347877098,c
2022-02-08 00:00:00,-66.15608934370337,
2022-02-08 10:00:00,-79.32713655337322,
2022-02-08 10:30:00,-72.92251265738454,
2022-02-08 12:00:00,-50.84882130057491,
2022-02-08 13:30:00,-57.04456105922341,
2022-02-08 15:00:00,-47.95652463375394,
2022-02-08 15:30:30,-47.95652463375394,
2022-02-08 23:59:59,-44.856683515796014,c
2022-02-09 00:00:00,-18.174499468417665,
2022-02-09 10:00:00,-24.931014345353425,
2022-02-09 10:30:00,-17.849963700808985,
2022-02-09 12:00:00,-8.391086774179211,
2022-02-09 13:30:00,-1.5336715394080933,
2022-02-09 15:00:00,-8.680910561918752,
2022-02-09 15:30:30,-8.680910561918752,
2022-02-09 23:59:59,0.0,a
2022-02-10 00:00:00,-39.39352162874555,
2022-02-10 10:00:00,26.659771503445462,
2022-02-10 10:30:00,24.398418218066524,
2022-02-10 12:00:00,29.770924286864947,
2022-02-10 13:30:00,20.660574066754247,
2022-02-10 15:00:00,9.903187208352797,
2022-02-10 15:30:30,9.903187208352797,
2022-02-10 23:59:59,7.487555136587782,c
2022-02-11 00:00:00,10.660146912312532,
2022-02-11 10:00:00,13.252256829773351,
2022-02-11 10:30:00,13.367814815960559,
2022-02-11 12:00:00,-10.072448025622622,
2022-02-11 13:30:00,-2.320329291149415,
2022-02-11 15:00:00,-18.217513743318918,
2022-02-11 15:30:30,-18.217513743318918,
2022-02-11 23:59:59,-24.250019187243673,w
2022-02-14 00:00:00,-34.27700494929567,
2022-02-14 10:00:00,-22.05630081214907,
2022-02-14 10:30:00,-24.29405460566521,
2022-02-14 12:00:00,-26.241784916143644,
2022-02-14 13:30:00,-41.92587747126382,
2022-02-14 15:00:00,-51.203020387083974,
2022-02-14 15:30:30,-51.203020387083974,
2022-02-14 23:59:59,-57.34829612039669,c
0,-57.34829612039669,
0,-57.34829612039669,
0,-57.34829612039669,
0,-57.34829612039669,
0,-57.34829612039669,
0,-57.34829612039669,
0,-57.34829612039669,
0,-57.34829612039669,
0,-57.34829612039669,
0,-57.34829612039669,
0,-57.34829612039669,
0,-57.34829612039669,
0,-57.34829612039669,
0,-57.34829612039669,
0,-57.34829612039669,
0,-57.34829612039669,
0,-57.34829612039669,
0,-57.34829612039669,
0,-57.34829612039669,
0,-57.34829612039669,
0,-57.34829612039669,
0,-57.34829612039669,
0,-57.34829612039669,
0,-57.34829612039669,
2022-02-15 00:00:00,-29.961403431471695,
2022-02-15 10:00:00,8.306565547252271,
2022-02-15 10:30:00,-7.453957963075238,
2022-02-15 12:00:00,11.97841262360649,
2022-02-15 13:30:00,2.5056033505695003,
2022-02-15 15:00:00,21.17687768845306,
2022-02-15 15:30:30,21.17687768845306,
2022-02-15 23:59:59,24.09500692485041,c
2022-02-16 00:00:00,2.790143943155495,
2022-02-16 10:00:00,-12.803631679521198,
2022-02-16 10:30:00,-21.7610042416907,
2022-02-16 12:00:00,-1.6126382839293072,
2022-02-16 13:30:00,-2.116666684774561,
2022-02-16 15:00:00,-1.3517633765457528,
2022-02-16 15:30:30,-1.3517633765457528,
2022-02-16 23:59:59,2.453190013748248,c
2022-02-17 00:00:00,6.111685931161387,
2022-02-17 10:00:00,11.444938405185091,
2022-02-17 10:30:00,1.2915742668853234,
2022-02-17 12:00:00,-17.150438292341427,
2022-02-17 13:30:00,-25.910551214193447,
2022-02-17 15:00:00,-32.5217413315401,
2022-02-17 15:30:30,-32.5217413315401,
2022-02-17 23:59:59,-35.71464330106916,c
2022-02-18 00:00:00,-43.174266108306874,
2022-02-18 10:00:00,-51.873453497302236,
2022-02-18 10:30:00,-73.2834194022775,
2022-02-18 12:00:00,-61.06759521421155,
2022-02-18 13:30:00,-82.5660702798817,
2022-02-18 15:00:00,-66.77642508492153,
2022-02-18 15:30:30,-66.77642508492153,
2022-02-18 23:59:59,-81.9582602065693,w
2022-02-21 00:00:00,-81.9582602065693,
2022-02-21 10:00:00,-81.9582602065693,
2022-02-21 10:30:00,-81.9582602065693,
2022-02-21 12:00:00,-81.9582602065693,
2022-02-21 13:30:00,-81.9582602065693,
2022-02-21 15:00:00,-81.9582602065693,
2022-02-21 15:30:30,-81.9582602065693,
2022-02-21 23:59:59,-81.9582602065693,c
2022-02-22 00:00:00,-90.58287786999627,
2022-02-22 10:00:00,-78.34473766977622,
2022-02-22 10:30:00,-54.146231973336924,
2022-02-22 12:00:00,-77.33607698495113,
2022-02-22 13:30:00,-71.70422369918448,
2022-02-22 15:00:00,-53.908124108413226,
2022-02-22 15:30:30,-53.908124108413226,
2022-02-22 23:59:59,-62.52840204182489,c
2022-02-23 00:00:00,-113.65603511638732,
2022-02-23 10:00:00,-116.56140413023944,
2022-02-23 10:30:00,-126.74506879231255,
2022-02-23 12:00:00,-122.88302944244374,
2022-02-23 13:30:00,-130.0638913744529,
2022-02-23 15:00:00,-139.90859302322366,
2022-02-23 15:30:30,-139.90859302322366,
2022-02-23 23:59:59,-140.58408420018375,c
2022-02-24 00:00:00,-177.1882979531806,
2022-02-24 10:00:00,-134.4523966867833,
2022-02-24 10:30:00,-108.98650025557427,
2022-02-24 12:00:00,-93.3681510919545,
2022-02-24 13:30:00,-95.88996607955144,
2022-02-24 15:00:00,-88.23203287669314,
2022-02-24 15:30:30,-88.23203287669314,
2022-02-24 23:59:59,-75.47375441092721,c
2022-02-25 00:00:00,-64.64520782609321,
2022-02-25 10:00:00,-104.74902850855301,
2022-02-25 10:30:00,-109.79280641699613,
2022-02-25 12:00:00,-106.90014017550685,
2022-02-25 13:30:00,-116.56355126267762,
2022-02-25 15:00:00,-117.41125527410537,
2022-02-25 15:30:30,-117.41125527410537,
2022-02-25 23:59:59,-111.3132025849317,w
2022-02-28 00:00:00,-84.79116284191016,
2022-02-28 10:00:00,-102.99221592505342,
2022-02-28 10:30:00,-80.82090531734008,
2022-02-28 12:00:00,-82.82624511876332,
2022-02-28 13:30:00,-98.97589255008903,
2022-02-28 15:00:00,-98.48420988311891,
2022-02-28 15:30:30,-98.48420988311891,
2022-02-28 23:59:59,-88.07739529411641,e
2022-03-01 00:00:00,-59.570137285489125,
2022-03-01 10:00:00,-77.76470311430627,
2022-03-01 10:30:00,-45.91407587834277,
2022-03-01 12:00:00,-73.42006311537035,
2022-03-01 13:30:00,-59.10342598119249,
2022-03-01 15:00:00,-64.93323133670306,
2022-03-01 15:30:30,-64.93323133670306,
2022-03-01 23:59:59,-74.69998599084491,c
