date,BCHN_2022_Q2,meta
2022-04-29 23:59:59,-288.39955970589745,w
2022-05-02 00:00:00,-287.2779245629663,
2022-05-02 10:00:00,-116.03660191965173,
2022-05-02 10:30:00,-127.80038099640205,
2022-05-02 12:00:00,-97.31101740198665,
2022-05-02 13:30:00,-156.4013743937494,
2022-05-02 15:00:00,-99.21881403949283,
2022-05-02 15:30:30,-99.21881403949283,
2022-05-02 23:59:59,-74.28001121392572,c
2022-05-03 00:00:00,-141.69270310764296,
2022-05-03 10:00:00,-43.18471862577735,
2022-05-03 10:30:00,-90.84510297685483,
2022-05-03 12:00:00,-151.52338461470663,
2022-05-03 13:30:00,-169.59435012747872,
2022-05-03 15:00:00,-153.667296607372,
2022-05-03 15:30:30,-153.667296607372,
2022-05-03 23:59:59,-197.0020644258102,c
