date,CRSP_STAY_HEDGED_2021_Q4,meta
2021-12-06 15:00:00,10.970115990986073,
2021-12-06 15:30:30,10.970115990986073,
2021-12-06 23:59:59,9.588693540553663,c
2021-12-07 00:00:00,27.313632683405444,
2021-12-07 10:00:00,48.43534985515839,
2021-12-07 10:30:00,45.37896921050492,
2021-12-07 12:00:00,45.683395868869866,
2021-12-07 13:30:00,54.70813432639761,
2021-12-07 15:00:00,54.42294280315855,
2021-12-07 15:30:30,54.42294280315855,
2021-12-07 23:59:59,54.90007509383838,c
2021-12-08 00:00:00,52.06508375339797,
2021-12-08 10:00:00,44.26791262788652,
2021-12-08 10:30:00,53.45129294909327,
2021-12-08 12:00:00,67.36092102608495,
2021-12-08 13:30:00,68.99512563086421,
2021-12-08 15:00:00,72.11618701248972,
2021-12-08 15:30:30,72.11618701248972,
2021-12-08 23:59:59,70.70058610570663,c
2021-12-09 00:00:00,72.33801778688246,
2021-12-09 10:00:00,56.47199637710446,
2021-12-09 10:30:00,57.15654361311533,
2021-12-09 12:00:00,49.879527780264425,
2021-12-09 13:30:00,40.2311637415562,
2021-12-09 15:00:00,28.834111573920836,
2021-12-09 15:30:30,28.834111573920836,
2021-12-09 23:59:59,30.54569778765915,c
2021-12-10 00:00:00,12.602165107597898,
2021-12-10 10:00:00,8.604642229692786,
2021-12-10 10:30:00,23.77450357705311,
2021-12-10 12:00:00,7.524270687447256,
2021-12-10 13:30:00,8.300579325848844,
2021-12-10 15:00:00,2.6173222846855424,
2021-12-10 15:30:30,2.6173222846855424,
2021-12-10 23:59:59,4.076274841729173,w
2021-12-13 00:00:00,-3.3170713935817275,
2021-12-13 10:00:00,16.289303645309474,
2021-12-13 10:30:00,5.2390099789472515,
2021-12-13 12:00:00,-8.944543289697094,
2021-12-13 13:30:00,-6.952396600012548,
2021-12-13 15:00:00,-5.532679502867268,
2021-12-13 15:30:30,-5.532679502867268,
2021-12-13 23:59:59,-8.689703394683534,c
2021-12-14 00:00:00,-32.38444999686374,
2021-12-14 10:00:00,-45.7515973525675,
2021-12-14 10:30:00,-44.195794193326606,
2021-12-14 12:00:00,-60.19350959052156,
2021-12-14 13:30:00,-67.51097777668281,
2021-12-14 15:00:00,-61.300164376860835,
2021-12-14 15:30:30,-61.300164376860835,
2021-12-14 23:59:59,-58.87142318471888,c
2021-12-15 00:00:00,-64.16724790133105,
2021-12-15 10:00:00,-49.97077102238666,
2021-12-15 10:30:00,-48.201334841031326,
2021-12-15 12:00:00,-60.32558470321885,
2021-12-15 13:30:00,-61.37306655983025,
2021-12-15 15:00:00,-41.30389811545683,
2021-12-15 15:30:30,-41.30389811545683,
2021-12-15 23:59:59,-28.274981104627045,c
2021-12-16 00:00:00,-11.106980804322461,
2021-12-16 10:00:00,-11.45048328882524,
2021-12-16 10:30:00,-16.10822930770803,
2021-12-16 12:00:00,-59.76981702841499,
2021-12-16 13:30:00,-67.1235465556415,
2021-12-16 15:00:00,-91.74859466277496,
2021-12-16 15:30:30,-91.74859466277496,
2021-12-16 23:59:59,-81.27684739331869,c
2021-12-17 00:00:00,-92.94776302265853,
2021-12-17 10:00:00,-86.7568805648263,
2021-12-17 10:30:00,-83.01220267723636,
2021-12-17 12:00:00,-71.53825250651835,
2021-12-17 13:30:00,-66.10683729192715,
2021-12-17 15:00:00,-76.76212542407427,
2021-12-17 15:30:30,-76.76212542407427,
2021-12-17 23:59:59,-85.93866968297681,e
2021-12-20 00:00:00,-103.28248284312576,
2021-12-20 10:00:00,-87.78267303536268,
2021-12-20 10:30:00,-86.24495645126592,
2021-12-20 12:00:00,-90.82861137466966,
2021-12-20 13:30:00,-91.84471190797234,
2021-12-20 15:00:00,-88.27219526295119,
2021-12-20 15:30:30,-88.27219526295119,
2021-12-20 23:59:59,-96.33527732105375,c
2021-12-21 00:00:00,-88.84289626067681,
2021-12-21 10:00:00,-99.17551922269325,
2021-12-21 10:30:00,-86.91782874071112,
2021-12-21 12:00:00,-71.59220640741307,
2021-12-21 13:30:00,-60.616809612917336,
2021-12-21 15:00:00,-56.1397192068456,
2021-12-21 15:30:30,-56.1397192068456,
2021-12-21 23:59:59,-56.12745925523518,c
2021-12-22 00:00:00,-55.273284840599445,
2021-12-22 10:00:00,-47.803867230510264,
2021-12-22 10:30:00,-55.11486249454629,
2021-12-22 12:00:00,-40.42211226278971,
2021-12-22 13:30:00,-52.01794288032784,
2021-12-22 15:00:00,-45.14423356907639,
2021-12-22 15:30:30,-45.14423356907639,
2021-12-22 23:59:59,-39.00301506541439,c
2021-12-23 00:00:00,-37.7801417494677,
2021-12-23 10:00:00,-44.24319935354117,
2021-12-23 10:30:00,-47.14294199397864,
2021-12-23 12:00:00,-39.426376568225464,
2021-12-23 13:30:00,-31.57355153410799,
2021-12-23 15:00:00,-32.742857649844495,
2021-12-23 15:30:30,-32.742857649844495,
2021-12-23 23:59:59,-30.622344812784036,c
2021-12-24 00:00:00,-30.622344812784036,
2021-12-24 10:00:00,-30.622344812784036,
2021-12-24 10:30:00,-30.622344812784036,
2021-12-24 12:00:00,-30.622344812784036,
2021-12-24 13:30:00,-30.622344812784036,
2021-12-24 15:00:00,-30.622344812784036,
2021-12-24 15:30:30,-30.622344812784036,
2021-12-24 23:59:59,-30.622344812784036,w
2021-12-27 00:00:00,-19.45507690184263,
2021-12-27 10:00:00,-7.240753705942211,
2021-12-27 10:30:00,4.690687377037193,
2021-12-27 12:00:00,3.820673561725016,
2021-12-27 13:30:00,5.716851694015304,
2021-12-27 15:00:00,3.0741213872219078,
2021-12-27 15:30:30,3.0741213872219078,
2021-12-27 23:59:59,5.995781189934519,c
2021-12-28 00:00:00,7.19439335757113,
2021-12-28 10:00:00,-2.5709202444130597,
2021-12-28 10:30:00,-8.672242528794754,
2021-12-28 12:00:00,-11.888939807382599,
2021-12-28 13:30:00,-13.029683276538208,
2021-12-28 15:00:00,-12.256739465815144,
2021-12-28 15:30:30,-12.256739465815144,
2021-12-28 23:59:59,-9.838677987639585,c
2021-12-29 00:00:00,-6.221560764255969,
2021-12-29 10:00:00,-26.35757800117983,
2021-12-29 10:30:00,-23.607723388076693,
2021-12-29 12:00:00,-14.71735120189021,
2021-12-29 13:30:00,-10.192615949292417,
2021-12-29 15:00:00,-10.353806380039828,
2021-12-29 15:30:30,-10.353806380039828,
2021-12-29 23:59:59,-9.288421257752248,c
2021-12-30 00:00:00,-10.13228272176002,
2021-12-30 10:00:00,-5.406445636579065,
2021-12-30 10:30:00,-8.267999418107252,
2021-12-30 12:00:00,-1.4677957260324774,
2021-12-30 13:30:00,0.2271084756247319,
2021-12-30 15:00:00,-1.2869844288157992,
2021-12-30 15:30:30,-1.2869844288157992,
2021-12-30 23:59:59,-8.119052770408757,c
2021-12-31 00:00:00,-3.799106954768604,
2021-12-31 10:00:00,-4.0946382461646635,
2021-12-31 10:30:00,-5.208385503223781,
2021-12-31 12:00:00,-0.4190223614309616,
2021-12-31 13:30:00,0.2943336560501848,
2021-12-31 15:00:00,-3.6250169968524233,
2021-12-31 15:30:30,-3.6250169968524233,
2021-12-31 23:59:59,-6.4929941071023904,w
2022-01-03 00:00:00,1.317724850865602,
2022-01-03 10:00:00,-42.89735546485895,
2022-01-03 10:30:00,-42.239094987042904,
2022-01-03 12:00:00,-54.3745948937044,
2022-01-03 13:30:00,-57.47990426256911,
2022-01-03 15:00:00,-51.96275296636088,
2022-01-03 15:30:30,-51.96275296636088,
2022-01-03 23:59:59,-47.26608955574886,c
2022-01-04 00:00:00,-48.004824069015854,
2022-01-04 10:00:00,-76.68686347349399,
2022-01-04 10:30:00,-84.90190727881054,
2022-01-04 12:00:00,-95.23773804910905,
2022-01-04 13:30:00,-99.5692745130603,
2022-01-04 15:00:00,-93.22842735615097,
2022-01-04 15:30:30,-93.22842735615097,
2022-01-04 23:59:59,-87.18074428970112,c
2022-01-05 00:00:00,-108.15122716774982,
2022-01-05 10:00:00,-112.20130787806931,
2022-01-05 10:30:00,-116.51258856124127,
2022-01-05 12:00:00,-123.92186783658525,
2022-01-05 13:30:00,-127.52790816346032,
2022-01-05 15:00:00,-138.72254784337633,
2022-01-05 15:30:30,-138.72254784337633,
2022-01-05 23:59:59,-141.61311523315283,c
2022-01-06 00:00:00,-162.69076747485593,
2022-01-06 10:00:00,-167.7138393133285,
2022-01-06 10:30:00,-164.76540894456832,
2022-01-06 12:00:00,-152.72747813119418,
2022-01-06 13:30:00,-163.7527987267497,
2022-01-06 15:00:00,-158.9782094955056,
2022-01-06 15:30:30,-158.9782094955056,
2022-01-06 23:59:59,-167.98141040232645,c
2022-01-07 00:00:00,-169.25321995456164,
2022-01-07 10:00:00,-161.93442735773544,
2022-01-07 10:30:00,-182.1744407077088,
2022-01-07 12:00:00,-189.13950791399878,
2022-01-07 13:30:00,-186.8563499248034,
2022-01-07 15:00:00,-185.4764428412833,
2022-01-07 15:30:30,-185.4764428412833,
2022-01-07 23:59:59,-185.45152195163234,w
2022-01-10 00:00:00,-202.61005080903197,
2022-01-10 10:00:00,-215.00404118689187,
2022-01-10 10:30:00,-210.03131789769986,
2022-01-10 12:00:00,-209.76324325096266,
2022-01-10 13:30:00,-205.74735921073733,
2022-01-10 15:00:00,-186.11468699383005,
2022-01-10 15:30:30,-186.11468699383005,
2022-01-10 23:59:59,-180.17916120631998,c
2022-01-11 00:00:00,-183.33531357884232,
2022-01-11 10:00:00,-177.221287862495,
2022-01-11 10:30:00,-174.62577088224992,
2022-01-11 12:00:00,-162.35693292524178,
2022-01-11 13:30:00,-162.5608967366387,
2022-01-11 15:00:00,-163.42658496748248,
2022-01-11 15:30:30,-163.42658496748248,
2022-01-11 23:59:59,-163.67131140199086,c
2022-01-12 00:00:00,-146.718773110482,
2022-01-12 10:00:00,-150.95377793451547,
2022-01-12 10:30:00,-146.7205392936262,
2022-01-12 12:00:00,-159.39480473194902,
2022-01-12 13:30:00,-153.78630317260712,
2022-01-12 15:00:00,-157.82082046159553,
2022-01-12 15:30:30,-157.82082046159553,
2022-01-12 23:59:59,-159.91394277230228,c
2022-01-13 00:00:00,-161.15139267763158,
2022-01-13 10:00:00,-182.32473543534758,
2022-01-13 10:30:00,-198.27851710707887,
2022-01-13 12:00:00,-212.84169744752631,
2022-01-13 13:30:00,-221.26067056951274,
2022-01-13 15:00:00,-224.44687174837236,
2022-01-13 15:30:30,-224.44687174837236,
2022-01-13 23:59:59,-234.25397695918633,c
2022-01-14 00:00:00,-247.87131834619305,
2022-01-14 10:00:00,-243.76650256708388,
2022-01-14 10:30:00,-253.67945984326678,
2022-01-14 12:00:00,-261.0776969746272,
2022-01-14 13:30:00,-266.7053072298366,
2022-01-14 15:00:00,-264.84383567870213,
2022-01-14 15:30:30,-264.84383567870213,
2022-01-14 23:59:59,-260.07783705582716,w
