date,AS_MSCI_EM_REST_SC_2022_Q4,meta
2022-11-01 01:00:00,141.56669163920952,
2022-11-01 02:30:00,141.56669163920952,
2022-11-01 03:00:00,94.04278734306502,
2022-11-01 18:30:00,94.04278734306502,
2022-11-01 20:00:00,94.04278734306502,
2022-11-01 23:00:00,133.90641787329133,
2022-11-01 23:59:59,143.9915231394093,c
2022-11-02 00:00:00,166.57954625739478,
2022-11-02 01:00:00,149.37085569220955,
2022-11-02 02:30:00,149.37085569220955,
2022-11-02 03:00:00,162.62843287467564,
2022-11-02 18:30:00,162.62843287467564,
2022-11-02 20:00:00,162.62843287467564,
2022-11-02 23:00:00,141.9566109666486,
2022-11-02 23:59:59,139.35853585891527,c
2022-11-03 00:00:00,165.82609450897377,
2022-11-03 01:00:00,170.27169679784072,
2022-11-03 02:30:00,170.27169679784072,
2022-11-03 03:00:00,174.948455862274,
2022-11-03 18:30:00,174.948455862274,
2022-11-03 20:00:00,174.948455862274,
2022-11-03 23:00:00,143.21803997516633,
2022-11-03 23:59:59,147.2141439317973,c
2022-11-04 00:00:00,167.3780244246173,
2022-11-04 01:00:00,168.69192785334633,
2022-11-04 02:30:00,168.69192785334633,
2022-11-04 03:00:00,166.71039928154642,
2022-11-04 18:30:00,166.71039928154642,
2022-11-04 20:00:00,166.71039928154642,
2022-11-04 23:00:00,166.71039928154642,
2022-11-04 23:59:59,180.69785000637495,w
2022-11-07 00:00:00,145.3240139376001,
2022-11-07 01:00:00,108.85970151260926,
2022-11-07 02:30:00,116.65481830024589,
2022-11-07 03:00:00,102.86013988621863,
2022-11-07 18:30:00,102.86013988621863,
2022-11-07 20:00:00,103.2728327952006,
2022-11-07 23:00:00,88.73564039964623,
2022-11-07 23:59:59,99.69315011378933,c
2022-11-08 00:00:00,92.41716793777653,
2022-11-08 01:00:00,88.61908618509005,
2022-11-08 02:30:00,75.24351147936835,
2022-11-08 03:00:00,78.3813841157405,
2022-11-08 18:30:00,78.3813841157405,
2022-11-08 20:00:00,33.624066709615136,
2022-11-08 23:00:00,28.73116171032018,
2022-11-08 23:59:59,46.122787486182915,c
2022-11-09 00:00:00,48.351992230862834,
2022-11-09 01:00:00,50.82044406649527,
2022-11-09 02:30:00,62.227650160677115,
2022-11-09 03:00:00,55.20548413943777,
2022-11-09 18:30:00,55.20548413943777,
2022-11-09 20:00:00,37.047282849953035,
2022-11-09 23:00:00,59.43679468609156,
2022-11-09 23:59:59,42.668022198651784,c
2022-11-10 00:00:00,35.48538677101584,
2022-11-10 01:00:00,44.12507769311037,
2022-11-10 02:30:00,78.80596279455034,
2022-11-10 03:00:00,80.57120296077096,
2022-11-10 18:30:00,80.57120296077096,
2022-11-10 20:00:00,42.091399014292165,
2022-11-10 23:00:00,13.49561073820712,
2022-11-10 23:59:59,0.0,a
2022-11-11 00:00:00,20.734399147124066,
2022-11-11 01:00:00,-22.547087727524683,
2022-11-11 02:30:00,3.3622180406111397,
2022-11-11 03:00:00,-3.4732304453143,
2022-11-11 18:30:00,-3.4732304453143,
2022-11-11 20:00:00,-3.4732304453143,
2022-11-11 23:00:00,-3.4732304453143,
2022-11-11 23:59:59,48.464217648320414,w
2022-11-14 00:00:00,100.2630361455715,
2022-11-14 01:00:00,115.61563010697768,
2022-11-14 02:30:00,78.15255180205713,
2022-11-14 03:00:00,80.6316981591794,
2022-11-14 18:30:00,80.6316981591794,
2022-11-14 20:00:00,82.19640367613152,
2022-11-14 23:00:00,50.47539169674428,
2022-11-14 23:59:59,9.405905640363017,c
2022-11-15 00:00:00,-5.052302027242547,
2022-11-15 01:00:00,-3.514815969748554,
2022-11-15 02:30:00,-1.9386885410414152,
2022-11-15 03:00:00,-3.2927522904491866,
2022-11-15 18:30:00,-3.2927522904491866,
2022-11-15 20:00:00,95.64352250060028,
2022-11-15 23:00:00,-10.280431851479705,
2022-11-15 23:59:59,26.290802025250855,c
0,26.290802025250855,
0,26.290802025250855,
0,26.290802025250855,
0,26.290802025250855,
0,26.290802025250855,
0,26.290802025250855,
0,26.290802025250855,
0,26.290802025250855,
0,26.290802025250855,
0,26.290802025250855,
0,26.290802025250855,
0,26.290802025250855,
0,26.290802025250855,
0,26.290802025250855,
0,26.290802025250855,
0,26.290802025250855,
2022-11-16 00:00:00,42.4068551877686,
2022-11-16 01:00:00,22.26818917285715,
2022-11-16 02:30:00,38.004396754461766,
2022-11-16 03:00:00,36.60099145974783,
2022-11-16 18:30:00,36.60099145974783,
2022-11-16 20:00:00,36.60099145974783,
2022-11-16 23:00:00,104.243857586523,
2022-11-16 23:59:59,103.2179297979784,c
2022-11-17 00:00:00,112.24940288799252,
2022-11-17 01:00:00,105.70868785952109,
2022-11-17 02:30:00,108.761183188026,
2022-11-17 03:00:00,110.80396952000388,
2022-11-17 18:30:00,110.80396952000388,
2022-11-17 20:00:00,71.5976817285756,
2022-11-17 23:00:00,79.62194869144582,
2022-11-17 23:59:59,93.4295305608544,c
2022-11-18 00:00:00,95.90367340838583,
2022-11-18 01:00:00,94.94419052468385,
2022-11-18 02:30:00,109.16029003445294,
2022-11-18 03:00:00,101.52992438115768,
2022-11-18 18:30:00,101.52992438115768,
2022-11-18 20:00:00,101.52992438115768,
2022-11-18 23:00:00,101.52992438115768,
