date,VYM_HEDGED_2021_Q1,meta
2021-02-19 15:00:00,168.71226047845403,
2021-02-19 15:30:30,168.71226047845403,
2021-02-19 23:59:59,168.52729721410014,w
2021-02-22 00:00:00,167.87022926551072,
2021-02-22 10:00:00,134.61591829909503,
2021-02-22 10:30:00,142.76041974811528,
2021-02-22 12:00:00,165.65624334662994,
2021-02-22 13:30:00,166.17402376014115,
2021-02-22 15:00:00,162.9810493238524,
2021-02-22 15:30:30,162.9810493238524,
2021-02-22 23:59:59,150.82433487760636,c
2021-02-23 00:00:00,108.24503236681039,
2021-02-23 10:00:00,34.31092229086016,
2021-02-23 10:30:00,30.833555279019038,
2021-02-23 12:00:00,59.99023168794997,
2021-02-23 13:30:00,82.08368735000636,
2021-02-23 15:00:00,99.71837889759581,
2021-02-23 15:30:30,99.71837889759581,
2021-02-23 23:59:59,88.76206133882465,c
2021-02-24 00:00:00,80.37161362817369,
2021-02-24 10:00:00,17.495134359609438,
2021-02-24 10:30:00,11.769733124133381,
2021-02-24 12:00:00,1.3811457310102924,
2021-02-24 13:30:00,40.41022823348476,
2021-02-24 15:00:00,35.02742788625392,
2021-02-24 15:30:30,35.02742788625392,
2021-02-24 23:59:59,29.226352827248547,c
2021-02-25 00:00:00,28.405631354100933,
2021-02-25 10:00:00,26.57001063619964,
2021-02-25 10:30:00,26.389836282912256,
2021-02-25 12:00:00,25.19807727403895,
2021-02-25 13:30:00,12.170797657476442,
2021-02-25 15:00:00,9.415768620308427,
2021-02-25 15:30:30,9.415768620308427,
2021-02-25 23:59:59,5.912533686087727,c
2021-02-26 00:00:00,17.093863633403544,
2021-02-26 10:00:00,13.812495143339447,
2021-02-26 10:30:00,1.9866769611460313,
2021-02-26 12:00:00,4.723611576062922,
2021-02-26 13:30:00,-4.431836464493017,
2021-02-26 15:00:00,2.9076370773955205,
2021-02-26 15:30:30,2.9076370773955205,s
2021-02-26 23:59:59,0.8388893930930408,w
2021-03-01 00:00:00,5.0005404967444065,
2021-03-01 10:00:00,-13.12765328175874,
2021-03-01 10:30:00,-10.78036698852975,
2021-03-01 12:00:00,-1.3751294957833124,
2021-03-01 13:30:00,-8.209490417514871,
2021-03-01 15:00:00,1.7633298691805521,
2021-03-01 15:30:30,1.7633298691805521,
2021-03-01 23:59:59,-1.9127117078664924,c
2021-03-02 00:00:00,-6.500337131193646,
2021-03-02 10:00:00,-10.522590918039441,
2021-03-02 10:30:00,-2.113412913377033,
2021-03-02 12:00:00,-1.982365539199236,
2021-03-02 13:30:00,7.8459844770661675,
2021-03-02 15:00:00,10.604997097256273,
2021-03-02 15:30:30,10.604997097256273,
2021-03-02 23:59:59,8.231347935467511,c
2021-03-03 00:00:00,2.080986879907641,
2021-03-03 10:00:00,-13.038817516081735,
2021-03-03 10:30:00,-12.585790017219551,
2021-03-03 12:00:00,-20.650474302789917,
2021-03-03 13:30:00,-19.881750997831887,
2021-03-03 15:00:00,-17.16956982572151,
2021-03-03 15:30:30,-17.16956982572151,
2021-03-03 23:59:59,-13.651413002687605,c
2021-03-04 00:00:00,-12.733798837423137,
2021-03-04 10:00:00,-35.26314875949129,
2021-03-04 10:30:00,-22.692546748532095,
2021-03-04 12:00:00,6.860430847544876,
2021-03-04 13:30:00,-5.056327881649395,
2021-03-04 15:00:00,-9.879120705473042,
2021-03-04 15:30:30,-9.879120705473042,
2021-03-04 23:59:59,-12.76583808455166,c
2021-03-05 00:00:00,-4.344870464733276,
2021-03-05 10:00:00,-39.64093494480608,
2021-03-05 10:30:00,-41.26542448173859,
2021-03-05 12:00:00,-24.80967488948272,
2021-03-05 13:30:00,-9.852882908621723,
2021-03-05 15:00:00,-1.6912248052460654,
2021-03-05 15:30:30,-1.6912248052460654,
2021-03-05 23:59:59,0.0,a
2021-03-08 00:00:00,-9.989854036766474,
2021-03-08 10:00:00,15.516663178084173,
2021-03-08 10:30:00,31.024157206234577,
2021-03-08 12:00:00,17.436160232432258,
2021-03-08 13:30:00,28.415563031295733,
2021-03-08 15:00:00,46.084609608701385,
2021-03-08 15:30:30,46.084609608701385,
2021-03-08 23:59:59,30.8337704918049,c
2021-03-09 00:00:00,54.82896552806187,
2021-03-09 10:00:00,66.269551232519,
2021-03-09 10:30:00,83.67227816332388,
2021-03-09 12:00:00,88.70667926764554,
2021-03-09 13:30:00,87.95039050314426,
2021-03-09 15:00:00,94.62608804491379,
2021-03-09 15:30:30,94.62608804491379,
2021-03-09 23:59:59,80.2370074630312,c
2021-03-10 00:00:00,90.50068460974285,
2021-03-10 10:00:00,91.64692376664266,
2021-03-10 10:30:00,90.19537526738691,
2021-03-10 12:00:00,99.17363446267973,
2021-03-10 13:30:00,103.57392224126647,
2021-03-10 15:00:00,114.17489646110221,
2021-03-10 15:30:30,114.17489646110221,
2021-03-10 23:59:59,97.91961932049344,c
2021-03-11 00:00:00,103.15599882463039,
2021-03-11 10:00:00,107.08558214925574,
2021-03-11 10:30:00,114.75494671233355,
2021-03-11 12:00:00,91.81933746153618,
2021-03-11 13:30:00,106.73938654516496,
2021-03-11 15:00:00,120.66690919618713,
2021-03-11 15:30:30,120.66690919618713,
2021-03-11 23:59:59,118.95144285202446,c
2021-03-12 00:00:00,105.56887388738778,
2021-03-12 10:00:00,133.85818706606665,
2021-03-12 10:30:00,131.9699408167396,
2021-03-12 12:00:00,149.63216318206287,
2021-03-12 13:30:00,152.4491999819761,
2021-03-12 15:00:00,151.91980048287337,
2021-03-12 15:30:30,151.91980048287337,
2021-03-12 23:59:59,150.801291261281,w
2021-03-15 00:00:00,168.22732928558753,
2021-03-15 10:00:00,215.7569895174829,
2021-03-15 10:30:00,211.98408997428783,
2021-03-15 12:00:00,226.0531297412033,
2021-03-15 13:30:00,224.43339132203164,
2021-03-15 15:00:00,223.06329216569338,
2021-03-15 15:30:30,223.06329216569338,
2021-03-15 23:59:59,221.86891839304758,c
2021-03-16 00:00:00,225.84266091952554,
2021-03-16 10:00:00,230.25698183938857,
2021-03-16 10:30:00,224.49973432469073,
2021-03-16 12:00:00,242.98750942969173,
2021-03-16 13:30:00,247.81297809623948,
2021-03-16 15:00:00,240.40196300310095,
2021-03-16 15:30:30,240.40196300310095,
2021-03-16 23:59:59,236.35360089850155,c
2021-03-17 00:00:00,241.78305428588055,
2021-03-17 10:00:00,256.4658446704959,
2021-03-17 10:30:00,248.8381274484309,
2021-03-17 12:00:00,242.50190237101788,
2021-03-17 13:30:00,239.49225518815592,
2021-03-17 15:00:00,234.6634593069366,
2021-03-17 15:30:30,234.6634593069366,
2021-03-17 23:59:59,227.63349592570148,c
2021-03-18 00:00:00,223.3779509407118,
2021-03-18 10:00:00,223.0136177747529,
2021-03-18 10:30:00,231.57108821529096,
2021-03-18 12:00:00,276.3237662614638,
2021-03-18 13:30:00,262.03282901322723,
2021-03-18 15:00:00,265.92290037485895,
2021-03-18 15:30:30,265.92290037485895,
2021-03-18 23:59:59,260.29151465613086,c
2021-03-19 00:00:00,268.20555857003797,
2021-03-19 10:00:00,260.7593404163663,
