date,MSCI_US_AD_HEDGED_2020_Q4,meta
2020-11-11 12:00:00,79.97740084048283,
2020-11-11 13:30:00,72.8212047188093,
2020-11-11 15:00:00,76.26322341484885,
2020-11-11 15:30:30,76.26322341484885,
2020-11-11 23:59:59,74.46503828539912,c
2020-11-12 00:00:00,-5.542789135864297,
2020-11-12 10:00:00,-20.232971302798916,
2020-11-12 10:30:00,-57.13811819969703,
2020-11-12 12:00:00,-27.433864747567355,
2020-11-12 13:30:00,4.244970891642282,
2020-11-12 15:00:00,21.468781316141673,
2020-11-12 15:30:30,21.468781316141673,
2020-11-12 23:59:59,20.568836030573095,c
2020-11-13 00:00:00,87.40986413853923,
2020-11-13 10:00:00,40.81505053978324,
2020-11-13 10:30:00,78.47888979631304,
2020-11-13 12:00:00,43.71562610128288,
2020-11-13 13:30:00,82.84464352780432,
2020-11-13 15:00:00,72.44412960904728,
2020-11-13 15:30:30,72.44412960904728,
2020-11-13 23:59:59,56.485193507889505,w
0,56.485193507889505,
0,56.485193507889505,
0,56.485193507889505,
0,56.485193507889505,
0,56.485193507889505,
0,56.485193507889505,
0,56.485193507889505,
0,56.485193507889505,
0,56.485193507889505,
0,56.485193507889505,
0,56.485193507889505,
0,56.485193507889505,
0,56.485193507889505,
0,56.485193507889505,
0,56.485193507889505,
0,56.485193507889505,
2020-11-16 00:00:00,-10.659368631486643,
2020-11-16 10:00:00,41.12752847915323,
2020-11-16 10:30:00,27.660398060191483,
2020-11-16 12:00:00,19.259862111016133,
2020-11-16 13:30:00,24.483081839346227,
2020-11-16 15:00:00,57.13590902215961,
2020-11-16 15:30:30,57.13590902215961,
2020-11-16 23:59:59,59.98330661780582,c
2020-11-17 00:00:00,59.200785504070524,
2020-11-17 10:00:00,43.580241629493855,
2020-11-17 10:30:00,60.660617297144256,
2020-11-17 12:00:00,55.87748195550384,
2020-11-17 13:30:00,85.12572742632224,
2020-11-17 15:00:00,91.41568539387512,
2020-11-17 15:30:30,91.41568539387512,
2020-11-17 23:59:59,91.12411449429621,c
2020-11-18 00:00:00,99.5354672859813,
2020-11-18 10:00:00,109.21059164006667,
2020-11-18 10:30:00,131.53016469335685,
2020-11-18 12:00:00,125.27234357278039,
2020-11-18 13:30:00,108.08566534177552,
2020-11-18 15:00:00,102.62592996973805,
2020-11-18 15:30:30,102.62592996973805,
2020-11-18 23:59:59,104.27713024745518,c
2020-11-19 00:00:00,99.8722545724012,
2020-11-19 10:00:00,101.41429761570654,
2020-11-19 10:30:00,93.05112234814348,
2020-11-19 12:00:00,63.34539996895691,
2020-11-19 13:30:00,73.71990218272597,
2020-11-19 15:00:00,55.39921857871005,
2020-11-19 15:30:30,55.39921857871005,
2020-11-19 23:59:59,64.06832096972053,c
2020-11-20 00:00:00,63.7400532658468,
2020-11-20 10:00:00,53.08078469522249,
2020-11-20 10:30:00,37.131761518362595,
2020-11-20 12:00:00,44.16202201135951,
2020-11-20 13:30:00,27.0583405732923,
2020-11-20 15:00:00,22.973885551376128,
2020-11-20 15:30:30,22.973885551376128,
2020-11-20 23:59:59,33.60670226037033,w
2020-11-23 00:00:00,10.498758893861151,
2020-11-23 10:00:00,-4.944300851326858,
2020-11-23 10:30:00,2.303210874285355,
2020-11-23 12:00:00,-1.745699579521613,
2020-11-23 13:30:00,0.17989082521714295,
2020-11-23 15:00:00,8.203343625294877,
2020-11-23 15:30:30,8.203343625294877,
2020-11-23 23:59:59,-2.2822687541364246,c
2020-11-24 00:00:00,-26.34960846151381,
2020-11-24 10:00:00,15.974852004743866,
2020-11-24 10:30:00,49.28679528452142,
2020-11-24 12:00:00,-5.06124343750875,
2020-11-24 13:30:00,-35.02267690431421,
2020-11-24 15:00:00,-33.59395191557769,
2020-11-24 15:30:30,-33.59395191557769,
2020-11-24 23:59:59,-52.192224821281826,c
2020-11-25 00:00:00,-44.31398752928982,
2020-11-25 10:00:00,-0.6396880041998543,
2020-11-25 10:30:00,41.10971471975523,
2020-11-25 12:00:00,-2.122095007757963,
2020-11-25 13:30:00,-15.82855381206798,
2020-11-25 15:00:00,-4.929176905438425,
2020-11-25 15:30:30,-4.929176905438425,
2020-11-25 23:59:59,-5.209595938171333,c
2020-11-26 00:00:00,-5.209595938171333,
2020-11-26 10:00:00,-5.209595938171333,
2020-11-26 10:30:00,-5.209595938171333,
2020-11-26 12:00:00,-5.209595938171333,
2020-11-26 13:30:00,-5.209595938171333,
2020-11-26 15:00:00,-5.209595938171333,
2020-11-26 15:30:30,-5.209595938171333,
2020-11-26 23:59:59,-5.209595938171333,c
2020-11-27 00:00:00,12.383565244895891,
2020-11-27 10:00:00,135.87994764986811,
2020-11-27 10:30:00,108.21814488872084,
2020-11-27 12:00:00,110.71581571083468,
2020-11-27 13:30:00,110.71581571083468,
2020-11-27 15:00:00,110.71581571083468,
2020-11-27 15:30:30,110.71581571083468,
2020-11-27 23:59:59,151.15180963649377,w
2020-11-30 00:00:00,119.98263575325828,
2020-11-30 10:00:00,115.63094198572415,
2020-11-30 10:30:00,83.78053283358716,
2020-11-30 12:00:00,108.45590965875473,
2020-11-30 13:30:00,94.8663725004001,
2020-11-30 15:00:00,106.67601333465589,
2020-11-30 15:30:30,106.67601333465589,
2020-11-30 23:59:59,128.74479637403996,e
2020-12-01 00:00:00,119.26905294435542,
2020-12-01 10:00:00,145.298461257325,
2020-12-01 10:30:00,120.68542775937456,
2020-12-01 12:00:00,98.88888966560384,
2020-12-01 13:30:00,85.74595152146978,
2020-12-01 15:00:00,100.62909483432136,
2020-12-01 15:30:30,100.62909483432136,
2020-12-01 23:59:59,101.5871414096151,c
2020-12-02 00:00:00,111.01022279371946,
2020-12-02 10:00:00,22.264358366844874,
2020-12-02 10:30:00,48.208358391900504,
2020-12-02 12:00:00,0.3026029452929606,
2020-12-02 13:30:00,9.839085949757816,
2020-12-02 15:00:00,29.49517550296366,
2020-12-02 15:30:30,29.49517550296366,
2020-12-02 23:59:59,31.03603031091319,c
2020-12-03 00:00:00,42.44995790606757,
2020-12-03 10:00:00,52.28949690293996,
2020-12-03 10:30:00,53.38568537186234,
2020-12-03 12:00:00,45.350555657578326,
2020-12-03 13:30:00,24.126708981435712,
2020-12-03 15:00:00,27.526350246226514,
2020-12-03 15:30:30,27.526350246226514,
2020-12-03 23:59:59,19.674451491112734,c
2020-12-04 00:00:00,-1.6980941392450006,
2020-12-04 10:00:00,39.36995410523389,
2020-12-04 10:30:00,64.15627404284314,
2020-12-04 12:00:00,69.54676768540307,
2020-12-04 13:30:00,60.108724653581106,
2020-12-04 15:00:00,52.91375440524422,
2020-12-04 15:30:30,52.91375440524422,
2020-12-04 23:59:59,59.54848370796094,w
2020-12-07 00:00:00,82.83382832541591,
2020-12-07 10:00:00,106.241584674672,
2020-12-07 10:30:00,134.42452777004715,
2020-12-07 12:00:00,118.18087530612925,
2020-12-07 13:30:00,147.44072266318219,
2020-12-07 15:00:00,137.44361891773272,
2020-12-07 15:30:30,137.44361891773272,
2020-12-07 23:59:59,141.42371204200194,c
2020-12-08 00:00:00,147.5670791551959,
2020-12-08 10:00:00,139.4788800290094,
2020-12-08 10:30:00,120.73501593858074,
2020-12-08 12:00:00,190.5329340439704,
2020-12-08 13:30:00,208.28457770503294,
2020-12-08 15:00:00,228.9776915446691,
2020-12-08 15:30:30,228.9776915446691,
2020-12-08 23:59:59,227.83645097809645,c
2020-12-09 00:00:00,171.6695318661596,
2020-12-09 10:00:00,162.8803127141057,
2020-12-09 10:30:00,169.06561894895478,
2020-12-09 12:00:00,248.68363257687068,
2020-12-09 13:30:00,165.41891752990486,
2020-12-09 15:00:00,174.92974733741298,
2020-12-09 15:30:30,174.92974733741298,
2020-12-09 23:59:59,173.0636835769968,c
2020-12-10 00:00:00,176.6421666392893,
2020-12-10 10:00:00,228.5099408195217,
2020-12-10 10:30:00,261.20709425432267,
2020-12-10 12:00:00,265.84072051530666,
2020-12-10 13:30:00,298.95305673236874,
2020-12-10 15:00:00,323.2412426364381,
2020-12-10 15:30:30,323.2412426364381,
2020-12-10 23:59:59,279.32391268523384,c
2020-12-11 00:00:00,256.7230027028778,
2020-12-11 10:00:00,293.406903707231,
2020-12-11 10:30:00,278.5416440006643,
2020-12-11 12:00:00,265.4533193931975,
2020-12-11 13:30:00,263.97392570061834,
2020-12-11 15:00:00,270.73790211468133,
2020-12-11 15:30:30,270.73790211468133,
2020-12-11 23:59:59,271.7290469500996,w
2020-12-14 00:00:00,283.80173328612875,
2020-12-14 10:00:00,347.1739571595316,
2020-12-14 10:30:00,345.9270835807896,
2020-12-14 12:00:00,347.0680486577894,
2020-12-14 13:30:00,306.0174008921359,
2020-12-14 15:00:00,311.9188637093564,
2020-12-14 15:30:30,311.9188637093564,
2020-12-14 23:59:59,322.10342111938553,c
2020-12-15 00:00:00,314.9975890849214,
2020-12-15 10:00:00,315.9011645161619,
2020-12-15 10:30:00,356.11541021041194,
2020-12-15 12:00:00,366.1487045872515,
2020-12-15 13:30:00,349.66956862490406,
2020-12-15 15:00:00,318.8317072931195,
2020-12-15 15:30:30,318.8317072931195,
2020-12-15 23:59:59,326.5120716735139,c
2020-12-16 00:00:00,367.6849330141771,
2020-12-16 10:00:00,361.4162443117401,
2020-12-16 10:30:00,320.61195824497077,
2020-12-16 12:00:00,290.1669494384264,
2020-12-16 13:30:00,321.7296030926276,
2020-12-16 15:00:00,342.28789333205964,
2020-12-16 15:30:30,342.28789333205964,
2020-12-16 23:59:59,364.45174821793194,c
2020-12-17 00:00:00,375.0406901576598,
2020-12-17 10:00:00,363.6971335043311,
2020-12-17 10:30:00,377.061412305962,
2020-12-17 12:00:00,351.15333438750076,
2020-12-17 13:30:00,365.9692103889545,
2020-12-17 15:00:00,382.1972258575114,
2020-12-17 15:30:30,382.1972258575114,
2020-12-17 23:59:59,384.257353502418,c
2020-12-18 00:00:00,397.65722720823476,
2020-12-18 10:00:00,425.6118915658934,
2020-12-18 10:30:00,423.608460655905,
2020-12-18 12:00:00,334.3749302046358,
2020-12-18 13:30:00,325.21314677091755,
2020-12-18 15:00:00,328.52575325855923,
2020-12-18 15:30:30,328.52575325855923,x
2020-12-18 23:59:59,336.3699388117051,w
2020-12-21 00:00:00,293.31864793441036,
2020-12-21 10:00:00,382.8939530812912,
2020-12-21 10:30:00,378.662373653366,
2020-12-21 12:00:00,379.05800904170417,
2020-12-21 13:30:00,359.91208174026997,
2020-12-21 15:00:00,413.6343790375055,
2020-12-21 15:30:30,413.6343790375055,
2020-12-21 23:59:59,436.97288353891463,c
