date,AS_MSCI_EM_HK_MIG_2022_Q3,meta
2022-08-30 02:30:00,-1216.8353297127564,
2022-08-30 03:00:00,-1148.8406082782628,
2022-08-30 18:30:00,-1148.8406082782628,
2022-08-30 20:00:00,-1148.8406082782628,
2022-08-30 23:00:00,-423.8428180971699,
2022-08-30 23:59:59,-564.7931497056895,c
2022-08-31 00:00:00,-528.0223680298045,
2022-08-31 01:00:00,-528.0223680298045,
2022-08-31 02:30:00,-633.7723002287657,
2022-08-31 03:00:00,-616.1675181663994,
2022-08-31 18:30:00,-616.1675181663994,
2022-08-31 20:00:00,-616.1675181663994,
2022-08-31 23:00:00,-1031.380795113791,
2022-08-31 23:59:59,-1152.258264865132,e
2022-09-01 00:00:00,-1206.9846790506358,
2022-09-01 01:00:00,-1206.9846790506358,
2022-09-01 02:30:00,-1115.6816521617166,
2022-09-01 03:00:00,-968.1521276530061,
2022-09-01 18:30:00,-968.1521276530061,
2022-09-01 20:00:00,-968.1521276530061,
2022-09-01 23:00:00,-587.2327316383654,
2022-09-01 23:59:59,-548.9845496793706,c
2022-09-02 00:00:00,-594.144842420596,
2022-09-02 01:00:00,-594.144842420596,
2022-09-02 02:30:00,-531.0447623960579,
2022-09-02 03:00:00,-544.4310696504582,
2022-09-02 18:30:00,-544.4310696504582,
2022-09-02 20:00:00,-544.4310696504582,
2022-09-02 23:00:00,-544.4310696504582,
2022-09-02 23:59:59,-481.3413819089816,w
2022-09-05 00:00:00,-347.1135772762668,
2022-09-05 01:00:00,-347.1135772762668,
2022-09-05 02:30:00,-335.74920395639924,
2022-09-05 03:00:00,-414.7069120910438,
2022-09-05 18:30:00,-414.7069120910438,
2022-09-05 20:00:00,-414.7069120910438,
2022-09-05 23:00:00,-517.5451292035254,
2022-09-05 23:59:59,-483.18119815706103,c
2022-09-06 00:00:00,-512.5065971918539,
2022-09-06 01:00:00,-512.5065971918539,
2022-09-06 02:30:00,-557.8115277278932,
2022-09-06 03:00:00,-569.2577072008224,
2022-09-06 18:30:00,-569.2577072008224,
2022-09-06 20:00:00,-569.2577072008224,
2022-09-06 23:00:00,-221.48301749610334,
2022-09-06 23:59:59,-302.7966712680964,c
2022-09-07 00:00:00,-254.01972098526733,
2022-09-07 01:00:00,-254.01972098526733,
2022-09-07 02:30:00,-323.0774906735037,
2022-09-07 03:00:00,-357.4753916674206,
2022-09-07 18:30:00,-357.4753916674206,
2022-09-07 20:00:00,-357.4753916674206,
2022-09-07 23:00:00,-174.1315360427115,
2022-09-07 23:59:59,-197.05681580426156,c
2022-09-08 00:00:00,-208.3423287994639,
2022-09-08 01:00:00,-208.3423287994639,
2022-09-08 02:30:00,-139.50552919667967,
2022-09-08 03:00:00,-82.28904105810975,
2022-09-08 18:30:00,-82.28904105810975,
2022-09-08 20:00:00,-82.28904105810975,
2022-09-08 23:00:00,-399.14005853104004,
2022-09-08 23:59:59,-433.3509088232721,c
2022-09-09 00:00:00,-498.23529066760614,
2022-09-09 01:00:00,-498.23529066760614,
2022-09-09 02:30:00,-475.72400527002856,
2022-09-09 03:00:00,-486.97978964952904,
2022-09-09 18:30:00,-486.97978964952904,
2022-09-09 20:00:00,-486.97978964952904,
2022-09-09 23:00:00,-486.97978964952904,
2022-09-09 23:59:59,-531.9316886335052,w
2022-09-12 00:00:00,-531.9316886335052,
2022-09-12 01:00:00,-531.9316886335052,
2022-09-12 02:30:00,-531.9316886335052,
2022-09-12 03:00:00,-531.9316886335052,
2022-09-12 18:30:00,-531.9316886335052,
2022-09-12 20:00:00,-531.9316886335052,
2022-09-12 23:00:00,-374.97231266095497,
2022-09-12 23:59:59,-374.97231266095497,c
2022-09-13 00:00:00,-362.9292348438263,
2022-09-13 01:00:00,-362.9292348438263,
2022-09-13 02:30:00,-396.9221648203061,
2022-09-13 03:00:00,-340.4772960165525,
2022-09-13 18:30:00,-340.4772960165525,
2022-09-13 20:00:00,-340.4772960165525,
2022-09-13 23:00:00,-365.04557188776323,
2022-09-13 23:59:59,-376.5389691644756,c
2022-09-14 00:00:00,-290.82217539768146,
2022-09-14 01:00:00,-290.82217539768146,
2022-09-14 02:30:00,-245.11495565617983,
2022-09-14 03:00:00,-279.5829882282925,
2022-09-14 18:30:00,-279.5829882282925,
2022-09-14 20:00:00,-279.5829882282925,
2022-09-14 23:00:00,-449.00942867198864,
2022-09-14 23:59:59,-448.97588660741883,c
2022-09-15 00:00:00,-490.4504522420214,
2022-09-15 01:00:00,-490.4504522420214,
2022-09-15 02:30:00,-398.88277711865703,
2022-09-15 03:00:00,-512.9704228605374,
2022-09-15 18:30:00,-512.9704228605374,
2022-09-15 20:00:00,-512.9704228605374,
2022-09-15 23:00:00,-581.4154496104043,
2022-09-15 23:59:59,-592.7222951438313,c
2022-09-16 00:00:00,-541.2638271431774,
2022-09-16 01:00:00,-541.2638271431774,
2022-09-16 02:30:00,-391.78880718520156,
2022-09-16 03:00:00,-322.73213872055885,
2022-09-16 18:30:00,-322.73213872055885,
2022-09-16 20:00:00,-322.73213872055885,
2022-09-16 23:00:00,-322.73213872055885,
2022-09-16 23:59:59,-357.2600296771693,w
2022-09-19 00:00:00,-138.8445666148011,
2022-09-19 01:00:00,-138.8445666148011,
2022-09-19 02:30:00,-58.52706825087472,
2022-09-19 03:00:00,-81.41644808034812,
2022-09-19 18:30:00,-81.41644808034812,
2022-09-19 20:00:00,-81.41644808034812,
2022-09-19 23:00:00,98.56109102125623,
2022-09-19 23:59:59,154.51804024023193,c
2022-09-20 00:00:00,105.18102491527804,
2022-09-20 01:00:00,105.18102491527804,
2022-09-20 02:30:00,162.07259378499708,
2022-09-20 03:00:00,173.38505840826627,
2022-09-20 18:30:00,173.38505840826627,
2022-09-20 20:00:00,173.38505840826627,
2022-09-20 23:00:00,333.1696673232537,
2022-09-20 23:59:59,424.1782469158463,c
2022-09-21 00:00:00,417.7361359188539,
2022-09-21 01:00:00,417.7361359188539,
2022-09-21 02:30:00,429.03449198365405,
2022-09-21 03:00:00,417.6798591286908,
2022-09-21 18:30:00,417.6798591286908,
2022-09-21 20:00:00,417.6798591286908,
2022-09-21 23:00:00,371.83439909911664,
2022-09-21 23:59:59,418.05712235667676,c
2022-09-22 00:00:00,434.36520211206727,
2022-09-22 01:00:00,434.36520211206727,
2022-09-22 02:30:00,388.823528850698,
2022-09-22 03:00:00,456.80095051017446,
2022-09-22 18:30:00,456.80095051017446,
2022-09-22 20:00:00,456.80095051017446,
2022-09-22 23:00:00,490.68444457356173,
2022-09-22 23:59:59,524.9329975789265,c
2022-09-23 00:00:00,519.4072166888266,
2022-09-23 01:00:00,519.4072166888266,
2022-09-23 02:30:00,633.0033240085331,
2022-09-23 03:00:00,633.0033226445414,
2022-09-23 18:30:00,633.0033226445414,
2022-09-23 20:00:00,633.0033226445414,
2022-09-23 23:00:00,633.0033226445414,
2022-09-23 23:59:59,712.5013520752659,w
2022-09-26 00:00:00,661.1695606080898,
2022-09-26 01:00:00,661.1695606080898,
2022-09-26 02:30:00,740.3226316404284,
2022-09-26 03:00:00,729.1420202279821,
2022-09-26 18:30:00,729.1420202279821,
2022-09-26 20:00:00,729.1420202279821,
2022-09-26 23:00:00,717.7261003082442,
2022-09-26 23:59:59,717.8309954018364,c
2022-09-27 00:00:00,712.175485653959,
2022-09-27 01:00:00,712.175485653959,
2022-09-27 02:30:00,407.19631348162767,
2022-09-27 03:00:00,429.7312408295896,
2022-09-27 18:30:00,429.7312408295896,
2022-09-27 20:00:00,429.7312408295896,
2022-09-27 23:00:00,1001.2798680661278,
2022-09-27 23:59:59,1072.7164306317368,c
2022-09-28 00:00:00,1151.254599102656,
2022-09-28 01:00:00,1151.254599102656,
2022-09-28 02:30:00,1405.3526028776885,
2022-09-28 03:00:00,1289.9877496050553,
2022-09-28 18:30:00,1289.9877496050553,
2022-09-28 20:00:00,1289.9877496050553,
2022-09-28 23:00:00,1289.9877496050553,
2022-09-28 23:59:59,1382.432992216571,c
