date,R2_IPO_HEDGED_2021_Q3,meta
2021-09-20 13:30:00,-231.04602438107935,
2021-09-20 15:00:00,-272.6157076442909,
2021-09-20 15:30:30,-272.6157076442909,
2021-09-20 23:59:59,-271.13968577514146,c
2021-09-21 00:00:00,-222.04442264030055,
2021-09-21 10:00:00,-231.83049737272404,
2021-09-21 10:30:00,-288.97643780686633,
2021-09-21 12:00:00,-294.15733466367834,
2021-09-21 13:30:00,-289.2055278510587,
2021-09-21 15:00:00,-311.18556263352593,
2021-09-21 15:30:30,-311.18556263352593,
2021-09-21 23:59:59,-296.4345262199795,c
2021-09-22 00:00:00,-297.24345153521415,
2021-09-22 10:00:00,-363.76619332410473,
2021-09-22 10:30:00,-394.9038317355636,
2021-09-22 12:00:00,-398.95481642007934,
2021-09-22 13:30:00,-417.06593683149066,
2021-09-22 15:00:00,-417.02174071050297,
2021-09-22 15:30:30,-417.02174071050297,
2021-09-22 23:59:59,-420.4007270582982,c
2021-09-23 00:00:00,-412.580639578378,
2021-09-23 10:00:00,-428.0668036804746,
2021-09-23 10:30:00,-440.1895873711715,
2021-09-23 12:00:00,-410.0682440387316,
2021-09-23 13:30:00,-384.69614160373914,
2021-09-23 15:00:00,-376.08246823713824,
2021-09-23 15:30:30,-376.08246823713824,
2021-09-23 23:59:59,-366.96403195736764,c
2021-09-24 00:00:00,-345.34896485917295,
2021-09-24 10:00:00,-380.1220471940176,
2021-09-24 10:30:00,-378.06775729719243,
2021-09-24 12:00:00,-384.60183120410875,
2021-09-24 13:30:00,-382.9410578147031,
2021-09-24 15:00:00,-378.4148553722728,
2021-09-24 15:30:30,-378.4148553722728,
2021-09-24 23:59:59,-393.4761676670873,w
2021-09-27 00:00:00,-354.3394807137634,
2021-09-27 10:00:00,-418.6036298315046,
2021-09-27 10:30:00,-391.5633943828524,
2021-09-27 12:00:00,-382.2166697301318,
2021-09-27 13:30:00,-373.4203377633817,
2021-09-27 15:00:00,-357.18789281805357,
2021-09-27 15:30:30,-357.18789281805357,
2021-09-27 23:59:59,-336.7070693507027,c
2021-09-28 00:00:00,-338.3077614336031,
2021-09-28 10:00:00,-346.2520740152746,
2021-09-28 10:30:00,-371.1244548474669,
2021-09-28 12:00:00,-361.9532628509899,
2021-09-28 13:30:00,-373.95434218451487,
2021-09-28 15:00:00,-350.8142927138705,
2021-09-28 15:30:30,-350.8142927138705,
2021-09-28 23:59:59,-335.3134711554278,c
2021-09-29 00:00:00,-365.95967255366907,
2021-09-29 10:00:00,-342.2619445952062,
2021-09-29 10:30:00,-303.248507685852,
2021-09-29 12:00:00,-314.98322609197766,
2021-09-29 13:30:00,-320.0285127009681,
2021-09-29 15:00:00,-322.1041424552332,
2021-09-29 15:30:30,-322.1041424552332,
2021-09-29 23:59:59,-307.11582966265235,c
2021-09-30 00:00:00,-292.9383239237863,
2021-09-30 10:00:00,-333.2486367941405,
2021-09-30 10:30:00,-349.9957808779736,
2021-09-30 12:00:00,-369.58410850377544,
2021-09-30 13:30:00,-355.0141236544451,
2021-09-30 15:00:00,-339.0137409765709,
2021-09-30 15:30:30,-339.0137409765709,
2021-09-30 23:59:59,-281.53753660474416,c
2021-10-01 00:00:00,-346.18962874892685,
2021-10-01 10:00:00,-425.42295208686306,
2021-10-01 10:30:00,-448.3224596689978,
2021-10-01 12:00:00,-426.1995853489365,
2021-10-01 13:30:00,-447.67161251862956,
2021-10-01 15:00:00,-432.4462086955888,
2021-10-01 15:30:30,-432.4462086955888,
2021-10-01 23:59:59,-391.58044741274153,w
2021-10-04 00:00:00,-389.7985518647319,
2021-10-04 10:00:00,-409.2204138621683,
2021-10-04 10:30:00,-405.1381060539336,
2021-10-04 12:00:00,-379.51242166850517,
2021-10-04 13:30:00,-366.4833158571863,
2021-10-04 15:00:00,-360.87209010741674,
2021-10-04 15:30:30,-360.87209010741674,
2021-10-04 23:59:59,-373.4136554455116,c
2021-10-05 00:00:00,-382.38715263657616,
2021-10-05 10:00:00,-416.89776688032146,
2021-10-05 10:30:00,-387.74832544761904,
2021-10-05 12:00:00,-381.2965911182163,
2021-10-05 13:30:00,-381.00435741629065,
2021-10-05 15:00:00,-385.2736469012979,
2021-10-05 15:30:30,-385.2736469012979,
2021-10-05 23:59:59,-353.97944192642433,c
2021-10-06 00:00:00,-361.06085350248014,
2021-10-06 10:00:00,-336.467620601536,
2021-10-06 10:30:00,-387.65064078934785,
2021-10-06 12:00:00,-408.7017601987634,
2021-10-06 13:30:00,-406.95195768558534,
2021-10-06 15:00:00,-411.41556266700655,
2021-10-06 15:30:30,-411.41556266700655,
2021-10-06 23:59:59,-403.01278332217515,c
2021-10-07 00:00:00,-416.3838989891988,
2021-10-07 10:00:00,-416.6389004512847,
2021-10-07 10:30:00,-434.0309546597003,
2021-10-07 12:00:00,-461.17507737388536,
2021-10-07 13:30:00,-473.6021470695205,
2021-10-07 15:00:00,-460.2925813622874,
2021-10-07 15:30:30,-460.2925813622874,
2021-10-07 23:59:59,-452.06632756926626,c
2021-10-08 00:00:00,-472.3615933371044,
2021-10-08 10:00:00,-483.0908632152904,
2021-10-08 10:30:00,-495.97702746889655,
2021-10-08 12:00:00,-486.493667422423,
2021-10-08 13:30:00,-463.8217229979707,
2021-10-08 15:00:00,-492.02719056710544,
2021-10-08 15:30:30,-492.02719056710544,
2021-10-08 23:59:59,-489.2055630210352,w
