date,MORN_2022_Q2,meta
2022-06-10 13:30:00,-6.620357986794488,
2022-06-10 15:00:00,5.149732650172609,
2022-06-10 15:30:30,5.149732650172609,
2022-06-10 23:59:59,0.0,a
2022-06-13 00:00:00,-87.85861623326196,
2022-06-13 10:00:00,-156.38185240494204,
2022-06-13 10:30:00,-143.8365671549882,
2022-06-13 12:00:00,-162.30298272174332,
2022-06-13 13:30:00,-150.17383075904377,
2022-06-13 15:00:00,-143.83978877924824,
2022-06-13 15:30:30,-143.83978877924824,
2022-06-13 23:59:59,-148.60104382192822,c
2022-06-14 00:00:00,-125.58667133100585,
2022-06-14 10:00:00,-137.93900426195546,
2022-06-14 10:30:00,-165.14355864582944,
2022-06-14 12:00:00,-113.02815239197935,
2022-06-14 13:30:00,-114.51121536159803,
2022-06-14 15:00:00,-146.95892486078355,
2022-06-14 15:30:30,-146.95892486078355,
2022-06-14 23:59:59,-149.13611232157905,c
2022-06-15 00:00:00,-127.99074769365029,
2022-06-15 10:00:00,-104.72575358411018,
2022-06-15 10:30:00,-85.34421310200878,
2022-06-15 12:00:00,-73.6460629480789,
2022-06-15 13:30:00,-91.5062824177196,
2022-06-15 15:00:00,-74.94091194596513,
2022-06-15 15:30:30,-74.94091194596513,
2022-06-15 23:59:59,-62.781951565410964,c
2022-06-16 00:00:00,-132.2441552672251,
2022-06-16 10:00:00,-180.15472969355665,
2022-06-16 10:30:00,-191.34923173826087,
2022-06-16 12:00:00,-190.48916614951145,
2022-06-16 13:30:00,-185.282491041414,
2022-06-16 15:00:00,-202.12524225393963,
2022-06-16 15:30:30,-202.12524225393963,
2022-06-16 23:59:59,-192.79207163350316,c
2022-06-17 00:00:00,-178.55009800692324,
2022-06-17 10:00:00,-114.133716372462,
2022-06-17 10:30:00,-162.62974807007822,
2022-06-17 12:00:00,-139.7641607544524,
2022-06-17 13:30:00,-117.82627295405246,
2022-06-17 15:00:00,-116.5691690149713,
2022-06-17 15:30:30,-116.5691690149713,
2022-06-17 23:59:59,-141.82481200991856,e
2022-06-20 00:00:00,-141.82481200991856,
2022-06-20 10:00:00,-141.82481200991856,
2022-06-20 10:30:00,-141.82481200991856,
2022-06-20 12:00:00,-141.82481200991856,
