date,SPHD_HEDGED_2021_Q1,meta
2021-02-02 15:30:30,45.28594445451938,
2021-02-02 23:59:59,47.365959922447814,c
2021-02-03 00:00:00,46.336222423110144,
2021-02-03 10:00:00,27.555613362674308,
2021-02-03 10:30:00,32.3737443637018,
2021-02-03 12:00:00,27.015883332925455,
2021-02-03 13:30:00,10.848383387134731,
2021-02-03 15:00:00,1.4294544789536303,
2021-02-03 15:30:30,1.4294544789536303,
2021-02-03 23:59:59,0.3533005565031999,c
2021-02-04 00:00:00,4.296198213735352,
2021-02-04 10:00:00,-23.995649556311946,
2021-02-04 10:30:00,-7.072330792068897,
2021-02-04 12:00:00,-28.036837227291016,
2021-02-04 13:30:00,-30.632997838774145,
2021-02-04 15:00:00,-36.9213943521446,
2021-02-04 15:30:30,-36.9213943521446,
2021-02-04 23:59:59,-34.58910921416634,c
2021-02-05 00:00:00,-49.49240190231933,
2021-02-05 10:00:00,-42.357794643185,
2021-02-05 10:30:00,-47.563156139849866,
2021-02-05 12:00:00,-24.986173402467557,
2021-02-05 13:30:00,-19.274089641815408,
2021-02-05 15:00:00,-15.628858569872818,
2021-02-05 15:30:30,-15.628858569872818,
2021-02-05 23:59:59,-14.060261306952043,w
2021-02-08 00:00:00,-29.557863419780915,
2021-02-08 10:00:00,-42.92747760372322,
2021-02-08 10:30:00,-43.543024818644994,
2021-02-08 12:00:00,-46.47825854444875,
2021-02-08 13:30:00,-64.57510454108387,
2021-02-08 15:00:00,-59.578266133069974,
2021-02-08 15:30:30,-59.578266133069974,
2021-02-08 23:59:59,-63.31913793920535,c
2021-02-09 00:00:00,-80.93412566494965,
2021-02-09 10:00:00,-83.18404211867528,
2021-02-09 10:30:00,-76.6712723853982,
2021-02-09 12:00:00,-73.03575030897662,
2021-02-09 13:30:00,-81.82191710808468,
2021-02-09 15:00:00,-75.5394968061056,
2021-02-09 15:30:30,-75.5394968061056,
2021-02-09 23:59:59,-70.9954570217136,c
2021-02-10 00:00:00,-98.99841247391805,
2021-02-10 10:00:00,-97.61373341608953,
2021-02-10 10:30:00,-86.75203908892513,
2021-02-10 12:00:00,-96.06073828052195,
2021-02-10 13:30:00,-100.02161205290497,
2021-02-10 15:00:00,-89.0205810980259,
2021-02-10 15:30:30,-89.0205810980259,
2021-02-10 23:59:59,-85.59511871493885,c
2021-02-11 00:00:00,-83.53398630253196,
2021-02-11 10:00:00,-108.47170256236018,
2021-02-11 10:30:00,-121.89066179599456,
2021-02-11 12:00:00,-104.2858936743703,
2021-02-11 13:30:00,-100.61530209499483,
2021-02-11 15:00:00,-122.24465427687858,
2021-02-11 15:30:30,-122.24465427687858,
2021-02-11 23:59:59,-136.45977851440432,c
2021-02-12 00:00:00,-109.87571587229854,
2021-02-12 10:00:00,-134.52919047890077,
2021-02-12 10:30:00,-163.43575699110363,
2021-02-12 12:00:00,-160.6661249355452,
2021-02-12 13:30:00,-176.5682070554784,
2021-02-12 15:00:00,-170.80251520143906,
2021-02-12 15:30:30,-170.80251520143906,
2021-02-12 23:59:59,-183.50819247766935,w
