date,FT_STYLE_2021_Q1,meta
2021-01-18 12:00:00,-81.82780064997075,
2021-01-18 13:30:00,-81.82780064997075,
2021-01-18 15:00:00,-81.82780064997075,
2021-01-18 15:30:30,-81.82780064997075,
2021-01-18 23:59:59,-81.82780064997075,c
2021-01-19 00:00:00,-93.37337548227353,
2021-01-19 10:00:00,-91.75664625283673,
2021-01-19 10:30:00,-86.73208393960147,
2021-01-19 12:00:00,-96.36490920083463,
2021-01-19 13:30:00,-96.10296203066122,
2021-01-19 15:00:00,-97.23158274182,
2021-01-19 15:30:30,-97.23158274182,
2021-01-19 23:59:59,-100.99014744876646,c
2021-01-20 00:00:00,-109.75362137960855,
2021-01-20 10:00:00,-113.45936442705042,
2021-01-20 10:30:00,-115.08204506723891,
2021-01-20 12:00:00,-108.98414702891992,
2021-01-20 13:30:00,-108.21141450221384,
2021-01-20 15:00:00,-112.94595782842651,
2021-01-20 15:30:30,-112.94595782842651,
2021-01-20 23:59:59,-109.72961290338893,c
2021-01-21 00:00:00,-107.9473048763856,
2021-01-21 10:00:00,-97.63791181328486,
2021-01-21 10:30:00,-99.76468074817535,
2021-01-21 12:00:00,-102.01671551959589,
2021-01-21 13:30:00,-94.7664240442007,
2021-01-21 15:00:00,-93.61970035224053,
2021-01-21 15:30:30,-93.61970035224053,
2021-01-21 23:59:59,-94.27591023221999,c
2021-01-22 00:00:00,-89.77651671541142,
2021-01-22 10:00:00,-99.25943056788955,
2021-01-22 10:30:00,-96.32960752463958,
2021-01-22 12:00:00,-89.93297226139356,
2021-01-22 13:30:00,-96.51235927194776,
2021-01-22 15:00:00,-99.64502687668386,
2021-01-22 15:30:30,-99.64502687668386,
2021-01-22 23:59:59,-100.33630885697812,w
