date,FTSE_EM_ADR_2022_Q3,meta
2022-08-15 13:30:00,52.184312482937,
2022-08-15 15:00:00,101.50162373987405,
2022-08-15 15:30:30,101.50162373987405,
2022-08-15 23:59:59,110.44222143902425,c
2022-08-16 00:00:00,93.4083679407886,
2022-08-16 10:00:00,110.80144945606162,
2022-08-16 10:30:00,49.35804416172368,
2022-08-16 12:00:00,130.95855883664444,
2022-08-16 13:30:00,36.88827653909675,
2022-08-16 15:00:00,66.57385330186116,
2022-08-16 15:30:30,66.57385330186116,
2022-08-16 23:59:59,98.16841500741702,c
2022-08-17 00:00:00,37.885191912869686,
2022-08-17 10:00:00,138.95180681539978,
2022-08-17 10:30:00,88.67079740663075,
2022-08-17 12:00:00,68.52617965909758,
2022-08-17 13:30:00,126.61502435757711,
2022-08-17 15:00:00,141.6266628063654,
2022-08-17 15:30:30,141.6266628063654,
2022-08-17 23:59:59,123.68449914372013,c
2022-08-18 00:00:00,123.62918556676095,
2022-08-18 10:00:00,192.77807854972843,
2022-08-18 10:30:00,129.50025923620524,
2022-08-18 12:00:00,77.76396582831921,
2022-08-18 13:30:00,100.58973790439359,
2022-08-18 15:00:00,132.60787131925417,
2022-08-18 15:30:30,132.60787131925417,
2022-08-18 23:59:59,129.96801986586388,c
2022-08-19 00:00:00,51.51722094927072,
2022-08-19 10:00:00,2.346977208248518,
2022-08-19 10:30:00,48.50940709953238,
2022-08-19 12:00:00,18.982115714038173,
2022-08-19 13:30:00,-23.52407353767967,
2022-08-19 15:00:00,-19.451133880294492,
2022-08-19 15:30:30,-19.451133880294492,
2022-08-19 23:59:59,0.0,a
2022-08-22 00:00:00,2.3555388620789017,
2022-08-22 10:00:00,100.7089635375346,
2022-08-22 10:30:00,35.017764293812434,
2022-08-22 12:00:00,142.6000660457421,
2022-08-22 13:30:00,126.74874752268988,
2022-08-22 15:00:00,135.46560467341988,
2022-08-22 15:30:30,135.46560467341988,
2022-08-22 23:59:59,67.51711103938624,c
2022-08-23 00:00:00,111.39038771125797,
2022-08-23 10:00:00,9.236898883027607,
2022-08-23 10:30:00,12.357489775447448,
2022-08-23 12:00:00,39.386901993234005,
2022-08-23 13:30:00,72.1436106920587,
2022-08-23 15:00:00,122.78265755363373,
2022-08-23 15:30:30,122.78265755363373,
2022-08-23 23:59:59,167.8020793435494,c
2022-08-24 00:00:00,149.80167950744953,
2022-08-24 10:00:00,241.11474308348124,
2022-08-24 10:30:00,207.91457570163357,
2022-08-24 12:00:00,156.7899215338516,
2022-08-24 13:30:00,151.490517202697,
2022-08-24 15:00:00,190.15486771291626,
2022-08-24 15:30:30,190.15486771291626,
2022-08-24 23:59:59,152.10384617651653,c
2022-08-25 00:00:00,274.3279579104942,
2022-08-25 10:00:00,128.69561558156784,
2022-08-25 10:30:00,309.0247053338139,
2022-08-25 12:00:00,263.3206598982256,
2022-08-25 13:30:00,220.1277418602681,
2022-08-25 15:00:00,289.4984294373594,
2022-08-25 15:30:30,289.4984294373594,
2022-08-25 23:59:59,313.8069204368362,c
2022-08-26 00:00:00,365.99112366410964,
2022-08-26 10:00:00,631.9009421418873,
2022-08-26 10:30:00,721.4170769288135,
2022-08-26 12:00:00,552.1710616857858,
2022-08-26 13:30:00,622.708526752011,
2022-08-26 15:00:00,638.6873305240001,
2022-08-26 15:30:30,638.6873305240001,
2022-08-26 23:59:59,633.7146807182576,w
2022-08-29 00:00:00,523.0471082990357,
2022-08-29 10:00:00,516.4826677894303,
