date,AS_MSCI_MOM_2022_Q4,meta
2022-11-04 20:00:00,141.2924357280641,
2022-11-04 23:00:00,141.2924357280641,
2022-11-04 23:59:59,141.42476427893058,w
2022-11-07 00:00:00,123.42786044350146,
2022-11-07 01:00:00,128.29270412795057,
2022-11-07 02:30:00,128.29270412795057,
2022-11-07 03:00:00,128.29270412795057,
2022-11-07 18:30:00,133.6815879070527,
2022-11-07 20:00:00,131.93235551515426,
2022-11-07 23:00:00,130.59474053644743,
2022-11-07 23:59:59,136.45507720108412,c
2022-11-08 00:00:00,139.1687020090323,
2022-11-08 01:00:00,131.6303131856127,
2022-11-08 02:30:00,131.6303131856127,
2022-11-08 03:00:00,131.6303131856127,
2022-11-08 18:30:00,136.067856987354,
2022-11-08 20:00:00,116.74009401899463,
2022-11-08 23:00:00,100.29903080296077,
2022-11-08 23:59:59,96.2862586328551,c
2022-11-09 00:00:00,88.6862382694996,
2022-11-09 01:00:00,91.15782460024599,
2022-11-09 02:30:00,91.15782460024599,
2022-11-09 03:00:00,91.15782460024599,
2022-11-09 18:30:00,99.52528178974029,
2022-11-09 20:00:00,82.76792462659046,
2022-11-09 23:00:00,90.05658259241108,
2022-11-09 23:59:59,93.63313513450868,c
2022-11-10 00:00:00,83.63263575730537,
2022-11-10 01:00:00,84.71701156487416,
2022-11-10 02:30:00,84.71701156487416,
2022-11-10 03:00:00,84.71701156487416,
2022-11-10 18:30:00,78.14273470507175,
2022-11-10 20:00:00,56.49984902647185,
2022-11-10 23:00:00,42.78880161649181,
2022-11-10 23:59:59,46.57923004374118,c
2022-11-11 00:00:00,30.829969173791312,
2022-11-11 01:00:00,25.015571035079518,
2022-11-11 02:30:00,25.015571035079518,
2022-11-11 03:00:00,25.015571035079518,
2022-11-11 18:30:00,25.015571035079518,
2022-11-11 20:00:00,25.015571035079518,
2022-11-11 23:00:00,25.015571035079518,
2022-11-11 23:59:59,25.507140255996262,w
2022-11-14 00:00:00,-26.88166633592715,
2022-11-14 01:00:00,-38.92089504760861,
2022-11-14 02:30:00,-38.92089504760861,
2022-11-14 03:00:00,-38.92089504760861,
2022-11-14 18:30:00,-50.61741009508762,
2022-11-14 20:00:00,-46.73961320099647,
2022-11-14 23:00:00,-55.22195181254085,
2022-11-14 23:59:59,-57.57144627276642,c
2022-11-15 00:00:00,-35.386857680457865,
2022-11-15 01:00:00,-39.80617405735234,
2022-11-15 02:30:00,-39.80617405735234,
2022-11-15 03:00:00,-39.80617405735234,
2022-11-15 18:30:00,-37.01368915076404,
2022-11-15 20:00:00,-40.87238981045505,
2022-11-15 23:00:00,-39.84974729853059,
2022-11-15 23:59:59,-37.953620535591256,c
2022-11-16 00:00:00,-38.05721563340916,
2022-11-16 01:00:00,-42.60140334932254,
2022-11-16 02:30:00,-42.60140334932254,
2022-11-16 03:00:00,-42.60140334932254,
2022-11-16 18:30:00,-41.29990313745907,
2022-11-16 20:00:00,-39.07244320131008,
2022-11-16 23:00:00,-33.32533228020327,
2022-11-16 23:59:59,-29.097761030823392,c
2022-11-17 00:00:00,-18.246223105859258,
2022-11-17 01:00:00,-19.164454108284247,
2022-11-17 02:30:00,-19.164454108284247,
2022-11-17 03:00:00,-19.164454108284247,
2022-11-17 18:30:00,-20.432082021308815,
2022-11-17 20:00:00,-11.183052469561005,
2022-11-17 23:00:00,-2.7590371025081026,
2022-11-17 23:59:59,-3.051363459073741,c
2022-11-18 00:00:00,-2.5924124881917123,
2022-11-18 01:00:00,1.791920323822069,
2022-11-18 02:30:00,1.791920323822069,
2022-11-18 03:00:00,1.791920323822069,
2022-11-18 18:30:00,1.791920323822069,
2022-11-18 20:00:00,1.791920323822069,
2022-11-18 23:00:00,1.791920323822069,
2022-11-18 23:59:59,0.0,a
2022-11-21 00:00:00,-10.43822846694053,
2022-11-21 01:00:00,-12.137704203081057,
2022-11-21 02:30:00,-12.137704203081057,
2022-11-21 03:00:00,-12.137704203081057,
2022-11-21 18:30:00,-8.692005564137105,
2022-11-21 20:00:00,-5.194010864956738,
2022-11-21 23:00:00,-3.1643350244560224,
2022-11-21 23:59:59,0.371413655747574,c
2022-11-22 00:00:00,5.361888906564843,
2022-11-22 01:00:00,1.329879484079811,
2022-11-22 02:30:00,1.329879484079811,
2022-11-22 03:00:00,1.329879484079811,
2022-11-22 18:30:00,-0.7521273671952713,
2022-11-22 20:00:00,-0.519461785139697,
2022-11-22 23:00:00,-3.5981643170072743,
2022-11-22 23:59:59,-4.279562959391171,c
2022-11-23 00:00:00,-4.021217655477528,
2022-11-23 01:00:00,-4.021217655477528,
2022-11-23 02:30:00,-4.021217655477528,
2022-11-23 03:00:00,-4.021217655477528,
2022-11-23 18:30:00,-3.1107413569928895,
2022-11-23 20:00:00,-4.56832999695871,
2022-11-23 23:00:00,-20.77235629526615,
2022-11-23 23:59:59,-29.299115680431044,c
0,-29.299115680431044,
0,-29.299115680431044,
0,-29.299115680431044,
0,-29.299115680431044,
0,-29.299115680431044,
0,-29.299115680431044,
0,-29.299115680431044,
0,-29.299115680431044,
0,-29.299115680431044,
0,-29.299115680431044,
0,-29.299115680431044,
0,-29.299115680431044,
0,-29.299115680431044,
0,-29.299115680431044,
0,-29.299115680431044,
0,-29.299115680431044,
0,-29.299115680431044,
0,-29.299115680431044,
0,-29.299115680431044,
0,-29.299115680431044,
0,-29.299115680431044,
0,-29.299115680431044,
0,-29.299115680431044,
0,-29.299115680431044,
2022-11-24 00:00:00,-31.67158843822625,
2022-11-24 01:00:00,-31.29358077181854,
2022-11-24 02:30:00,-31.29358077181854,
2022-11-24 03:00:00,-31.29358077181854,
2022-11-24 18:30:00,-34.056909070455845,
2022-11-24 20:00:00,-46.49201168689899,
2022-11-24 23:00:00,-50.50310234266141,
2022-11-24 23:59:59,-52.721313426140796,c
2022-11-25 00:00:00,-51.68825731661525,
2022-11-25 01:00:00,-55.40005983382372,
2022-11-25 02:30:00,-55.40005983382372,
2022-11-25 03:00:00,-55.40005983382372,
2022-11-25 18:30:00,-55.40005983382372,
2022-11-25 20:00:00,-55.40005983382372,
2022-11-25 23:00:00,-55.40005983382372,
2022-11-25 23:59:59,-54.4542683392292,w
2022-11-28 00:00:00,-56.8038640346262,
2022-11-28 01:00:00,-50.42064397353994,
2022-11-28 02:30:00,-50.42064397353994,
2022-11-28 03:00:00,-50.42064397353994,
2022-11-28 18:30:00,-46.32759040435138,
2022-11-28 20:00:00,-41.12331159577138,
2022-11-28 23:00:00,-47.335417116388896,
2022-11-28 23:59:59,-47.37209275715861,c
2022-11-29 00:00:00,-49.754399277194864,
2022-11-29 01:00:00,-47.435442071462944,
2022-11-29 02:30:00,-47.435442071462944,
2022-11-29 03:00:00,-47.435442071462944,
2022-11-29 18:30:00,-48.78590583789611,
2022-11-29 20:00:00,-43.09817606307445,
2022-11-29 23:00:00,-43.687173259409235,
