date,EU_MSCI_FACTOR_2021_Q4,meta
2021-11-22 08:00:00,22.884952216171513,
2021-11-22 10:30:00,25.637310589115117,
2021-11-22 11:00:00,22.54883822905427,
2021-11-22 23:59:59,22.11425273542696,c
2021-11-23 00:00:00,31.92291047568105,
2021-11-23 03:30:00,29.526727948900458,
2021-11-23 04:00:00,29.65795806038497,
2021-11-23 06:00:00,32.60738799713414,
2021-11-23 08:00:00,27.674297331838545,
2021-11-23 10:30:00,34.85950975859751,
2021-11-23 11:00:00,41.70921250514135,
2021-11-23 23:59:59,40.870445456463045,c
0,40.870445456463045,
0,40.870445456463045,
0,40.870445456463045,
0,40.870445456463045,
0,40.870445456463045,
0,40.870445456463045,
0,40.870445456463045,
0,40.870445456463045,
0,40.870445456463045,
0,40.870445456463045,
0,40.870445456463045,
0,40.870445456463045,
0,40.870445456463045,
0,40.870445456463045,
0,40.870445456463045,
0,40.870445456463045,
0,40.870445456463045,
0,40.870445456463045,
0,40.870445456463045,
0,40.870445456463045,
0,40.870445456463045,
0,40.870445456463045,
0,40.870445456463045,
0,40.870445456463045,
2021-11-24 00:00:00,46.685084570571476,
2021-11-24 03:30:00,53.15349514245712,
2021-11-24 04:00:00,54.524973934849555,
2021-11-24 06:00:00,59.587944910484524,
2021-11-24 08:00:00,59.924766038460746,
2021-11-24 10:30:00,59.01462861296909,
2021-11-24 11:00:00,59.605005104289816,
2021-11-24 23:59:59,54.93052941606068,c
2021-11-25 00:00:00,57.41976448408471,
2021-11-25 03:30:00,65.75622492901354,
2021-11-25 04:00:00,72.10840529834648,
2021-11-25 06:00:00,69.11849008018136,
2021-11-25 08:00:00,72.50358947746113,
2021-11-25 10:30:00,66.92133450348148,
2021-11-25 11:00:00,65.26145045964341,
2021-11-25 23:59:59,65.55830671913992,c
2021-11-26 00:00:00,63.73831312297706,
2021-11-26 03:30:00,77.77185741133319,
2021-11-26 04:00:00,64.64825305267394,
2021-11-26 06:00:00,74.02068262812877,
2021-11-26 08:00:00,80.68537334684113,
2021-11-26 10:30:00,84.98393215707232,
2021-11-26 11:00:00,87.3129931199822,
2021-11-26 23:59:59,87.54817819224449,w
2021-11-29 00:00:00,88.98693476529235,
2021-11-29 03:30:00,92.1037907133853,
2021-11-29 04:00:00,93.95226482480433,
2021-11-29 06:00:00,99.81213770566237,
2021-11-29 08:00:00,100.22746658124642,
2021-11-29 10:30:00,98.03756023241156,
2021-11-29 11:00:00,102.25500268938211,
2021-11-29 23:59:59,98.78895223601478,c
2021-11-30 00:00:00,103.50400576290974,
2021-11-30 03:30:00,109.0832501383607,
2021-11-30 04:00:00,107.06543756981245,
2021-11-30 06:00:00,111.57459504455022,
2021-11-30 08:00:00,101.89212840253654,
2021-11-30 10:30:00,84.01139329678918,
2021-11-30 11:00:00,89.98532986913335,
2021-11-30 23:59:59,101.83879858002307,e
