date,AS_ASX_2022_Q4,meta
2022-11-28 20:00:00,24.2244084092373,
2022-11-28 23:00:00,10.367381114998977,
2022-11-28 23:59:59,9.643263493536892,c
2022-11-29 00:00:00,6.558256573616347,
2022-11-29 01:00:00,6.558256573616347,
2022-11-29 02:30:00,6.558256573616347,
2022-11-29 03:00:00,6.558256573616347,
2022-11-29 18:30:00,22.759825923702522,
2022-11-29 20:00:00,42.56825855947443,
2022-11-29 23:00:00,64.20127151447247,
2022-11-29 23:59:59,71.38206868376301,c
2022-11-30 00:00:00,71.83811582860938,
2022-11-30 01:00:00,71.83811582860938,
2022-11-30 02:30:00,71.83811582860938,
2022-11-30 03:00:00,71.83811582860938,
2022-11-30 18:30:00,57.52616291715111,
2022-11-30 20:00:00,38.88573480219014,
2022-11-30 23:00:00,41.62502433162308,
2022-11-30 23:59:59,39.853212074385624,c
2022-12-01 00:00:00,30.995215106403293,
2022-12-01 01:00:00,30.995215106403293,
2022-12-01 02:30:00,30.995215106403293,
2022-12-01 03:00:00,30.995215106403293,
2022-12-01 18:30:00,-5.671414981427461,
2022-12-01 20:00:00,-6.59663346658283,
2022-12-01 23:00:00,4.337052591978363,
2022-12-01 23:59:59,1.674501819256193,c
2022-12-02 00:00:00,-0.0201814317160256,
2022-12-02 01:00:00,-0.0201814317160256,
2022-12-02 02:30:00,-0.0201814317160256,
2022-12-02 03:00:00,-0.0201814317160256,
2022-12-02 18:30:00,-0.0201814317160256,
2022-12-02 20:00:00,-0.0201814317160256,
2022-12-02 23:00:00,-0.0201814317160256,
2022-12-02 23:59:59,0.0,a
2022-12-05 00:00:00,-6.436080077445467,
2022-12-05 01:00:00,-6.436080077445467,
2022-12-05 02:30:00,-6.436080077445467,
2022-12-05 03:00:00,-6.436080077445467,
2022-12-05 18:30:00,-32.16576141773231,
2022-12-05 20:00:00,-46.05511978098883,
2022-12-05 23:00:00,-12.927247318772856,
2022-12-05 23:59:59,-16.662233423967166,c
2022-12-06 00:00:00,3.951003506782854,
2022-12-06 01:00:00,3.951003506782854,
2022-12-06 02:30:00,3.951003506782854,
2022-12-06 03:00:00,3.951003506782854,
2022-12-06 18:30:00,7.642760959559496,
2022-12-06 20:00:00,-8.226092865411374,
2022-12-06 23:00:00,-1.458728449512023,
2022-12-06 23:59:59,-9.345916488144326,c
2022-12-07 00:00:00,5.229836048468428,
2022-12-07 01:00:00,5.229836048468428,
2022-12-07 02:30:00,5.229836048468428,
2022-12-07 03:00:00,5.229836048468428,
2022-12-07 18:30:00,-10.792660479972824,
2022-12-07 20:00:00,-14.863350417451215,
2022-12-07 23:00:00,2.419515220856283,
2022-12-07 23:59:59,-5.121957009036009,c
2022-12-08 00:00:00,5.628853017733093,
