date,AS_HSI_2022_Q4,meta
2022-12-08 02:30:00,845.2552877087146,
2022-12-08 03:00:00,884.5945476641864,
2022-12-08 18:30:00,884.5945476641864,
2022-12-08 20:00:00,884.5945476641864,
2022-12-08 23:00:00,1087.187892210235,
2022-12-08 23:59:59,1077.2442409803498,c
2022-12-09 00:00:00,1090.1008583534676,
2022-12-09 01:00:00,1159.7901598836743,
2022-12-09 02:30:00,1205.9874693093625,
2022-12-09 03:00:00,1181.3754298693057,
2022-12-09 18:30:00,1181.3754298693057,
2022-12-09 20:00:00,1181.3754298693057,
2022-12-09 23:00:00,1181.3754298693057,
2022-12-09 23:59:59,1185.4465735816284,w
2022-12-12 00:00:00,955.6900455549294,
2022-12-12 01:00:00,902.4409077710225,
2022-12-12 02:30:00,924.1517097282667,
2022-12-12 03:00:00,873.5358336179033,
2022-12-12 18:30:00,873.5358336179033,
2022-12-12 20:00:00,873.5358336179033,
2022-12-12 23:00:00,925.2271104164265,
2022-12-12 23:59:59,905.5696608584785,c
2022-12-13 00:00:00,940.043016997317,
2022-12-13 01:00:00,945.7650979538885,
2022-12-13 02:30:00,934.3891934200274,
2022-12-13 03:00:00,896.0576773822395,
2022-12-13 18:30:00,896.0576773822395,
2022-12-13 20:00:00,896.0576773822395,
2022-12-13 23:00:00,878.9315876443106,
2022-12-13 23:59:59,879.6577681573017,c
2022-12-14 00:00:00,980.0604402145327,
2022-12-14 01:00:00,963.5960990485255,
2022-12-14 02:30:00,1036.6540037857194,
2022-12-14 03:00:00,1015.0724194382965,
2022-12-14 18:30:00,1015.0724194382965,
2022-12-14 20:00:00,1015.0724194382965,
2022-12-14 23:00:00,899.5127472063978,
2022-12-14 23:59:59,894.5560110684964,c
2022-12-15 00:00:00,941.6590850980156,
2022-12-15 01:00:00,955.9188290001166,
2022-12-15 02:30:00,981.205171191923,
2022-12-15 03:00:00,954.4723802843,
2022-12-15 18:30:00,954.4723802843,
2022-12-15 20:00:00,954.4723802843,
2022-12-15 23:00:00,976.4206341039026,
2022-12-15 23:59:59,971.6256217493537,c
2022-12-16 00:00:00,1058.7375448920266,
2022-12-16 01:00:00,1073.3870489585643,
2022-12-16 02:30:00,1112.897515284043,
2022-12-16 03:00:00,1079.7884398038532,
2022-12-16 18:30:00,1079.7884398038532,
2022-12-16 20:00:00,1079.7884398038532,
2022-12-16 23:00:00,1079.7884398038532,
2022-12-16 23:59:59,1080.4611202038523,w
2022-12-19 00:00:00,1071.190237488201,
2022-12-19 01:00:00,1045.9339932283892,
2022-12-19 02:30:00,997.9245550911583,
