date,SCHWAB_2022_Q2,meta
2022-05-30 10:30:00,-48.1550280592719,
2022-05-30 12:00:00,-48.1550280592719,
2022-05-30 13:30:00,-48.1550280592719,
2022-05-30 15:00:00,-48.1550280592719,
2022-05-30 15:30:30,-48.1550280592719,
2022-05-30 23:59:59,-48.1550280592719,c
2022-05-31 00:00:00,-47.801248844620204,
2022-05-31 10:00:00,-59.090179836028256,
2022-05-31 10:30:00,-52.103426104346,
2022-05-31 12:00:00,-62.23791154336686,
2022-05-31 13:30:00,-88.74578971891333,
2022-05-31 15:00:00,-139.2894686912532,
2022-05-31 15:30:30,-139.2894686912532,m
2022-05-31 23:59:59,-117.06606984346354,c
2022-06-01 00:00:00,-114.96368829037146,
2022-06-01 10:00:00,-104.21500850801158,
2022-06-01 10:30:00,-137.49184540166016,
2022-06-01 12:00:00,-143.40966977559356,
2022-06-01 13:30:00,-121.3022649309055,
2022-06-01 15:00:00,-92.14440644599608,
2022-06-01 15:30:30,-92.14440644599608,
2022-06-01 23:59:59,-92.6525078711411,c
2022-06-02 00:00:00,-111.39334786341897,
2022-06-02 10:00:00,-37.957878718624215,
2022-06-02 10:30:00,-39.549409757048124,
2022-06-02 12:00:00,51.629116142476505,
2022-06-02 13:30:00,68.22884202273644,
2022-06-02 15:00:00,39.4363388342108,
2022-06-02 15:30:30,39.4363388342108,
2022-06-02 23:59:59,26.937164329684038,c
2022-06-03 00:00:00,-6.557140075552979,
2022-06-03 10:00:00,33.52958470610292,
2022-06-03 10:30:00,21.898347949227173,
2022-06-03 12:00:00,8.242283959680208,
2022-06-03 13:30:00,7.603322521727932,
2022-06-03 15:00:00,3.8236459543586534,
2022-06-03 15:30:30,3.8236459543586534,
2022-06-03 23:59:59,0.0,a
2022-06-06 00:00:00,118.3079558202653,
2022-06-06 10:00:00,46.495912432279965,
2022-06-06 10:30:00,39.36972076989014,
2022-06-06 12:00:00,-16.32571960234418,
2022-06-06 13:30:00,-67.53034326904071,
2022-06-06 15:00:00,-41.45449039282357,
2022-06-06 15:30:30,-41.45449039282357,
2022-06-06 23:59:59,-73.95530974733447,c
2022-06-07 00:00:00,-93.58729591006477,
2022-06-07 10:00:00,-49.78297223063328,
2022-06-07 10:30:00,-29.821555078226538,
2022-06-07 12:00:00,-80.02517632898343,
2022-06-07 13:30:00,-145.3049843391791,
2022-06-07 15:00:00,-85.12840781463592,
2022-06-07 15:30:30,-85.12840781463592,u
