date,COMP_STAY_HEDGED_2021_Q4,meta
2021-12-16 15:30:30,-115.04796724699463,
2021-12-16 23:59:59,-35.76259647837833,c
2021-12-17 00:00:00,-90.10417020609975,
2021-12-17 10:00:00,-41.59711622598206,
2021-12-17 10:30:00,-22.77729687628107,
2021-12-17 12:00:00,0.5142562648338753,
2021-12-17 13:30:00,14.79655699733894,
2021-12-17 15:00:00,14.08198059518827,
2021-12-17 15:30:30,14.08198059518827,
2021-12-17 23:59:59,3.071947006904793,e
2021-12-20 00:00:00,-66.3196026645669,
2021-12-20 10:00:00,-29.218433220026327,
2021-12-20 10:30:00,-1.2391475671265653,
2021-12-20 12:00:00,-18.21623320241315,
2021-12-20 13:30:00,-18.568061658444094,
2021-12-20 15:00:00,-1.2192906411901276,
2021-12-20 15:30:30,-1.2192906411901276,
2021-12-20 23:59:59,-13.73664863867998,c
2021-12-21 00:00:00,-5.551165321464396,
2021-12-21 10:00:00,-51.37979728501341,
2021-12-21 10:30:00,-6.538947989117787,
2021-12-21 12:00:00,57.640005542621566,
2021-12-21 13:30:00,75.57666429586789,
2021-12-21 15:00:00,77.98701995885085,
2021-12-21 15:30:30,77.98701995885085,
2021-12-21 23:59:59,79.70367724262178,c
2021-12-22 00:00:00,72.63251719867321,
2021-12-22 10:00:00,119.42453263824746,
2021-12-22 10:30:00,70.1300831982553,
2021-12-22 12:00:00,94.73686292319508,
2021-12-22 13:30:00,58.262937786471866,
2021-12-22 15:00:00,57.35254160231216,
2021-12-22 15:30:30,57.35254160231216,
2021-12-22 23:59:59,59.557961255801274,c
2021-12-23 00:00:00,61.05654957638899,
2021-12-23 10:00:00,25.890049666537834,
2021-12-23 10:30:00,33.17348161167229,
2021-12-23 12:00:00,54.18442075657322,
2021-12-23 13:30:00,93.34767144050738,
2021-12-23 15:00:00,80.54892953363833,
2021-12-23 15:30:30,80.54892953363833,
2021-12-23 23:59:59,86.06839590286518,c
2021-12-24 00:00:00,86.06839590286518,
2021-12-24 10:00:00,86.06839590286518,
2021-12-24 10:30:00,86.06839590286518,
2021-12-24 12:00:00,86.06839590286518,
2021-12-24 13:30:00,86.06839590286518,
2021-12-24 15:00:00,86.06839590286518,
2021-12-24 15:30:30,86.06839590286518,
2021-12-24 23:59:59,86.06839590286518,w
2021-12-27 00:00:00,130.49649471218163,
2021-12-27 10:00:00,140.15543343217087,
2021-12-27 10:30:00,179.53579795104588,
2021-12-27 12:00:00,197.44504565994112,
2021-12-27 13:30:00,180.80002696775546,
2021-12-27 15:00:00,151.72455845732475,
2021-12-27 15:30:30,151.72455845732475,
2021-12-27 23:59:59,163.24438843495955,c
2021-12-28 00:00:00,119.12660969697754,
2021-12-28 10:00:00,131.44898683892507,
2021-12-28 10:30:00,123.11473619721619,
2021-12-28 12:00:00,100.63687240572108,
2021-12-28 13:30:00,102.93549550754733,
