date,AS_FTSE_DM_SC_2022_Q1,meta
2022-01-28 20:00:00,98.73854382358255,
2022-01-28 23:00:00,98.73854382358255,
2022-01-28 23:59:59,98.31682387130093,w
2022-01-31 00:00:00,144.9307864292819,
2022-01-31 01:00:00,148.03231583900856,
2022-01-31 02:30:00,148.03231583900856,
2022-01-31 03:00:00,148.03231583900856,
2022-01-31 18:30:00,216.78528484306293,
2022-01-31 20:00:00,195.6306540806816,
2022-01-31 23:00:00,164.86222221947497,
2022-01-31 23:59:59,167.871672690317,c
2022-02-01 00:00:00,183.13257501665686,
2022-02-01 01:00:00,181.81676129322,
2022-02-01 02:30:00,181.81676129322,
2022-02-01 03:00:00,181.81676129322,
2022-02-01 18:30:00,171.91947318717678,
2022-02-01 20:00:00,184.33081597670537,
2022-02-01 23:00:00,178.6608226005862,
2022-02-01 23:59:59,180.33487731564594,c
2022-02-02 00:00:00,189.76605663040652,
2022-02-02 01:00:00,194.18610378258717,
2022-02-02 02:30:00,194.18610378258717,
2022-02-02 03:00:00,194.18610378258717,
2022-02-02 18:30:00,136.16038099782838,
2022-02-02 20:00:00,95.50754636444535,
2022-02-02 23:00:00,78.61503694714821,
2022-02-02 23:59:59,64.26673100990695,c
2022-02-03 00:00:00,69.1160686165637,
2022-02-03 01:00:00,64.42698941834075,
2022-02-03 02:30:00,63.144171935222744,
2022-02-03 03:00:00,63.68806391128052,
2022-02-03 18:30:00,88.09969281269409,
2022-02-03 20:00:00,106.90746937153921,
2022-02-03 23:00:00,118.50716388840948,
2022-02-03 23:59:59,114.27158808294706,c
2022-02-04 00:00:00,106.7847472375739,
2022-02-04 01:00:00,105.88373525916094,
2022-02-04 02:30:00,109.54707847769757,
2022-02-04 03:00:00,109.61547139981317,
2022-02-04 18:30:00,109.61547139981317,
2022-02-04 20:00:00,109.61547139981317,
2022-02-04 23:00:00,109.61547139981317,
2022-02-04 23:59:59,110.031810484815,w
2022-02-07 00:00:00,97.34339463406803,
2022-02-07 01:00:00,95.4076777277599,
2022-02-07 02:30:00,92.79017782018613,
2022-02-07 03:00:00,94.4529430516086,
2022-02-07 18:30:00,97.88629565407112,
2022-02-07 20:00:00,76.52967094066784,
2022-02-07 23:00:00,67.28032045515155,
2022-02-07 23:59:59,70.8161815048934,c
2022-02-08 00:00:00,79.52632262080016,
2022-02-08 01:00:00,76.83441102517384,
2022-02-08 02:30:00,77.71107977707072,
2022-02-08 03:00:00,76.76412545597583,
2022-02-08 18:30:00,96.81159676121058,
2022-02-08 20:00:00,100.47874423632706,
2022-02-08 23:00:00,114.03879344175283,
2022-02-08 23:59:59,109.0606308493671,c
2022-02-09 00:00:00,116.7378091705452,
2022-02-09 01:00:00,121.51550773103341,
2022-02-09 02:30:00,119.76475282784082,
2022-02-09 03:00:00,119.956175748742,
