date,EU_FTSEUK_STAY_2021_Q4,meta
2021-12-22 10:30:00,-47.98477043753337,
2021-12-22 11:00:00,-62.718559468229614,
2021-12-22 23:59:59,-53.18162958201265,c
2021-12-23 00:00:00,-47.15516308535234,
2021-12-23 03:30:00,-62.43252194509569,
2021-12-23 04:00:00,-72.15918510978781,
2021-12-23 06:00:00,-77.6487428028936,
2021-12-23 08:00:00,-87.31569147384471,
2021-12-23 10:30:00,-118.84155456878761,
2021-12-23 11:00:00,-113.40081749570481,
2021-12-23 23:59:59,-98.19022021221872,c
2021-12-24 00:00:00,-74.80351672588131,
2021-12-24 03:30:00,-93.13092496841136,
2021-12-24 04:00:00,-92.36768418447855,
2021-12-24 06:00:00,-106.14589560668219,
2021-12-24 08:00:00,-106.14589560668219,
2021-12-24 10:30:00,-106.14589560668219,
2021-12-24 11:00:00,-106.14589560668219,
2021-12-24 23:59:59,-92.23637713134985,w
2021-12-27 00:00:00,-92.23637713134985,
2021-12-27 03:30:00,-92.23637713134985,
2021-12-27 04:00:00,-92.23637713134985,
2021-12-27 06:00:00,-92.23637713134985,
2021-12-27 08:00:00,-92.23637713134985,
2021-12-27 10:30:00,-92.23637713134985,
2021-12-27 11:00:00,-92.23637713134985,
2021-12-27 23:59:59,-92.23637713134985,c
2021-12-28 00:00:00,-92.23637713134985,
2021-12-28 03:30:00,-92.23637713134985,
2021-12-28 04:00:00,-92.23637713134985,
2021-12-28 06:00:00,-92.23637713134985,
2021-12-28 08:00:00,-92.23637713134985,
2021-12-28 10:30:00,-92.23637713134985,
2021-12-28 11:00:00,-92.23637713134985,
2021-12-28 23:59:59,-92.23637713134985,c
2021-12-29 00:00:00,-82.45126973911101,
2021-12-29 03:30:00,-98.55963184352186,
2021-12-29 04:00:00,-107.4427591859776,
2021-12-29 06:00:00,-90.76041484658799,
2021-12-29 08:00:00,-78.19614493722611,
2021-12-29 10:30:00,-83.98516992478062,
2021-12-29 11:00:00,-90.64323704178378,
2021-12-29 23:59:59,-61.85173536104321,c
2021-12-30 00:00:00,-44.46202436465319,
2021-12-30 03:30:00,-39.18899091207459,
2021-12-30 04:00:00,-48.12208516495093,
2021-12-30 06:00:00,-62.823286049335366,
2021-12-30 08:00:00,-65.64672562121996,
2021-12-30 10:30:00,-51.77709743746982,
2021-12-30 11:00:00,-45.190209494164264,
2021-12-30 23:59:59,-34.25881669556247,c
2021-12-31 00:00:00,-36.494593462343346,
2021-12-31 03:30:00,-28.174599426356963,
2021-12-31 04:00:00,-35.02532670043365,
2021-12-31 06:00:00,-21.18226746916571,
2021-12-31 08:00:00,-21.18226746916571,
2021-12-31 10:30:00,-21.18226746916571,
2021-12-31 11:00:00,-21.18226746916571,
2021-12-31 23:59:59,-21.202976069733722,w
