date,KB_FAM_2021_Q1,meta
2021-03-12 13:30:00,18.671793217366485,
2021-03-12 15:00:00,-19.489341251022324,
2021-03-12 15:30:30,-19.489341251022324,
2021-03-12 23:59:59,0.0,a
2021-03-15 00:00:00,14.950091606786373,
2021-03-15 10:00:00,-31.439970508541137,
2021-03-15 10:30:00,-8.9472779705211,
2021-03-15 12:00:00,46.06665438324853,
2021-03-15 13:30:00,35.76631150268122,
2021-03-15 15:00:00,-3.9338229678987773,
2021-03-15 15:30:30,-3.9338229678987773,
2021-03-15 23:59:59,-12.075015874900146,c
2021-03-16 00:00:00,-54.179361166839044,
2021-03-16 10:00:00,87.28258057867652,
2021-03-16 10:30:00,57.81855850935381,
2021-03-16 12:00:00,-53.94344180443977,
2021-03-16 13:30:00,-110.70174338211882,
