date,EWJSPY_2020_Q1,meta
2020-04-01 10:30:00,278.5617381090307,
2020-04-01 12:00:00,292.4917290055114,
2020-04-01 13:30:00,319.8128103091007,
2020-04-01 15:00:00,340.36789603439865,
2020-04-01 15:30:30,340.36789603439865,
2020-04-01 23:59:59,289.09272281124055,c
2020-04-02 00:00:00,284.44254174920263,
2020-04-02 10:00:00,269.99836073760747,
2020-04-02 10:30:00,249.0284538698274,
2020-04-02 12:00:00,240.21830320961357,
2020-04-02 13:30:00,266.6150948411947,
2020-04-02 15:00:00,262.60170779527425,
2020-04-02 15:30:30,262.60170779527425,
2020-04-02 23:59:59,242.22880032694877,c
2020-04-03 00:00:00,180.81296165368437,
2020-04-03 10:00:00,145.48234551413952,
2020-04-03 10:30:00,162.5583506093913,
2020-04-03 12:00:00,192.8213393559438,
2020-04-03 13:30:00,218.04710735925795,
2020-04-03 15:00:00,211.93186679818274,
2020-04-03 15:30:30,211.93186679818274,
2020-04-03 23:59:59,196.66697732928395,w
2020-04-06 00:00:00,214.1621460478878,
2020-04-06 10:00:00,201.92339758993566,
2020-04-06 10:30:00,212.43713243346335,
2020-04-06 12:00:00,189.42678714226602,
2020-04-06 13:30:00,178.65264752830328,
2020-04-06 15:00:00,175.75466409018279,
2020-04-06 15:30:30,175.75466409018279,
2020-04-06 23:59:59,168.20056056842446,c
2020-04-07 00:00:00,239.08478707827686,
2020-04-07 10:00:00,240.51931758143186,
2020-04-07 10:30:00,231.88028398602367,
2020-04-07 12:00:00,171.70797091198324,
2020-04-07 13:30:00,147.74519583981277,
2020-04-07 15:00:00,219.60931472692906,
2020-04-07 15:30:30,219.60931472692906,
2020-04-07 23:59:59,221.2762238178694,c
2020-04-08 00:00:00,145.11275505230546,
2020-04-08 10:00:00,135.96741065585016,
2020-04-08 10:30:00,128.35549693373977,
2020-04-08 12:00:00,92.65559109961748,
2020-04-08 13:30:00,85.28012308747292,
2020-04-08 15:00:00,57.03958687168479,
2020-04-08 15:30:30,57.03958687168479,
2020-04-08 23:59:59,30.936663013321162,c
2020-04-09 00:00:00,12.922426408718824,
2020-04-09 10:00:00,10.260342893192767,
2020-04-09 10:30:00,8.75978219220996,
2020-04-09 12:00:00,24.93661507838249,
2020-04-09 13:30:00,-7.159995543254614,
2020-04-09 15:00:00,27.515763898792265,
2020-04-09 15:30:30,27.515763898792265,
2020-04-09 23:59:59,19.638497652562855,c
2020-04-10 00:00:00,19.638497652562855,
