date,FTSE_US_2022_Q3,meta
2022-08-16 15:30:30,174.7292593517181,
2022-08-16 23:59:59,191.03029684328786,c
2022-08-17 00:00:00,167.2335736238125,
2022-08-17 10:00:00,161.99080813996113,
2022-08-17 10:30:00,147.060719748111,
2022-08-17 12:00:00,112.3651825706036,
2022-08-17 13:30:00,124.3806927296786,
2022-08-17 15:00:00,129.62846664928452,
2022-08-17 15:30:30,129.62846664928452,
2022-08-17 23:59:59,133.93975400370374,c
2022-08-18 00:00:00,143.62417766089223,
2022-08-18 10:00:00,112.07189435081236,
2022-08-18 10:30:00,109.8068952692777,
2022-08-18 12:00:00,130.83511417971076,
2022-08-18 13:30:00,118.13180918862568,
2022-08-18 15:00:00,118.98035516997639,
2022-08-18 15:30:30,118.98035516997639,
2022-08-18 23:59:59,113.73211852010223,c
2022-08-19 00:00:00,81.93804483341798,
2022-08-19 10:00:00,6.002192099849907,
2022-08-19 10:30:00,0.8713214752488909,
2022-08-19 12:00:00,-20.168248020877144,
2022-08-19 13:30:00,-22.40472304063306,
2022-08-19 15:00:00,2.892386218923235,
2022-08-19 15:30:30,2.892386218923235,
2022-08-19 23:59:59,0.0,a
2022-08-22 00:00:00,-82.68759792991457,
2022-08-22 10:00:00,-20.324227043717457,
2022-08-22 10:30:00,-39.13125574847322,
2022-08-22 12:00:00,-15.319690416725706,
2022-08-22 13:30:00,-30.478282944449774,
2022-08-22 15:00:00,-17.426361622413197,
2022-08-22 15:30:30,-17.426361622413197,
2022-08-22 23:59:59,-29.70731468995416,c
2022-08-23 00:00:00,-25.214747810491474,
2022-08-23 10:00:00,-12.24114775270695,
2022-08-23 10:30:00,-13.589218453420244,
2022-08-23 12:00:00,-40.46367546217087,
2022-08-23 13:30:00,-32.89770354665848,
2022-08-23 15:00:00,-20.727395661568778,
2022-08-23 15:30:30,-20.727395661568778,
2022-08-23 23:59:59,-43.76953732688099,c
2022-08-24 00:00:00,-41.84014265100322,
2022-08-24 10:00:00,49.662480371766165,
2022-08-24 10:30:00,49.921998728786306,
2022-08-24 12:00:00,52.815935114279284,
2022-08-24 13:30:00,34.38359203220095,
2022-08-24 15:00:00,40.79116294115694,
2022-08-24 15:30:30,40.79116294115694,
2022-08-24 23:59:59,26.892438620432074,c
2022-08-25 00:00:00,156.73381831440483,
2022-08-25 10:00:00,118.54223633385905,
2022-08-25 10:30:00,114.82168395525414,
2022-08-25 12:00:00,94.17997076338702,
2022-08-25 13:30:00,124.99071725556416,
2022-08-25 15:00:00,116.469689350258,
2022-08-25 15:30:30,116.469689350258,
2022-08-25 23:59:59,116.3847398849565,c
2022-08-26 00:00:00,81.43267984224012,
2022-08-26 10:00:00,102.76777288489905,
2022-08-26 10:30:00,87.68377751077712,
2022-08-26 12:00:00,68.08914122316199,
2022-08-26 13:30:00,106.43209166294888,
2022-08-26 15:00:00,77.94744397972153,
2022-08-26 15:30:30,77.94744397972153,
2022-08-26 23:59:59,89.71165872944894,w
2022-08-29 00:00:00,46.51584283085569,
2022-08-29 10:00:00,45.656890489975225,
2022-08-29 10:30:00,62.95557638036708,
2022-08-29 12:00:00,38.16712067223179,
2022-08-29 13:30:00,66.75995245838178,
2022-08-29 15:00:00,69.42907128599622,
2022-08-29 15:30:30,69.42907128599622,
2022-08-29 23:59:59,63.367839001187775,c
2022-08-30 00:00:00,87.26778080685189,
2022-08-30 10:00:00,89.04896760671502,
2022-08-30 10:30:00,77.34317277654402,
2022-08-30 12:00:00,76.08983282418814,
2022-08-30 13:30:00,55.79086697867923,
2022-08-30 15:00:00,86.33531870348752,
2022-08-30 15:30:30,86.33531870348752,
2022-08-30 23:59:59,94.74621960811933,c
2022-08-31 00:00:00,145.03664727920946,
2022-08-31 10:00:00,158.7636666013306,
2022-08-31 10:30:00,136.53450067217796,
2022-08-31 12:00:00,106.82337902124067,
2022-08-31 13:30:00,106.31002698193072,
2022-08-31 15:00:00,115.92263810649077,
2022-08-31 15:30:30,115.92263810649077,m
2022-08-31 23:59:59,112.99570212188509,c
2022-09-01 00:00:00,84.20057262364723,
2022-09-01 10:00:00,70.78802833560646,
2022-09-01 10:30:00,44.86096959554354,
2022-09-01 12:00:00,-15.955969574889764,
2022-09-01 13:30:00,27.571254105106206,
2022-09-01 15:00:00,51.5353587100968,
2022-09-01 15:30:30,51.5353587100968,
2022-09-01 23:59:59,64.95030383805914,c
2022-09-02 00:00:00,88.91437772456482,
2022-09-02 10:00:00,66.91430441609525,
2022-09-02 10:30:00,102.29446837107099,
2022-09-02 12:00:00,91.04683431466438,
2022-09-02 13:30:00,77.54432459214202,
2022-09-02 15:00:00,95.03445794580082,
2022-09-02 15:30:30,95.03445794580082,
2022-09-02 23:59:59,104.0992837220344,w
2022-09-05 00:00:00,104.0992837220344,
2022-09-05 10:00:00,104.0992837220344,
2022-09-05 10:30:00,104.0992837220344,
2022-09-05 12:00:00,104.0992837220344,
2022-09-05 13:30:00,104.0992837220344,
2022-09-05 15:00:00,104.0992837220344,
2022-09-05 15:30:30,104.0992837220344,
2022-09-05 23:59:59,104.0992837220344,c
2022-09-06 00:00:00,90.10895164270467,
2022-09-06 10:00:00,106.56112036760585,
2022-09-06 10:30:00,106.78442532345386,
2022-09-06 12:00:00,163.0025128540625,
2022-09-06 13:30:00,146.0750214505886,
2022-09-06 15:00:00,156.98959944373746,
2022-09-06 15:30:30,156.98959944373746,
2022-09-06 23:59:59,152.03072920336106,c
2022-09-07 00:00:00,138.33577110617162,
2022-09-07 10:00:00,161.8010781187888,
2022-09-07 10:30:00,138.5069700175645,
2022-09-07 12:00:00,154.0147717655949,
2022-09-07 13:30:00,137.70698529847098,
2022-09-07 15:00:00,156.1461546618986,
2022-09-07 15:30:30,156.1461546618986,
2022-09-07 23:59:59,174.71775759954426,c
2022-09-08 00:00:00,183.51908010276992,
2022-09-08 10:00:00,263.40599684399365,
2022-09-08 10:30:00,237.81789427481343,
2022-09-08 12:00:00,214.6672019950048,
2022-09-08 13:30:00,223.7814546368598,
2022-09-08 15:00:00,240.0740292054075,
2022-09-08 15:30:30,240.0740292054075,
2022-09-08 23:59:59,245.44347315276497,c
2022-09-09 00:00:00,255.3665193217361,
2022-09-09 10:00:00,281.817943126394,
2022-09-09 10:30:00,267.20404777968474,
2022-09-09 12:00:00,304.2983300942532,
2022-09-09 13:30:00,341.51955207250563,
2022-09-09 15:00:00,326.7530149957532,
2022-09-09 15:30:30,326.7530149957532,
2022-09-09 23:59:59,355.3716085177542,w
2022-09-12 00:00:00,338.2990633078159,
2022-09-12 10:00:00,404.48278949445455,
2022-09-12 10:30:00,401.157134413327,
2022-09-12 12:00:00,374.69632334754147,
2022-09-12 13:30:00,402.42563513496737,
2022-09-12 15:00:00,396.3193879882193,
2022-09-12 15:30:30,396.3193879882193,
2022-09-12 23:59:59,406.30336884290784,c
2022-09-13 00:00:00,296.4802021700201,
2022-09-13 10:00:00,357.4403115505537,
2022-09-13 10:30:00,393.13668949270243,
2022-09-13 12:00:00,366.5365537512841,
2022-09-13 13:30:00,387.2409308330606,
2022-09-13 15:00:00,397.7506083805502,
2022-09-13 15:30:30,397.7506083805502,
2022-09-13 23:59:59,414.9407974904544,c
2022-09-14 00:00:00,394.7072638205125,
2022-09-14 10:00:00,446.8573761945553,
2022-09-14 10:30:00,456.2198534526111,
2022-09-14 12:00:00,515.4187102936413,
2022-09-14 13:30:00,533.0397054105722,
2022-09-14 15:00:00,562.1578998384427,
2022-09-14 15:30:30,562.1578998384427,
2022-09-14 23:59:59,569.6337380041937,c
2022-09-15 00:00:00,497.99115425301324,
2022-09-15 10:00:00,575.6784387206731,
2022-09-15 10:30:00,552.4848145174883,
2022-09-15 12:00:00,550.3305022808038,
2022-09-15 13:30:00,585.8373924685097,
2022-09-15 15:00:00,577.6871367634753,
2022-09-15 15:30:30,577.6871367634753,
2022-09-15 23:59:59,500.82738907867883,c
2022-09-16 00:00:00,441.52163449474443,
2022-09-16 10:00:00,399.65184704015456,
2022-09-16 10:30:00,353.8026062989837,
2022-09-16 12:00:00,359.4192887093051,
2022-09-16 13:30:00,377.82001552347,
2022-09-16 15:00:00,340.2965278869019,
2022-09-16 15:30:30,340.2965278869019,
2022-09-16 23:59:59,327.25768694228736,e
2022-09-19 00:00:00,300.6547176841466,
2022-09-19 10:00:00,296.97114001515854,
2022-09-19 10:30:00,258.2902975735569,
2022-09-19 12:00:00,254.4537325934313,
2022-09-19 13:30:00,241.52992422368402,
2022-09-19 15:00:00,264.8400437264583,
2022-09-19 15:30:30,264.8400437264583,
2022-09-19 23:59:59,248.148783799208,c
2022-09-20 00:00:00,250.6835474109826,
2022-09-20 10:00:00,238.9500626346881,
2022-09-20 10:30:00,246.71237712352792,
2022-09-20 12:00:00,285.0629882818163,
2022-09-20 13:30:00,235.01107230575678,
2022-09-20 15:00:00,213.57693475113757,
2022-09-20 15:30:30,213.57693475113757,
2022-09-20 23:59:59,177.36646197778336,c
2022-09-21 00:00:00,174.48800245921117,
2022-09-21 10:00:00,150.82501754664762,
2022-09-21 10:30:00,157.60094556245252,
2022-09-21 12:00:00,167.90480399351077,
2022-09-21 13:30:00,177.53803232525814,
2022-09-21 15:00:00,228.5460169182186,
2022-09-21 15:30:30,228.5460169182186,
2022-09-21 23:59:59,170.07011064192304,c
2022-09-22 00:00:00,142.17976117972626,
2022-09-22 10:00:00,117.22481145059928,
2022-09-22 10:30:00,105.07859728682627,
2022-09-22 12:00:00,80.99180863366895,
2022-09-22 13:30:00,46.02917904790155,
2022-09-22 15:00:00,41.693226329775115,
2022-09-22 15:30:30,41.693226329775115,
2022-09-22 23:59:59,50.482527482176295,c
2022-09-23 00:00:00,41.81947951014412,
2022-09-23 10:00:00,13.4137380323169,
2022-09-23 10:30:00,40.93607695167685,
2022-09-23 12:00:00,78.16245718921665,
2022-09-23 13:30:00,91.4929971648334,
2022-09-23 15:00:00,89.91911462118134,
2022-09-23 15:30:30,89.91911462118134,
2022-09-23 23:59:59,106.75309810980592,w
2022-09-26 00:00:00,134.76895467936072,
2022-09-26 10:00:00,175.48223130711224,
2022-09-26 10:30:00,192.51959568509756,
2022-09-26 12:00:00,156.81197270449823,
2022-09-26 13:30:00,153.583236009601,
2022-09-26 15:00:00,171.09583045802083,
2022-09-26 15:30:30,171.09583045802083,
2022-09-26 23:59:59,155.70326239530516,c
2022-09-27 00:00:00,200.34702427730483,
2022-09-27 10:00:00,200.73771696152224,
2022-09-27 10:30:00,184.13493552174023,
2022-09-27 12:00:00,160.65338151342524,
2022-09-27 13:30:00,147.311394458425,
2022-09-27 15:00:00,172.58750800149446,
2022-09-27 15:30:30,172.58750800149446,
2022-09-27 23:59:59,181.50538547515907,c
2022-09-28 00:00:00,193.90315937202286,
2022-09-28 10:00:00,206.80835911281122,
2022-09-28 10:30:00,225.69132108326636,
2022-09-28 12:00:00,198.65225096481987,
2022-09-28 13:30:00,191.59474851779555,
2022-09-28 15:00:00,198.66998439240692,
2022-09-28 15:30:30,198.66998439240692,
2022-09-28 23:59:59,202.71255469379912,c
2022-09-29 00:00:00,203.88717871290115,
2022-09-29 10:00:00,178.46053963271837,
2022-09-29 10:30:00,174.11509453029726,
2022-09-29 12:00:00,172.53946607137425,
2022-09-29 13:30:00,138.6888756599106,
2022-09-29 15:00:00,109.20072278440057,
2022-09-29 15:30:30,109.20072278440057,
2022-09-29 23:59:59,112.83699727221988,c
2022-09-30 00:00:00,87.47094926225125,
2022-09-30 10:00:00,144.90952939635665,
2022-09-30 10:30:00,191.1188849677502,
2022-09-30 12:00:00,170.01131719031392,
2022-09-30 13:30:00,169.60815306447444,
2022-09-30 15:00:00,157.04224073089452,
2022-09-30 15:30:30,157.04224073089452,
2022-09-30 23:59:59,162.0184283070185,w
2022-10-03 00:00:00,123.2343969330054,
2022-10-03 10:00:00,43.44809308156063,
2022-10-03 10:30:00,36.114720764421904,
2022-10-03 12:00:00,47.31442501287633,
2022-10-03 13:30:00,92.99209628976348,
2022-10-03 15:00:00,100.2915243875527,
2022-10-03 15:30:30,100.2915243875527,
2022-10-03 23:59:59,96.82066926063959,c
2022-10-04 00:00:00,177.2645701067786,
2022-10-04 10:00:00,161.74763121981104,
2022-10-04 10:30:00,168.0366080897282,
2022-10-04 12:00:00,204.5326725162071,
2022-10-04 13:30:00,158.33218677835356,
2022-10-04 15:00:00,177.26546048589816,
2022-10-04 15:30:30,177.26546048589816,
2022-10-04 23:59:59,191.98446363759672,c
2022-10-05 00:00:00,197.05184239660437,
2022-10-05 10:00:00,154.1150291172172,
2022-10-05 10:30:00,124.02154179796878,
2022-10-05 12:00:00,127.04323021993923,
2022-10-05 13:30:00,150.53344143875887,
2022-10-05 15:00:00,164.33016888637025,
2022-10-05 15:30:30,164.33016888637025,
2022-10-05 23:59:59,186.6215221477919,c
2022-10-06 00:00:00,221.4484248488767,
2022-10-06 10:00:00,223.97873463472087,
2022-10-06 10:30:00,173.42399762813412,
2022-10-06 12:00:00,189.19590944221187,
2022-10-06 13:30:00,223.12315489978292,
2022-10-06 15:00:00,246.1465594168816,
2022-10-06 15:30:30,246.1465594168816,
2022-10-06 23:59:59,249.31497061222984,c
2022-10-07 00:00:00,188.4110689143125,
2022-10-07 10:00:00,114.20713088436823,
2022-10-07 10:30:00,111.62884197664681,
2022-10-07 12:00:00,116.20089891631427,
2022-10-07 13:30:00,100.31690046593431,
2022-10-07 15:00:00,102.39857295015364,
2022-10-07 15:30:30,102.39857295015364,
2022-10-07 23:59:59,121.15080294877995,w
