date,EU_SXXEP6_AD_2023_Q1,meta
2023-03-01 10:30:00,8.447549536410719,
2023-03-01 11:00:00,5.5176651549246,
2023-03-01 23:59:59,0.0,a
2023-03-02 00:00:00,18.605591178237006,
2023-03-02 03:30:00,53.63488002590995,
2023-03-02 04:00:00,75.34905925589743,
2023-03-02 06:00:00,139.93303569824243,
2023-03-02 08:00:00,142.3277514921144,
2023-03-02 10:30:00,130.1461706783111,
2023-03-02 11:00:00,128.52998107822813,
2023-03-02 23:59:59,124.69891472351756,c
2023-03-03 00:00:00,158.10557698516024,
2023-03-03 03:30:00,166.33669266119583,
2023-03-03 04:00:00,178.66715894159935,
2023-03-03 06:00:00,180.23895494942488,
2023-03-03 08:00:00,194.84860531227613,
2023-03-03 10:30:00,186.17914972355416,
2023-03-03 11:00:00,184.46302867755136,
2023-03-03 23:59:59,185.8675843225901,w
2023-03-06 00:00:00,220.95426856583677,
2023-03-06 03:30:00,210.65828847326455,
2023-03-06 04:00:00,202.69594411130524,
2023-03-06 06:00:00,197.4817362589765,
2023-03-06 08:00:00,189.91127453230231,
2023-03-06 10:30:00,217.56697476620624,
2023-03-06 11:00:00,210.03257829990477,
2023-03-06 23:59:59,211.7650350819479,c
2023-03-07 00:00:00,233.3665088577122,
2023-03-07 03:30:00,225.2447561503208,
2023-03-07 04:00:00,214.13614808507972,
2023-03-07 06:00:00,221.63030470156198,
2023-03-07 08:00:00,229.71457452998143,
2023-03-07 10:30:00,230.8505004254712,
2023-03-07 11:00:00,243.6518452905797,
2023-03-07 23:59:59,270.0932684330178,c
2023-03-08 00:00:00,263.06078539867167,
2023-03-08 03:30:00,273.11410509167854,
2023-03-08 04:00:00,289.864409024236,
2023-03-08 06:00:00,297.1075131490288,
2023-03-08 08:00:00,285.2144286267338,
2023-03-08 10:30:00,287.37502838367413,
2023-03-08 11:00:00,290.73435145887754,
2023-03-08 23:59:59,297.60024081642473,c
2023-03-09 00:00:00,288.4492196128318,
2023-03-09 03:30:00,273.80563347876273,
2023-03-09 04:00:00,257.9741127717432,
2023-03-09 06:00:00,228.1498625748902,
2023-03-09 08:00:00,240.33162443387434,
2023-03-09 10:30:00,216.88850072671116,
2023-03-09 11:00:00,217.50644014456432,
2023-03-09 23:59:59,218.76399909195285,c
2023-03-10 00:00:00,218.76399909195285,
2023-03-10 03:30:00,218.76399909195285,
2023-03-10 04:00:00,218.76399909195285,
2023-03-10 06:00:00,218.76399909195285,
2023-03-10 08:00:00,218.76399909195285,
2023-03-10 10:30:00,218.76399909195285,
2023-03-10 11:00:00,218.76399909195285,
2023-03-10 23:59:59,218.76399909195285,w
2023-03-13 00:00:00,218.76399909195285,
2023-03-13 03:30:00,218.76399909195285,
2023-03-13 04:00:00,218.76399909195285,
2023-03-13 06:00:00,218.76399909195285,
2023-03-13 08:00:00,218.76399909195285,
2023-03-13 10:30:00,218.76399909195285,
2023-03-13 11:00:00,218.76399909195285,
2023-03-13 23:59:59,218.76399909195285,c
2023-03-14 00:00:00,218.76399909195285,
2023-03-14 03:30:00,218.76399909195285,
2023-03-14 04:00:00,218.76399909195285,
2023-03-14 06:00:00,218.76399909195285,
2023-03-14 08:00:00,218.76399909195285,
2023-03-14 10:30:00,218.76399909195285,
2023-03-14 11:00:00,218.76399909195285,
2023-03-14 23:59:59,218.76399909195285,c
2023-03-15 00:00:00,218.76399909195285,
2023-03-15 03:30:00,218.76399909195285,
2023-03-15 04:00:00,218.76399909195285,
2023-03-15 06:00:00,218.76399909195285,
2023-03-15 08:00:00,218.76399909195285,
2023-03-15 10:30:00,218.76399909195285,
2023-03-15 11:00:00,218.76399909195285,
2023-03-15 23:59:59,218.76399909195285,c
2023-03-16 00:00:00,218.76399909195285,
2023-03-16 03:30:00,218.76399909195285,
2023-03-16 04:00:00,218.76399909195285,
2023-03-16 06:00:00,218.76399909195285,
2023-03-16 08:00:00,218.76399909195285,
2023-03-16 10:30:00,218.76399909195285,
2023-03-16 11:00:00,218.76399909195285,
2023-03-16 23:59:59,218.76399909195285,c
2023-03-17 00:00:00,218.76399909195285,
2023-03-17 03:30:00,218.76399909195285,
2023-03-17 04:00:00,218.76399909195285,
2023-03-17 06:00:00,218.76399909195285,
2023-03-17 08:00:00,218.76399909195285,
2023-03-17 10:30:00,218.76399909195285,
2023-03-17 11:00:00,218.76399909195285,
2023-03-17 23:59:59,218.76399909195285,e
2023-03-20 00:00:00,218.76399909195285,
2023-03-20 03:30:00,218.76399909195285,
2023-03-20 04:00:00,218.76399909195285,
2023-03-20 06:00:00,218.76399909195285,
2023-03-20 08:00:00,218.76399909195285,
2023-03-20 10:30:00,218.76399909195285,
2023-03-20 11:00:00,218.76399909195285,
2023-03-20 23:59:59,218.76399909195285,c
2023-03-21 00:00:00,218.76399909195285,
2023-03-21 03:30:00,218.76399909195285,
2023-03-21 04:00:00,218.76399909195285,
2023-03-21 06:00:00,218.76399909195285,
2023-03-21 08:00:00,218.76399909195285,
2023-03-21 10:30:00,218.76399909195285,
2023-03-21 11:00:00,218.76399909195285,
2023-03-21 23:59:59,218.76399909195285,c
2023-03-22 00:00:00,218.76399909195285,
2023-03-22 03:30:00,218.76399909195285,
2023-03-22 04:00:00,218.76399909195285,
2023-03-22 06:00:00,218.76399909195285,
2023-03-22 08:00:00,218.76399909195285,
2023-03-22 10:30:00,218.76399909195285,
2023-03-22 11:00:00,218.76399909195285,
2023-03-22 23:59:59,218.76399909195285,c
2023-03-23 00:00:00,218.76399909195285,
2023-03-23 03:30:00,218.76399909195285,
2023-03-23 04:00:00,218.76399909195285,
2023-03-23 06:00:00,218.76399909195285,
2023-03-23 08:00:00,218.76399909195285,
2023-03-23 10:30:00,218.76399909195285,
2023-03-23 11:00:00,218.76399909195285,
2023-03-23 23:59:59,218.76399909195285,c
2023-03-24 00:00:00,218.76399909195285,
2023-03-24 03:30:00,218.76399909195285,
2023-03-24 04:00:00,218.76399909195285,
2023-03-24 06:00:00,218.76399909195285,
2023-03-24 08:00:00,218.76399909195285,
2023-03-24 10:30:00,218.76399909195285,
2023-03-24 11:00:00,218.76399909195285,
2023-03-24 23:59:59,218.76399909195285,w
2023-03-27 00:00:00,218.76399909195285,
