date,BRL_FTSE_2022_Q1,meta
2022-02-10 10:00:00,34.72729309747058,
2022-02-10 10:30:00,30.711270623299384,
2022-02-10 12:00:00,17.6778926241048,
2022-02-10 13:30:00,5.223877044660156,
2022-02-10 15:00:00,8.283013240878773,
2022-02-10 15:30:30,8.283013240878773,
2022-02-10 23:59:59,14.239854585441165,c
2022-02-11 00:00:00,-33.93469239077853,
2022-02-11 10:00:00,-77.59379397363085,
2022-02-11 10:30:00,-101.68157415727435,
2022-02-11 12:00:00,-97.16511537284171,
2022-02-11 13:30:00,-109.20900546466483,
2022-02-11 15:00:00,-0.8139946382704153,
2022-02-11 15:30:30,-0.8139946382704153,
2022-02-11 23:59:59,0.6914916232064456,w
2022-02-14 00:00:00,-41.2405364444855,
2022-02-14 10:00:00,-36.262164985906736,
2022-02-14 10:30:00,-11.420582364443248,
2022-02-14 12:00:00,-26.89923761894127,
2022-02-14 13:30:00,-11.828761809007574,
2022-02-14 15:00:00,10.815704785731057,
2022-02-14 15:30:30,10.815704785731057,
2022-02-14 23:59:59,-0.95856176894371,c
2022-02-15 00:00:00,-27.503414140164985,
2022-02-15 10:00:00,62.42546254755406,
2022-02-15 10:30:00,50.8731077632,
2022-02-15 12:00:00,45.13747264813314,
2022-02-15 13:30:00,10.94697929810006,
2022-02-15 15:00:00,13.73404672068537,
2022-02-15 15:30:30,13.73404672068537,
2022-02-15 23:59:59,-45.33661871613441,c
2022-02-16 00:00:00,-50.1724728673847,
2022-02-16 10:00:00,-10.682895775746317,
2022-02-16 10:30:00,-21.904022673300474,
2022-02-16 12:00:00,-33.16807760515334,
2022-02-16 13:30:00,-31.393391077339096,
2022-02-16 15:00:00,-59.94305669454883,
2022-02-16 15:30:30,-59.94305669454883,
2022-02-16 23:59:59,-57.229999573587875,c
2022-02-17 00:00:00,10.982487725364706,
2022-02-17 10:00:00,17.001037615422817,
2022-02-17 10:30:00,16.87758918685499,
2022-02-17 12:00:00,12.461115414303677,
2022-02-17 13:30:00,19.149857845009763,
2022-02-17 15:00:00,25.96263285770189,
2022-02-17 15:30:30,25.96263285770189,
2022-02-17 23:59:59,48.26976873832929,c
2022-02-18 00:00:00,28.634610194971202,
2022-02-18 10:00:00,35.22068677714789,
2022-02-18 10:30:00,34.492116658925795,
2022-02-18 12:00:00,45.07185706961964,
2022-02-18 13:30:00,23.168292040064856,
2022-02-18 15:00:00,9.117314194489268,
2022-02-18 15:30:30,9.117314194489268,
2022-02-18 23:59:59,0.0,a
2022-02-21 00:00:00,6.878476518927712,
2022-02-21 10:00:00,53.41756136157362,
2022-02-21 10:30:00,53.298411536609066,
2022-02-21 12:00:00,43.11079206788149,
2022-02-21 13:30:00,29.399023293557676,
2022-02-21 15:00:00,-0.22854526098116423,
2022-02-21 15:30:30,-0.22854526098116423,
2022-02-21 23:59:59,-39.9041419569952,c
2022-02-22 00:00:00,-109.43966471036467,
2022-02-22 10:00:00,-36.109255670660346,
2022-02-22 10:30:00,-30.60512048359996,
2022-02-22 12:00:00,13.097633647956286,
2022-02-22 13:30:00,1.9425303439733455,
2022-02-22 15:00:00,3.9590076004910344,
2022-02-22 15:30:30,3.9590076004910344,
2022-02-22 23:59:59,-43.3525168231177,c
2022-02-23 00:00:00,-108.73980124580574,
2022-02-23 10:00:00,-4.616542232112451,
2022-02-23 10:30:00,25.294458110539424,
2022-02-23 12:00:00,7.635390093150718,
2022-02-23 13:30:00,14.843306324267118,
2022-02-23 15:00:00,15.269881408027075,
2022-02-23 15:30:30,15.269881408027075,
2022-02-23 23:59:59,8.97385241022019,c
2022-02-24 00:00:00,121.56879913720927,
2022-02-24 10:00:00,100.8007607545416,
2022-02-24 10:30:00,106.8157777443423,
2022-02-24 12:00:00,107.67898811719623,
2022-02-24 13:30:00,132.14602468423146,
2022-02-24 15:00:00,127.1815235902893,
2022-02-24 15:30:30,127.1815235902893,
2022-02-24 23:59:59,103.70717803792682,c
2022-02-25 00:00:00,138.7267321700411,
2022-02-25 10:00:00,84.81945024209146,
2022-02-25 10:30:00,54.145149509891084,
2022-02-25 12:00:00,30.871528747254303,
2022-02-25 13:30:00,50.34793774154399,
2022-02-25 15:00:00,48.43258556851261,
2022-02-25 15:30:30,48.43258556851261,
2022-02-25 23:59:59,61.63040776374534,w
2022-02-28 00:00:00,168.5192233162344,
2022-02-28 10:00:00,142.92592807668427,
2022-02-28 10:30:00,114.32165692660034,
2022-02-28 12:00:00,93.99756953048266,
2022-02-28 13:30:00,134.64574432270717,
2022-02-28 15:00:00,104.53598521735775,
2022-02-28 15:30:30,104.53598521735775,m
2022-02-28 23:59:59,87.22287373177859,c
2022-03-01 00:00:00,90.2340662348983,
2022-03-01 10:00:00,-27.193989136270538,
2022-03-01 10:30:00,23.239855157757162,
2022-03-01 12:00:00,69.15723578366298,
2022-03-01 13:30:00,72.16821156240881,
2022-03-01 15:00:00,84.21211467740046,
2022-03-01 15:30:30,84.21211467740046,
2022-03-01 23:59:59,85.71760256677372,c
2022-03-02 00:00:00,21.572027718944668,
2022-03-02 10:00:00,38.13239854711466,
2022-03-02 10:30:00,45.65983983264606,
2022-03-02 12:00:00,30.20450656195854,
2022-03-02 13:30:00,15.989421483259704,
2022-03-02 15:00:00,13.35005695443111,
2022-03-02 15:30:30,13.35005695443111,
2022-03-02 23:59:59,-58.42537376418167,c
2022-03-03 00:00:00,-144.86048639054715,
2022-03-03 10:00:00,-112.27186779631353,
2022-03-03 10:30:00,-106.82678616112116,
2022-03-03 12:00:00,-96.06554225076997,
2022-03-03 13:30:00,-97.01911492466948,
2022-03-03 15:00:00,-77.47721968165389,
2022-03-03 15:30:30,-77.47721968165389,
2022-03-03 23:59:59,-132.03033119741957,c
2022-03-04 00:00:00,-48.6910495796394,
2022-03-04 10:00:00,-165.40694177024847,
2022-03-04 10:30:00,-149.73146649935222,
2022-03-04 12:00:00,-151.37673290491176,
2022-03-04 13:30:00,-158.71361626286125,
2022-03-04 15:00:00,-173.75366769282456,
2022-03-04 15:30:30,-173.75366769282456,
2022-03-04 23:59:59,-192.9917545981891,w
2022-03-07 00:00:00,-226.17381728941155,
2022-03-07 10:00:00,-160.73101627524537,
2022-03-07 10:30:00,-186.47429905847838,
2022-03-07 12:00:00,-182.31244250663914,
2022-03-07 13:30:00,-151.00139271680246,
2022-03-07 15:00:00,-165.95524152609948,
2022-03-07 15:30:30,-165.95524152609948,
2022-03-07 23:59:59,-104.51117421813677,c
2022-03-08 00:00:00,-133.47440221061697,
2022-03-08 10:00:00,-138.0896483136816,
2022-03-08 10:30:00,-103.68380948796512,
2022-03-08 12:00:00,-100.03687092479645,
2022-03-08 13:30:00,-54.97125234510854,
2022-03-08 15:00:00,-60.381406590335274,
2022-03-08 15:30:30,-60.381406590335274,
2022-03-08 23:59:59,-80.89576954154998,c
2022-03-09 00:00:00,-167.3134296215862,
2022-03-09 10:00:00,-53.47021171341089,
2022-03-09 10:30:00,-79.72319622274479,
2022-03-09 12:00:00,-53.97212538596331,
2022-03-09 13:30:00,-12.761661947094154,
2022-03-09 15:00:00,-40.55757402508744,
2022-03-09 15:30:30,-40.55757402508744,
2022-03-09 23:59:59,-46.18139943602589,c
2022-03-10 00:00:00,36.94654647748705,
2022-03-10 10:00:00,-94.56174050164391,
2022-03-10 10:30:00,-59.00935350394674,
2022-03-10 12:00:00,-21.397760765041014,
2022-03-10 13:30:00,-48.460978873047566,
2022-03-10 15:00:00,-55.49836433238054,
2022-03-10 15:30:30,-55.49836433238054,
2022-03-10 23:59:59,-94.5507310665223,c
2022-03-11 00:00:00,-106.8089411119515,
2022-03-11 10:00:00,-106.26935425193177,
2022-03-11 10:30:00,-80.26763037017078,
2022-03-11 12:00:00,-110.63428221303795,
2022-03-11 13:30:00,-116.54144410227782,
2022-03-11 15:00:00,-94.6580990259369,
2022-03-11 15:30:30,-94.6580990259369,
2022-03-11 23:59:59,-6.978058027569446,w
2022-03-14 00:00:00,9.669426043696049,
2022-03-14 10:00:00,1.4380612875989272,
2022-03-14 10:30:00,18.72150510232933,
2022-03-14 12:00:00,46.219586819256435,
2022-03-14 13:30:00,46.73258167786467,
2022-03-14 15:00:00,31.76205088970444,
2022-03-14 15:30:30,31.76205088970444,
2022-03-14 23:59:59,114.39082457088328,c
2022-03-15 00:00:00,165.27285914914427,
2022-03-15 10:00:00,196.2875980767854,
2022-03-15 10:30:00,179.00820118518698,
2022-03-15 12:00:00,189.57155917727385,
2022-03-15 13:30:00,179.10416160451172,
2022-03-15 15:00:00,177.74906947620497,
2022-03-15 15:30:30,177.74906947620497,
2022-03-15 23:59:59,220.2576818462058,c
2022-03-16 00:00:00,174.0931353122255,
2022-03-16 10:00:00,110.83608016194235,
2022-03-16 10:30:00,135.29691530204968,
2022-03-16 12:00:00,159.92180910017294,
2022-03-16 13:30:00,142.65988180266817,
2022-03-16 15:00:00,159.164252498584,
2022-03-16 15:30:30,159.164252498584,
2022-03-16 23:59:59,91.08573142332976,c
2022-03-17 00:00:00,71.40188297981611,
2022-03-17 10:00:00,89.53726917160917,
2022-03-17 10:30:00,106.88553537002748,
2022-03-17 12:00:00,94.09291663948683,
2022-03-17 13:30:00,83.46721305410485,
2022-03-17 15:00:00,125.1855210264332,
2022-03-17 15:30:30,125.1855210264332,
2022-03-17 23:59:59,84.93472085157164,c
2022-03-18 00:00:00,122.6265048642288,
2022-03-18 10:00:00,81.79786788450856,
2022-03-18 10:30:00,68.60441554797858,
2022-03-18 12:00:00,102.09012183101468,
2022-03-18 13:30:00,80.30842801945967,
2022-03-18 15:00:00,94.36282694022056,
2022-03-18 15:30:30,94.36282694022056,
2022-03-18 23:59:59,38.60360931849077,e
2022-03-21 00:00:00,-25.863515154294262,
2022-03-21 10:00:00,-6.083824145469592,
2022-03-21 10:30:00,31.90845426454247,
2022-03-21 12:00:00,40.669424595954254,
2022-03-21 13:30:00,30.850313713850028,
2022-03-21 15:00:00,39.162461476656105,
2022-03-21 15:30:30,39.162461476656105,
2022-03-21 23:59:59,-25.482267570754203,c
2022-03-22 00:00:00,-66.26074981952469,
2022-03-22 10:00:00,-24.767319058791593,
2022-03-22 10:30:00,-35.57489439948519,
2022-03-22 12:00:00,-16.69049987553825,
2022-03-22 13:30:00,-17.299841393082062,
2022-03-22 15:00:00,7.009118368679125,
2022-03-22 15:30:30,7.009118368679125,
2022-03-22 23:59:59,1.8737824301320245,c
2022-03-23 00:00:00,-5.992178353296751,
2022-03-23 10:00:00,-4.811698741105275,
2022-03-23 10:30:00,-48.46136828902399,
2022-03-23 12:00:00,-62.07954524898618,
2022-03-23 13:30:00,-28.611541618019373,
2022-03-23 15:00:00,-29.531910051207397,
2022-03-23 15:30:30,-29.531910051207397,
2022-03-23 23:59:59,-88.89709373506443,c
2022-03-24 00:00:00,-99.47172826323863,
2022-03-24 10:00:00,-104.54739945069052,
2022-03-24 10:30:00,-112.83551609413325,
2022-03-24 12:00:00,-111.42956853523145,
2022-03-24 13:30:00,-114.65780233427972,
2022-03-24 15:00:00,-71.35142509411364,
2022-03-24 15:30:30,-71.35142509411364,
2022-03-24 23:59:59,-60.98001590396687,c
2022-03-25 00:00:00,-133.64999723584887,
2022-03-25 10:00:00,-84.01079495830413,
2022-03-25 10:30:00,-74.50558013059918,
2022-03-25 12:00:00,-89.89034956596831,
2022-03-25 13:30:00,-80.39752790260602,
2022-03-25 15:00:00,-63.892187933318056,
2022-03-25 15:30:30,-63.892187933318056,
2022-03-25 23:59:59,-145.6283004826983,w
2022-03-28 00:00:00,-78.35398913063003,
2022-03-28 10:00:00,-59.266966006094975,
2022-03-28 10:30:00,-52.63135871539248,
2022-03-28 12:00:00,-76.49596937829723,
