date,HDV_HEDGED_2022_Q1,meta
2022-03-18 10:30:00,-39.80193794294519,
2022-03-18 12:00:00,-30.28462703986895,
2022-03-18 13:30:00,-32.41981438935943,
2022-03-18 15:00:00,-37.799636485179576,
2022-03-18 15:30:30,-37.799636485179576,
2022-03-18 23:59:59,-40.51230725023788,e
2022-03-21 00:00:00,-45.51875129012956,
2022-03-21 10:00:00,-44.05622216266261,
2022-03-21 10:30:00,-50.03345498739475,
2022-03-21 12:00:00,-44.27829074573981,
2022-03-21 13:30:00,-42.30867187814522,
2022-03-21 15:00:00,-43.48073734191121,
2022-03-21 15:30:30,-43.48073734191121,
2022-03-21 23:59:59,-47.52245257139202,c
2022-03-22 00:00:00,-54.433164773258795,
2022-03-22 10:00:00,-43.01352551645243,
2022-03-22 10:30:00,-41.95994672638858,
2022-03-22 12:00:00,-49.67100477727149,
2022-03-22 13:30:00,-42.73802752168547,
2022-03-22 15:00:00,-46.63906890514761,
2022-03-22 15:30:30,-46.63906890514761,
2022-03-22 23:59:59,-50.16946298567541,c
2022-03-23 00:00:00,-38.64078371036612,
2022-03-23 10:00:00,-42.87027629861484,
2022-03-23 10:30:00,-40.217124902768205,
2022-03-23 12:00:00,-37.20360064080751,
2022-03-23 13:30:00,-41.12044983946362,
2022-03-23 15:00:00,-38.45145574221044,
2022-03-23 15:30:30,-38.45145574221044,
2022-03-23 23:59:59,-44.44947260793674,c
2022-03-24 00:00:00,-50.23049225413206,
2022-03-24 10:00:00,-38.06059028629045,
2022-03-24 10:30:00,-36.30182697379655,
2022-03-24 12:00:00,-35.67275274214853,
2022-03-24 13:30:00,-30.430462018520757,
2022-03-24 15:00:00,-32.581421117351965,
2022-03-24 15:30:30,-32.581421117351965,
2022-03-24 23:59:59,-35.65965705752478,c
2022-03-25 00:00:00,-42.25750246679934,
2022-03-25 10:00:00,-35.28848258607832,
2022-03-25 10:30:00,-42.36235633713352,
2022-03-25 12:00:00,-26.771928356299554,
2022-03-25 13:30:00,-27.43748425982608,
2022-03-25 15:00:00,-26.062241175939448,
2022-03-25 15:30:30,-26.062241175939448,
2022-03-25 23:59:59,-25.32033517851471,w
2022-03-28 00:00:00,-38.88238325883265,
2022-03-28 10:00:00,-51.47516815697861,
2022-03-28 10:30:00,-43.09733564406463,
2022-03-28 12:00:00,-46.104212656772916,
2022-03-28 13:30:00,-44.60682885422784,
2022-03-28 15:00:00,-48.6168063104152,
2022-03-28 15:30:30,-48.6168063104152,
