date,MID_HEDGED_2021_Q3,meta
2021-09-02 12:00:00,20.874590420419054,
2021-09-02 13:30:00,12.890898956004094,
2021-09-02 15:00:00,6.298036668264558,
2021-09-02 15:30:30,6.298036668264558,
2021-09-02 23:59:59,11.369310697374203,c
2021-09-03 00:00:00,-2.955975224047279,
2021-09-03 10:00:00,9.595787888264113,
2021-09-03 10:30:00,4.937481582439432,
2021-09-03 12:00:00,0.927846915445798,
2021-09-03 13:30:00,1.2639307806673514,
2021-09-03 15:00:00,3.758415618727895,
2021-09-03 15:30:30,3.758415618727895,
2021-09-03 23:59:59,0.0,a
2021-09-06 00:00:00,0.0,
2021-09-06 10:00:00,0.0,
2021-09-06 10:30:00,0.0,
2021-09-06 12:00:00,0.0,
2021-09-06 13:30:00,0.0,
2021-09-06 15:00:00,0.0,
2021-09-06 15:30:30,0.0,
2021-09-06 23:59:59,0.0,c
2021-09-07 00:00:00,4.2681502522270875,
2021-09-07 10:00:00,49.41457114584978,
2021-09-07 10:30:00,48.84583028176871,
2021-09-07 12:00:00,43.4172696989574,
2021-09-07 13:30:00,48.85654466386154,
2021-09-07 15:00:00,54.276911954889556,
2021-09-07 15:30:30,54.276911954889556,
2021-09-07 23:59:59,50.419567251462695,c
2021-09-08 00:00:00,54.696773290943156,
2021-09-08 10:00:00,60.431256930414065,
2021-09-08 10:30:00,32.05751019493391,
2021-09-08 12:00:00,19.244769031809028,
2021-09-08 13:30:00,25.882454790788188,
2021-09-08 15:00:00,18.211187065527383,
2021-09-08 15:30:30,18.211187065527383,
2021-09-08 23:59:59,13.568672965135647,c
2021-09-09 00:00:00,3.2411252229171623,
2021-09-09 10:00:00,30.087670696276746,
2021-09-09 10:30:00,24.801279501785302,
2021-09-09 12:00:00,39.90286245752077,
2021-09-09 13:30:00,33.511679893540986,
2021-09-09 15:00:00,36.77249762306792,
2021-09-09 15:30:30,36.77249762306792,
2021-09-09 23:59:59,30.065008228598344,c
2021-09-10 00:00:00,42.06430647561365,
2021-09-10 10:00:00,48.92223464126482,
2021-09-10 10:30:00,51.16509970164793,
2021-09-10 12:00:00,52.11994499101479,
2021-09-10 13:30:00,53.840872512571195,
2021-09-10 15:00:00,48.00817721500948,
2021-09-10 15:30:30,48.00817721500948,
2021-09-10 23:59:59,38.66284043593237,w
2021-09-13 00:00:00,53.86270777746813,
2021-09-13 10:00:00,45.136541066456175,
2021-09-13 10:30:00,55.14992696276272,
2021-09-13 12:00:00,64.01408368707462,
2021-09-13 13:30:00,75.9397602932454,
2021-09-13 15:00:00,83.63833486159433,
2021-09-13 15:30:30,83.63833486159433,
2021-09-13 23:59:59,79.91685635509475,c
2021-09-14 00:00:00,84.53723830665194,
2021-09-14 10:00:00,82.44236495674704,
2021-09-14 10:30:00,75.99343154399708,
2021-09-14 12:00:00,71.01411398886444,
2021-09-14 13:30:00,67.20473317447409,
2021-09-14 15:00:00,62.49698695406869,
2021-09-14 15:30:30,62.49698695406869,
2021-09-14 23:59:59,70.28395567429902,c
2021-09-15 00:00:00,68.32075089453951,
2021-09-15 10:00:00,81.48577125223142,
2021-09-15 10:30:00,81.31944868686264,
2021-09-15 12:00:00,83.15890367826955,
2021-09-15 13:30:00,84.73913924729823,
2021-09-15 15:00:00,86.36194748210755,
2021-09-15 15:30:30,86.36194748210755,
2021-09-15 23:59:59,86.31652000193708,c
2021-09-16 00:00:00,88.38044251125666,
2021-09-16 10:00:00,80.31619965211121,
2021-09-16 10:30:00,81.70356163748465,
2021-09-16 12:00:00,64.1031470535861,
2021-09-16 13:30:00,63.80232597956183,
2021-09-16 15:00:00,65.22846147322866,
2021-09-16 15:30:30,65.22846147322866,
2021-09-16 23:59:59,59.01310245069203,c
2021-09-17 00:00:00,52.21709361872536,
2021-09-17 10:00:00,50.68244231652511,
2021-09-17 10:30:00,50.75685120957769,
2021-09-17 12:00:00,33.83653860993195,
2021-09-17 13:30:00,54.04566121149355,
2021-09-17 15:00:00,53.88459502287151,
2021-09-17 15:30:30,53.88459502287151,
2021-09-17 23:59:59,29.95005060896392,e
2021-09-20 00:00:00,-9.881031364321643,
2021-09-20 10:00:00,-1.6715039837165477,
2021-09-20 10:30:00,-10.076202309177006,
2021-09-20 12:00:00,-15.875010831395002,
2021-09-20 13:30:00,-22.08914685206946,
2021-09-20 15:00:00,-31.838007647673976,
2021-09-20 15:30:30,-31.838007647673976,
2021-09-20 23:59:59,-21.95242109640003,c
2021-09-21 00:00:00,-17.110367988553662,
2021-09-21 10:00:00,-17.92659411580371,
2021-09-21 10:30:00,-7.952811326166284,
2021-09-21 12:00:00,6.7024084793133625,
2021-09-21 13:30:00,-3.7303166160611454,
2021-09-21 15:00:00,1.6163464342557745,
2021-09-21 15:30:30,1.6163464342557745,
2021-09-21 23:59:59,-6.7356201442905785,c
2021-09-22 00:00:00,4.276135726562643,
2021-09-22 10:00:00,25.982557498993856,
2021-09-22 10:30:00,22.581085431653946,
2021-09-22 12:00:00,29.257794128459636,
2021-09-22 13:30:00,27.371316296866098,
2021-09-22 15:00:00,27.80320103054305,
2021-09-22 15:30:30,27.80320103054305,
2021-09-22 23:59:59,27.92616315599571,c
2021-09-23 00:00:00,40.900766468670554,
2021-09-23 10:00:00,41.47796544435778,
2021-09-23 10:30:00,41.11810771035607,
2021-09-23 12:00:00,49.49351029581135,
2021-09-23 13:30:00,51.065722086603955,
2021-09-23 15:00:00,54.714518454829204,
2021-09-23 15:30:30,54.714518454829204,
2021-09-23 23:59:59,54.09140957444038,c
2021-09-24 00:00:00,44.688143916738,
