date,MSCI_FACT_MTUM_2020_Q4,meta
2020-12-09 10:00:00,145.2139724308123,
2020-12-09 10:30:00,125.85136548909684,
2020-12-09 12:00:00,146.62061187345,
2020-12-09 13:30:00,96.9421929202485,
2020-12-09 15:00:00,88.39917231897336,
2020-12-09 15:30:30,88.39917231897336,
2020-12-09 23:59:59,66.44126759580483,c
2020-12-10 00:00:00,51.18392971101311,
2020-12-10 10:00:00,106.07118322882748,
2020-12-10 10:30:00,129.09488601940137,
2020-12-10 12:00:00,119.29207088603432,
2020-12-10 13:30:00,141.06733915686095,
2020-12-10 15:00:00,136.47028092381396,
2020-12-10 15:30:30,136.47028092381396,
2020-12-10 23:59:59,141.3962937754995,c
2020-12-11 00:00:00,141.0279474986081,
2020-12-11 10:00:00,150.91359983252624,
2020-12-11 10:30:00,160.97718041655065,
2020-12-11 12:00:00,136.76174641046993,
2020-12-11 13:30:00,129.24796156849186,
2020-12-11 15:00:00,139.241597936081,
2020-12-11 15:30:30,139.241597936081,
2020-12-11 23:59:59,148.17228072284553,w
2020-12-14 00:00:00,154.77303507804396,
2020-12-14 10:00:00,151.63941584507808,
2020-12-14 10:30:00,133.77830391250745,
2020-12-14 12:00:00,159.6371479645025,
2020-12-14 13:30:00,150.5582734227636,
2020-12-14 15:00:00,160.68999277695247,
2020-12-14 15:30:30,160.68999277695247,
2020-12-14 23:59:59,159.87362469093534,c
2020-12-15 00:00:00,157.53352865334546,
2020-12-15 10:00:00,178.71649921237866,
2020-12-15 10:30:00,187.01363980345326,
2020-12-15 12:00:00,181.96405774855612,
2020-12-15 13:30:00,161.26788957582306,
2020-12-15 15:00:00,167.4100949523205,
2020-12-15 15:30:30,167.4100949523205,
2020-12-15 23:59:59,177.20916163939967,c
2020-12-16 00:00:00,196.09060099798683,
2020-12-16 10:00:00,190.39427801104353,
2020-12-16 10:30:00,174.525795366801,
2020-12-16 12:00:00,194.0512634142038,
2020-12-16 13:30:00,198.07489039174567,
2020-12-16 15:00:00,196.66142470392157,
2020-12-16 15:30:30,196.66142470392157,
2020-12-16 23:59:59,207.69607705274245,c
2020-12-17 00:00:00,228.45002103332803,
2020-12-17 10:00:00,245.7703711211181,
2020-12-17 10:30:00,252.43693061338132,
2020-12-17 12:00:00,239.14084717668624,
2020-12-17 13:30:00,226.69720047368486,
2020-12-17 15:00:00,222.13784791671003,
2020-12-17 15:30:30,222.13784791671003,
2020-12-17 23:59:59,218.9613782351032,c
2020-12-18 00:00:00,231.57627287304092,
2020-12-18 10:00:00,232.73372870646006,
2020-12-18 10:30:00,241.78796063237053,
2020-12-18 12:00:00,230.02039935016967,
2020-12-18 13:30:00,246.2199356568412,
2020-12-18 15:00:00,248.35442014124362,
2020-12-18 15:30:30,248.35442014124362,x
2020-12-18 23:59:59,242.53209612785957,w
2020-12-21 00:00:00,273.2974219743429,
2020-12-21 10:00:00,339.1746505397059,
2020-12-21 10:30:00,309.45365922147886,
2020-12-21 12:00:00,331.04360443883667,
2020-12-21 13:30:00,326.85984045573974,
2020-12-21 15:00:00,320.3570084037822,
2020-12-21 15:30:30,320.3570084037822,
2020-12-21 23:59:59,318.34904336812286,c
