date,AS_MSCI_AS_DM_STAY_2022_Q1,meta
2022-02-09 01:00:00,-54.26782471633851,
2022-02-09 02:30:00,-52.1626817704946,
2022-02-09 03:00:00,-54.20995429789764,
2022-02-09 18:30:00,-56.279285640594026,
2022-02-09 20:00:00,-4.230512101252316,
2022-02-09 23:00:00,-14.839455208659274,
2022-02-09 23:59:59,0.0,a
2022-02-10 00:00:00,-21.568463502533632,
2022-02-10 01:00:00,-26.4413711264242,
2022-02-10 02:30:00,-27.57681192558266,
2022-02-10 03:00:00,-27.716985060837033,
2022-02-10 18:30:00,-44.981684920872794,
2022-02-10 20:00:00,1.6399820483184158,
2022-02-10 23:00:00,-24.583620875057022,
2022-02-10 23:59:59,4.682862965906679,c
2022-02-11 00:00:00,28.806080403164742,
2022-02-11 01:00:00,35.32389077151129,
2022-02-11 02:30:00,35.95409362309147,
2022-02-11 03:00:00,31.630136855315868,
2022-02-11 18:30:00,31.630136855315868,
2022-02-11 20:00:00,31.630136855315868,
2022-02-11 23:00:00,31.630136855315868,
2022-02-11 23:59:59,-6.027059853389801,w
2022-02-14 00:00:00,-46.164566863370055,
2022-02-14 01:00:00,-43.07683987066957,
2022-02-14 02:30:00,-45.4484222792762,
2022-02-14 03:00:00,-44.99655940782213,
2022-02-14 18:30:00,-57.41633017391723,
2022-02-14 20:00:00,-55.914130558241595,
2022-02-14 23:00:00,-56.2296653254798,
2022-02-14 23:59:59,-32.92549378966942,c
0,-32.92549378966942,
0,-32.92549378966942,
0,-32.92549378966942,
0,-32.92549378966942,
0,-32.92549378966942,
0,-32.92549378966942,
0,-32.92549378966942,
0,-32.92549378966942,
0,-32.92549378966942,
0,-32.92549378966942,
0,-32.92549378966942,
0,-32.92549378966942,
0,-32.92549378966942,
0,-32.92549378966942,
0,-32.92549378966942,
0,-32.92549378966942,
0,-32.92549378966942,
0,-32.92549378966942,
0,-32.92549378966942,
0,-32.92549378966942,
0,-32.92549378966942,
0,-32.92549378966942,
0,-32.92549378966942,
0,-32.92549378966942,
2022-02-15 00:00:00,-16.746839987757994,
2022-02-15 01:00:00,-7.568145761280903,
2022-02-15 02:30:00,-11.332475933028036,
