date,XLCCAP_2021_Q2,meta
2021-07-06 15:00:00,15.361544274042405,
2021-07-06 15:30:30,15.361544274042405,
2021-07-06 23:59:59,16.7993646641605,c
2021-07-07 00:00:00,-2.1480561946512466,
2021-07-07 10:00:00,5.259401203348446,
2021-07-07 10:30:00,-7.34125368833233,
2021-07-07 12:00:00,21.833354252044174,
2021-07-07 13:30:00,28.06319256240745,
2021-07-07 15:00:00,32.425529791744935,
2021-07-07 15:30:30,32.425529791744935,
2021-07-07 23:59:59,37.55236649349348,c
2021-07-08 00:00:00,46.96204256179803,
2021-07-08 10:00:00,59.91902207995343,
2021-07-08 10:30:00,56.52887814782522,
2021-07-08 12:00:00,56.18347348883489,
2021-07-08 13:30:00,40.427518151752224,
2021-07-08 15:00:00,45.0452931223196,
2021-07-08 15:30:30,45.0452931223196,
