date,FIW_2022_Q3,meta
2022-09-09 15:00:00,-12.172395232003964,
2022-09-09 15:30:30,-12.172395232003964,
2022-09-09 23:59:59,0.0,a
2022-09-12 00:00:00,0.7039869555414953,
2022-09-12 10:00:00,37.48231077147739,
2022-09-12 10:30:00,59.32972020143416,
2022-09-12 12:00:00,22.332740978078164,
2022-09-12 13:30:00,37.63630774748299,
2022-09-12 15:00:00,40.39204613163474,
2022-09-12 15:30:30,40.39204613163474,
2022-09-12 23:59:59,34.48367455388916,c
2022-09-13 00:00:00,73.97558033006135,
2022-09-13 10:00:00,52.12080553693568,
2022-09-13 10:30:00,24.115235973451945,
2022-09-13 12:00:00,65.0271956759143,
2022-09-13 13:30:00,55.06599951368662,
2022-09-13 15:00:00,49.92117607475666,
2022-09-13 15:30:30,49.92117607475666,
2022-09-13 23:59:59,48.097764226192794,c
2022-09-14 00:00:00,58.42198405693398,
2022-09-14 10:00:00,97.52520409440012,
2022-09-14 10:30:00,108.74307814985241,
2022-09-14 12:00:00,88.0232116264292,
2022-09-14 13:30:00,84.20567098336323,
2022-09-14 15:00:00,101.36586784441715,
2022-09-14 15:30:30,101.36586784441715,
2022-09-14 23:59:59,61.69209328751958,c
2022-09-15 00:00:00,152.02568544549422,
2022-09-15 10:00:00,155.7569040944736,
2022-09-15 10:30:00,165.9737805753548,
2022-09-15 12:00:00,145.27169693641144,
2022-09-15 13:30:00,130.05994624226832,
2022-09-15 15:00:00,117.94945088056966,
2022-09-15 15:30:30,117.94945088056966,
2022-09-15 23:59:59,108.59135864057316,c
2022-09-16 00:00:00,189.82306599804588,
2022-09-16 10:00:00,212.16202873039947,
2022-09-16 10:30:00,180.05361277831753,
2022-09-16 12:00:00,209.17800209959796,
2022-09-16 13:30:00,247.7179593319679,
2022-09-16 15:00:00,227.52811269631275,
2022-09-16 15:30:30,227.52811269631275,
2022-09-16 23:59:59,151.7617557465619,e
2022-09-19 00:00:00,172.83276704797254,
2022-09-19 10:00:00,170.9143142425437,
2022-09-19 10:30:00,148.81188675398153,
2022-09-19 12:00:00,110.93987741633191,
2022-09-19 13:30:00,66.71324519213294,
2022-09-19 15:00:00,50.92463830052793,
2022-09-19 15:30:30,50.92463830052793,
2022-09-19 23:59:59,53.5162973329725,c
2022-09-20 00:00:00,73.8042467313976,
2022-09-20 10:00:00,45.42788338653418,
2022-09-20 10:30:00,43.38420236022557,
2022-09-20 12:00:00,-7.309152677799375,
2022-09-20 13:30:00,-7.420399735398405,
2022-09-20 15:00:00,-18.430507864161427,
2022-09-20 15:30:30,-18.430507864161427,
2022-09-20 23:59:59,-9.117597711712733,c
2022-09-21 00:00:00,-24.64967610471149,
2022-09-21 10:00:00,-7.115984425685383,
2022-09-21 10:30:00,-6.294104819293352,
2022-09-21 12:00:00,-7.522136279827919,
2022-09-21 13:30:00,-4.602256507188031,
2022-09-21 15:00:00,-30.58310745487961,
2022-09-21 15:30:30,-30.58310745487961,
2022-09-21 23:59:59,27.36669483821106,c
2022-09-22 00:00:00,20.321466500531187,
2022-09-22 10:00:00,24.923990905734172,
2022-09-22 10:30:00,19.51400637845427,
2022-09-22 12:00:00,39.14475078180021,
2022-09-22 13:30:00,33.997190214774946,
2022-09-22 15:00:00,36.172491534851815,
2022-09-22 15:30:30,36.172491534851815,
2022-09-22 23:59:59,33.62195493006311,c
2022-09-23 00:00:00,70.5869647744139,
2022-09-23 10:00:00,118.46831256221185,
2022-09-23 10:30:00,149.2681943358025,
2022-09-23 12:00:00,170.13891998617373,
2022-09-23 13:30:00,154.8294950281761,
2022-09-23 15:00:00,183.35807298447162,
2022-09-23 15:30:30,183.35807298447162,
2022-09-23 23:59:59,178.2745462296789,w
2022-09-26 00:00:00,217.88691798755735,
2022-09-26 10:00:00,219.65638796518124,
2022-09-26 10:30:00,232.06554105728492,
2022-09-26 12:00:00,271.62480999237823,
2022-09-26 13:30:00,288.7420505557816,
2022-09-26 15:00:00,268.36541062336755,
2022-09-26 15:30:30,268.36541062336755,
2022-09-26 23:59:59,291.0182339419216,c
2022-09-27 00:00:00,267.51656530581795,
2022-09-27 10:00:00,274.9131636145589,
2022-09-27 10:30:00,277.01675592966194,
2022-09-27 12:00:00,251.3993760510325,
2022-09-27 13:30:00,252.62122449758272,
2022-09-27 15:00:00,254.9785143132376,
2022-09-27 15:30:30,254.9785143132376,
2022-09-27 23:59:59,278.510279918361,c
2022-09-28 00:00:00,232.01148031010234,
2022-09-28 10:00:00,178.1983086762957,
2022-09-28 10:30:00,178.68475303475225,
2022-09-28 12:00:00,175.05756054017866,
2022-09-28 13:30:00,155.10738051290764,
2022-09-28 15:00:00,152.07653913577406,
2022-09-28 15:30:30,152.07653913577406,
2022-09-28 23:59:59,167.9949672471671,c
2022-09-29 00:00:00,210.29326458685227,
2022-09-29 10:00:00,233.88757246673458,
2022-09-29 10:30:00,252.6640584631309,
2022-09-29 12:00:00,202.594728407194,
2022-09-29 13:30:00,196.11493983843684,
2022-09-29 15:00:00,206.0314144684512,
2022-09-29 15:30:30,206.0314144684512,
2022-09-29 23:59:59,170.6561205302237,c
2022-09-30 00:00:00,110.23266705165088,
2022-09-30 10:00:00,21.931964903516928,
2022-09-30 10:30:00,27.936270091569895,
2022-09-30 12:00:00,22.023373838724638,
2022-09-30 13:30:00,0.032107827415529755,
2022-09-30 15:00:00,8.628675540504446,
2022-09-30 15:30:30,8.628675540504446,
2022-09-30 23:59:59,38.89527664486786,w
