date,PAR_MIGRATION_20210607,meta
2021-06-11 15:30:30,1.0259710284251753,p
2021-06-11 23:59:59,-1.150548919840901,w
2021-06-14 00:00:00,-6.356860645005039,
2021-06-14 10:00:00,21.603692159050784,
2021-06-14 10:30:00,24.637609911403988,
2021-06-14 12:00:00,44.781417587649855,
2021-06-14 13:30:00,55.43886512463812,
2021-06-14 15:00:00,47.56410242064362,
2021-06-14 15:30:30,47.56410242064362,
2021-06-14 23:59:59,50.578355481206266,c
2021-06-15 00:00:00,72.6885736483774,
2021-06-15 10:00:00,76.84684491122229,
2021-06-15 10:30:00,92.416405866921,
2021-06-15 12:00:00,79.78609077245093,
2021-06-15 13:30:00,72.29880741214234,
2021-06-15 15:00:00,60.585780917676125,
2021-06-15 15:30:30,60.585780917676125,
2021-06-15 23:59:59,62.17654164418727,c
2021-06-16 00:00:00,68.53716357206389,
2021-06-16 10:00:00,98.92812295989918,
2021-06-16 10:30:00,109.0232953631326,
2021-06-16 12:00:00,110.58840927661939,
2021-06-16 13:30:00,118.6866838239858,
2021-06-16 15:00:00,102.25439798226509,
2021-06-16 15:30:30,102.25439798226509,
2021-06-16 23:59:59,104.67359200686462,c
2021-06-17 00:00:00,103.91592383243835,
2021-06-17 10:00:00,128.14972437992915,
2021-06-17 10:30:00,149.43336215034503,
2021-06-17 12:00:00,164.89996681732228,
2021-06-17 13:30:00,152.99942925181256,
2021-06-17 15:00:00,149.62125010307338,
2021-06-17 15:30:30,149.62125010307338,
2021-06-17 23:59:59,142.55264514861963,c
2021-06-18 00:00:00,158.7096752813533,
2021-06-18 10:00:00,169.31057716068236,
2021-06-18 10:30:00,180.447010655828,
2021-06-18 12:00:00,182.32182256553105,
2021-06-18 13:30:00,191.3078533485005,
2021-06-18 15:00:00,191.95438124017792,
2021-06-18 15:30:30,191.95438124017792,q
2021-06-18 23:59:59,204.46668424884936,w
2021-06-21 00:00:00,188.14093741340392,
2021-06-21 10:00:00,162.23860746628176,
2021-06-21 10:30:00,155.65691552613572,
2021-06-21 12:00:00,171.26938880314532,
2021-06-21 13:30:00,174.43621978647317,
2021-06-21 15:00:00,163.3588450458174,
2021-06-21 15:30:30,163.3588450458174,
2021-06-21 23:59:59,157.08512365717561,c
2021-06-22 00:00:00,146.0795021553246,
2021-06-22 10:00:00,147.61559467726067,
2021-06-22 10:30:00,136.42335831958945,
2021-06-22 12:00:00,125.07880241211494,
2021-06-22 13:30:00,132.65811119752902,
2021-06-22 15:00:00,114.94309678300115,
2021-06-22 15:30:30,114.94309678300115,
2021-06-22 23:59:59,100.24492979140739,c
2021-06-23 00:00:00,100.40121131259038,
2021-06-23 10:00:00,122.1737950608758,
2021-06-23 10:30:00,110.47607939076231,
